conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
8,1,0.0737,0.0528,0.0524,0.0522,0.0528,0.0514,0.0519,0.0517,0.0517,0.0522,0.0515,0.0523,0.052,0.0518,0.0515,0.0516,0.0512,0.0518,0.0515,0.0516,0.0519,0.0519,0.0511,0.052,0.0516,0.0509,0.0522,0.0518,0.0511,0.0519,0.0515,0.0513,0.0526,0.0525,0.0525,0.0536,0.0536,0.055,0.0559,0.0578,0.0605,0.0637,0.068,0.075,0.0834,0.096,0.113,0.132,0.147,0.165,0.18,0.195,0.209,0.225,0.241,0.257,0.276,0.292,0.31,0.323,0.337,0.35,0.361,0.373,0.383,0.391,0.401,0.414,0.437,0.472,0.509,0.549,0.587
8,2,0.0713,0.0515,0.051,0.0512,0.0523,0.051,0.0517,0.0514,0.0513,0.052,0.0512,0.0518,0.0513,0.051,0.0507,0.051,0.0514,0.0511,0.0511,0.0514,0.0514,0.0513,0.0508,0.0509,0.0515,0.0509,0.0508,0.0511,0.0507,0.0513,0.0512,0.0513,0.0517,0.0516,0.0519,0.0524,0.0532,0.0537,0.055,0.0567,0.0595,0.0628,0.0674,0.0752,0.0842,0.0987,0.118,0.134,0.151,0.168,0.181,0.196,0.216,0.24,0.262,0.282,0.304,0.324,0.343,0.36,0.376,0.391,0.402,0.415,0.425,0.436,0.448,0.459,0.47,0.482,0.494,0.505,0.517
8,3,0.0684,0.0503,0.0501,0.0499,0.0503,0.0495,0.0501,0.0497,0.0498,0.0499,0.0489,0.0501,0.0495,0.0491,0.0491,0.049,0.0494,0.0497,0.0499,0.0497,0.0499,0.0495,0.0495,0.0495,0.0501,0.049,0.0492,0.0499,0.0495,0.0497,0.0494,0.0497,0.0501,0.0503,0.0501,0.0506,0.0514,0.0523,0.0537,0.0557,0.0581,0.0613,0.0663,0.0745,0.0842,0.0988,0.117,0.135,0.151,0.17,0.182,0.2,0.219,0.235,0.251,0.268,0.285,0.303,0.322,0.338,0.353,0.366,0.377,0.388,0.397,0.416,0.448,0.493,0.542,0.584,0.619,0.652,0.685
8,4,0.073,0.0504,0.0499,0.0495,0.0502,0.0489,0.0498,0.0495,0.0494,0.05,0.0489,0.0497,0.0494,0.0493,0.0488,0.049,0.049,0.0496,0.0487,0.0491,0.0498,0.0495,0.0485,0.049,0.049,0.0484,0.0492,0.0489,0.0488,0.049,0.0493,0.0493,0.0495,0.05,0.0498,0.0511,0.0513,0.052,0.0534,0.0551,0.0572,0.0609,0.0658,0.0737,0.0828,0.0983,0.118,0.134,0.151,0.167,0.184,0.206,0.228,0.246,0.267,0.286,0.309,0.33,0.35,0.369,0.388,0.404,0.417,0.43,0.44,0.451,0.463,0.471,0.483,0.496,0.511,0.531,0.549
8,5,0.052,0.0516,0.0511,0.0512,0.0516,0.0504,0.0512,0.0508,0.0512,0.051,0.0506,0.0512,0.0503,0.0505,0.0506,0.05,0.0504,0.0509,0.0504,0.0507,0.0511,0.051,0.0505,0.0508,0.0503,0.0503,0.0505,0.0505,0.0507,0.0503,0.0502,0.0508,0.0513,0.0513,0.0511,0.0518,0.0522,0.0531,0.0546,0.056,0.0586,0.0617,0.066,0.0737,0.0818,0.0962,0.114,0.133,0.147,0.163,0.177,0.195,0.212,0.231,0.25,0.27,0.292,0.309,0.327,0.342,0.356,0.37,0.382,0.392,0.4,0.407,0.416,0.425,0.436,0.45,0.469,0.502,0.538
8,6,0.0704,0.0507,0.0511,0.0509,0.0515,0.0505,0.0511,0.0504,0.051,0.0508,0.0502,0.0509,0.0498,0.0509,0.05,0.0503,0.0503,0.0505,0.0499,0.0502,0.0502,0.0506,0.0504,0.0509,0.0504,0.0503,0.0502,0.0509,0.0505,0.0505,0.0504,0.0509,0.0509,0.0514,0.0512,0.0519,0.0527,0.0539,0.0545,0.0566,0.0587,0.062,0.0667,0.0745,0.0824,0.0966,0.114,0.133,0.148,0.165,0.179,0.199,0.218,0.236,0.254,0.272,0.29,0.306,0.327,0.344,0.359,0.373,0.385,0.396,0.404,0.412,0.42,0.427,0.436,0.448,0.467,0.489,0.517
0.03125,1,0.0803,0.0514,0.0508,0.0508,0.0508,0.0504,0.0507,0.0503,0.0506,0.0506,0.0499,0.0506,0.0509,0.0501,0.05,0.0504,0.05,0.0505,0.0497,0.0497,0.0506,0.0504,0.05,0.0507,0.0503,0.0499,0.0504,0.051,0.051,0.0512,0.0513,0.0518,0.0532,0.055,0.0566,0.0601,0.0643,0.071,0.0795,0.0923,0.111,0.13,0.146,0.165,0.182,0.204,0.228,0.249,0.272,0.296,0.324,0.343,0.364,0.379,0.395,0.406,0.415,0.424,0.433,0.441,0.449,0.458,0.467,0.483,0.511,0.549,0.59,0.628,0.661,0.691,0.715,0.735,0.757
0.03125,2,0.0759,0.0503,0.0495,0.0501,0.0505,0.0499,0.0498,0.0497,0.05,0.0499,0.0486,0.0499,0.0498,0.0495,0.0493,0.0497,0.0496,0.0499,0.0491,0.0494,0.0497,0.0496,0.0491,0.0497,0.0494,0.049,0.0497,0.0494,0.0497,0.0504,0.0503,0.051,0.053,0.0539,0.0556,0.0583,0.0621,0.068,0.0759,0.0868,0.102,0.123,0.139,0.154,0.168,0.186,0.204,0.226,0.247,0.27,0.292,0.314,0.333,0.349,0.362,0.375,0.388,0.398,0.405,0.413,0.421,0.429,0.436,0.443,0.451,0.459,0.473,0.495,0.527,0.561,0.59,0.62,0.645
0.03125,3,0.0877,0.0494,0.0491,0.0492,0.0499,0.0489,0.0492,0.0492,0.0494,0.0493,0.0489,0.0496,0.0491,0.0488,0.0489,0.0487,0.0491,0.0493,0.0489,0.0491,0.0497,0.0496,0.049,0.0495,0.0493,0.0488,0.0493,0.05,0.0496,0.0503,0.0511,0.0514,0.053,0.0546,0.0557,0.0594,0.0634,0.0692,0.0782,0.0906,0.107,0.128,0.144,0.161,0.176,0.196,0.218,0.237,0.26,0.281,0.303,0.324,0.342,0.357,0.368,0.381,0.39,0.398,0.405,0.412,0.42,0.427,0.434,0.443,0.452,0.464,0.48,0.504,0.531,0.567,0.592,0.618,0.642
0.03125,4,0.107,0.0493,0.0506,0.0494,0.05,0.0491,0.0492,0.0491,0.0493,0.0492,0.0485,0.0492,0.0483,0.0486,0.0485,0.0487,0.0484,0.0487,0.0483,0.0487,0.049,0.0492,0.0483,0.0488,0.0487,0.0484,0.049,0.0493,0.0488,0.0499,0.0498,0.0504,0.0521,0.0529,0.0548,0.0581,0.0621,0.0679,0.0761,0.0883,0.105,0.125,0.142,0.159,0.174,0.193,0.212,0.232,0.252,0.273,0.298,0.318,0.335,0.347,0.358,0.37,0.382,0.391,0.4,0.406,0.415,0.424,0.431,0.438,0.446,0.452,0.457,0.461,0.466,0.47,0.477,0.485,0.494
