conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
8,1,0.176,0.0531,0.0532,0.0521,0.0525,0.0528,0.0526,0.0523,0.0514,0.0526,0.0523,0.0521,0.0521,0.0526,0.0523,0.0523,0.0514,0.052,0.0521,0.0513,0.0515,0.0516,0.051,0.0518,0.0525,0.0524,0.0526,0.0529,0.0528,0.0526,0.0533,0.0531,0.0538,0.0546,0.0548,0.0555,0.0551,0.0575,0.0596,0.0626,0.0657,0.0718,0.0804,0.0916,0.106,0.127,0.141,0.158,0.172,0.189,0.209,0.229,0.25,0.272,0.289,0.305,0.323,0.34,0.354,0.369,0.381,0.39,0.399,0.407,0.414,0.422,0.43,0.438,0.448,0.462,0.477,0.495,0.518
8,2,0.166,0.0721,0.0516,0.051,0.0513,0.052,0.0512,0.051,0.0509,0.0518,0.0514,0.0507,0.0509,0.0513,0.0514,0.0513,0.0505,0.0507,0.0506,0.0507,0.0505,0.0508,0.0508,0.0505,0.0505,0.0509,0.0509,0.0509,0.0507,0.0505,0.0512,0.0512,0.0515,0.0519,0.0525,0.0535,0.0534,0.0549,0.0569,0.0604,0.0625,0.0678,0.0755,0.0843,0.097,0.115,0.134,0.149,0.167,0.181,0.201,0.223,0.243,0.265,0.29,0.31,0.33,0.349,0.366,0.384,0.397,0.407,0.416,0.425,0.435,0.455,0.476,0.509,0.547,0.577,0.611,0.645,0.672
8,3,0.186,0.119,0.0527,0.0514,0.0519,0.0521,0.0512,0.0515,0.0506,0.0518,0.0508,0.0507,0.0512,0.0514,0.0514,0.0513,0.0501,0.051,0.0512,0.0508,0.0499,0.0507,0.0508,0.0505,0.0509,0.0502,0.0509,0.0511,0.0508,0.0513,0.0507,0.0513,0.0517,0.0513,0.0526,0.0531,0.0533,0.055,0.0567,0.06,0.0631,0.0689,0.0776,0.0892,0.105,0.125,0.141,0.158,0.173,0.193,0.217,0.239,0.261,0.28,0.3,0.316,0.333,0.349,0.367,0.383,0.398,0.408,0.417,0.425,0.432,0.439,0.445,0.452,0.467,0.484,0.509,0.539,0.576
8,4,0.176,0.107,0.0511,0.051,0.0512,0.0516,0.051,0.0505,0.0504,0.0511,0.0505,0.0508,0.0504,0.0507,0.0509,0.0512,0.0495,0.0505,0.0504,0.0506,0.0501,0.0506,0.0502,0.0502,0.0509,0.0505,0.0505,0.051,0.0502,0.0505,0.0509,0.0505,0.0516,0.0517,0.0523,0.0531,0.0538,0.0543,0.0563,0.0598,0.0624,0.0682,0.076,0.0865,0.1,0.12,0.137,0.153,0.167,0.184,0.205,0.225,0.244,0.263,0.279,0.297,0.318,0.333,0.353,0.372,0.383,0.392,0.402,0.408,0.422,0.441,0.459,0.487,0.521,0.556,0.589,0.617,0.642
8,5,0.214,0.164,0.0519,0.0513,0.0514,0.0514,0.0511,0.0509,0.0507,0.0516,0.0514,0.051,0.0511,0.0511,0.0517,0.051,0.0507,0.0511,0.0511,0.0504,0.0508,0.0512,0.0514,0.0508,0.0511,0.0508,0.0513,0.051,0.0512,0.0507,0.0512,0.0515,0.0515,0.0516,0.0521,0.0532,0.0532,0.0548,0.0565,0.0599,0.0634,0.0686,0.0762,0.0846,0.0961,0.113,0.132,0.148,0.165,0.179,0.195,0.213,0.232,0.251,0.269,0.289,0.308,0.325,0.341,0.356,0.372,0.38,0.388,0.393,0.399,0.409,0.424,0.446,0.482,0.525,0.561,0.595,0.628
8,6,0.165,0.0897,0.0523,0.0517,0.051,0.0516,0.0524,0.0513,0.0508,0.0519,0.0509,0.0514,0.0507,0.0517,0.0512,0.0511,0.0503,0.051,0.0507,0.051,0.051,0.051,0.0513,0.051,0.0511,0.0501,0.0511,0.051,0.0509,0.0507,0.0512,0.0515,0.0516,0.0515,0.0525,0.053,0.0532,0.054,0.0559,0.059,0.0618,0.0665,0.0731,0.0826,0.0955,0.113,0.131,0.145,0.16,0.174,0.191,0.208,0.226,0.243,0.261,0.281,0.296,0.314,0.33,0.345,0.36,0.371,0.381,0.389,0.397,0.408,0.423,0.443,0.466,0.493,0.518,0.542,0.574
0.03125,1,0.192,0.117,0.0522,0.0511,0.051,0.0515,0.0516,0.0508,0.0498,0.0515,0.0504,0.0506,0.0504,0.051,0.0508,0.0511,0.0503,0.0507,0.051,0.0503,0.0504,0.0509,0.0505,0.0504,0.051,0.0503,0.0514,0.0516,0.0519,0.0522,0.0531,0.0542,0.0553,0.0576,0.0608,0.0654,0.0716,0.0813,0.0952,0.114,0.132,0.147,0.164,0.181,0.201,0.222,0.244,0.267,0.293,0.312,0.331,0.348,0.362,0.374,0.385,0.393,0.402,0.41,0.418,0.424,0.432,0.44,0.449,0.462,0.475,0.491,0.508,0.528,0.549,0.57,0.59,0.607,0.624
0.03125,2,0.207,0.128,0.0511,0.0507,0.0505,0.0513,0.0506,0.0509,0.0503,0.0506,0.0504,0.0503,0.0501,0.051,0.051,0.0508,0.0498,0.0499,0.0504,0.0502,0.0504,0.0507,0.0501,0.0501,0.0504,0.0508,0.0506,0.0507,0.0511,0.0517,0.0523,0.0529,0.0545,0.0559,0.0594,0.0628,0.068,0.0763,0.0885,0.106,0.125,0.141,0.16,0.176,0.198,0.222,0.243,0.265,0.286,0.308,0.327,0.344,0.359,0.372,0.383,0.391,0.4,0.407,0.414,0.421,0.429,0.437,0.449,0.462,0.479,0.504,0.534,0.564,0.597,0.627,0.655,0.682,0.705
0.03125,3,0.173,0.0718,0.0514,0.0514,0.0514,0.0517,0.0511,0.051,0.0507,0.0512,0.0513,0.0511,0.0508,0.0514,0.0521,0.0515,0.0501,0.0506,0.0508,0.0505,0.0502,0.0507,0.0505,0.0502,0.0506,0.0508,0.0513,0.0512,0.0512,0.0517,0.0524,0.0534,0.0554,0.0572,0.0604,0.065,0.0707,0.0802,0.0928,0.111,0.13,0.145,0.163,0.18,0.202,0.223,0.245,0.27,0.291,0.311,0.33,0.347,0.362,0.376,0.387,0.395,0.403,0.411,0.418,0.425,0.431,0.438,0.446,0.459,0.474,0.495,0.52,0.545,0.57,0.594,0.617,0.636,0.654
0.03125,4,0.186,0.0862,0.0507,0.0498,0.0495,0.0505,0.0496,0.0487,0.0487,0.0501,0.0495,0.0491,0.0491,0.0493,0.0499,0.0491,0.0487,0.0486,0.0494,0.0498,0.0488,0.0494,0.0494,0.0488,0.0497,0.0499,0.0503,0.0505,0.0502,0.051,0.0519,0.0531,0.0552,0.058,0.0614,0.0667,0.0735,0.0849,0.0997,0.121,0.139,0.156,0.174,0.193,0.216,0.239,0.26,0.286,0.307,0.329,0.353,0.37,0.386,0.399,0.41,0.419,0.428,0.436,0.446,0.453,0.462,0.469,0.476,0.48,0.484,0.493,0.506,0.524,0.548,0.574,0.599,0.623,0.647
