conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
100,1,0.198,0.0524,0.0525,0.0524,0.0529,0.0532,0.0531,0.0529,0.0528,0.0523,0.0522,0.0528,0.0523,0.0529,0.0524,0.0524,0.0528,0.0522,0.0512,0.0516,0.0519,0.0516,0.0519,0.0514,0.0513,0.0509,0.0509,0.05,0.0513,0.0505,0.0514,0.0504,0.0509,0.0512,0.0511,0.0512,0.0512,0.0509,0.0508,0.05,0.0509,0.0514,0.0504,0.0508,0.0516,0.0507,0.0503,0.0509,0.0503,0.0506,0.0509,0.0511,0.0505,0.0506,0.0514,0.0504,0.0504,0.0504,0.0509,0.0509,0.0508,0.0508,0.0499,0.0516,0.051,0.0511,0.0505,0.0507,0.0504,0.051,0.0507,0.0507,0.0507
100,2,0.199,0.0514,0.0526,0.0514,0.0523,0.0527,0.0522,0.0518,0.0517,0.0515,0.0519,0.0522,0.0519,0.0519,0.0512,0.0521,0.0519,0.0512,0.0506,0.0506,0.0511,0.0503,0.0512,0.0503,0.0504,0.0501,0.0506,0.0499,0.0507,0.0513,0.0514,0.0503,0.0506,0.0504,0.0506,0.05,0.0507,0.0507,0.0498,0.0499,0.0508,0.0509,0.0501,0.0497,0.0504,0.05,0.0499,0.0502,0.0492,0.0493,0.0507,0.0502,0.0499,0.0499,0.0509,0.0497,0.0496,0.05,0.0503,0.0502,0.0501,0.0511,0.0495,0.0509,0.0502,0.0506,0.0495,0.0499,0.0497,0.0506,0.0502,0.0507,0.05
100,3,0.16,0.0513,0.052,0.0508,0.0521,0.0519,0.0514,0.0518,0.0517,0.052,0.0517,0.0515,0.0519,0.0517,0.0517,0.0516,0.0517,0.0508,0.0513,0.0509,0.0506,0.0509,0.0507,0.0498,0.0504,0.0495,0.05,0.0493,0.0499,0.0502,0.0511,0.0499,0.05,0.0504,0.0506,0.0499,0.0502,0.0495,0.0493,0.0496,0.0498,0.0507,0.05,0.0498,0.0506,0.0496,0.0499,0.05,0.0494,0.0492,0.0503,0.0505,0.05,0.0498,0.0501,0.0497,0.0498,0.05,0.0498,0.0499,0.0499,0.0504,0.0495,0.0504,0.0495,0.0504,0.0496,0.0498,0.0493,0.0498,0.0495,0.0497,0.0497
100,4,0.197,0.0515,0.0513,0.0512,0.0519,0.0514,0.0509,0.0515,0.0513,0.0511,0.0508,0.0516,0.0515,0.0509,0.0504,0.0506,0.0511,0.0503,0.0502,0.0497,0.0503,0.0502,0.0504,0.0493,0.0504,0.0495,0.0496,0.0487,0.05,0.0497,0.05,0.0493,0.0494,0.0499,0.0499,0.0495,0.0499,0.0493,0.0495,0.0486,0.0498,0.0497,0.0491,0.0494,0.0502,0.049,0.0492,0.0496,0.0493,0.0491,0.0495,0.0501,0.0496,0.0491,0.05,0.0498,0.0496,0.0492,0.0499,0.0492,0.0494,0.0499,0.0487,0.0499,0.0499,0.0496,0.0494,0.0496,0.049,0.0493,0.049,0.0498,0.0492
100,5,0.193,0.0515,0.0518,0.0513,0.052,0.0523,0.0523,0.0518,0.0518,0.052,0.0516,0.0522,0.0516,0.0516,0.0514,0.0518,0.0516,0.0511,0.0513,0.0504,0.0508,0.0502,0.0503,0.0494,0.0503,0.0505,0.0499,0.0492,0.0503,0.0507,0.0512,0.0499,0.0495,0.05,0.0503,0.0496,0.0501,0.0499,0.049,0.0497,0.0504,0.0506,0.0496,0.0497,0.0502,0.0497,0.0494,0.05,0.0495,0.0494,0.0496,0.05,0.0499,0.0503,0.05,0.0498,0.0493,0.05,0.0501,0.0502,0.0498,0.0497,0.0491,0.0509,0.0503,0.0503,0.0499,0.0499,0.0498,0.0503,0.0498,0.0499,0.0493
100,6,0.189,0.053,0.0527,0.0522,0.0529,0.0529,0.0528,0.0521,0.0522,0.0525,0.0521,0.0528,0.0524,0.0528,0.0516,0.0519,0.0524,0.052,0.0516,0.0512,0.0516,0.0515,0.0512,0.0507,0.051,0.0505,0.051,0.0497,0.0513,0.0513,0.0518,0.0508,0.0505,0.0509,0.0508,0.0505,0.0507,0.05,0.05,0.0503,0.0511,0.051,0.0501,0.0508,0.0511,0.0504,0.0497,0.0509,0.0498,0.05,0.0508,0.0502,0.0506,0.0506,0.0505,0.0508,0.0499,0.0506,0.0507,0.0507,0.0509,0.0507,0.0503,0.0514,0.0509,0.0508,0.0504,0.0508,0.0505,0.0507,0.0503,0.0508,0.0507
0.390625,1,0.164,0.0519,0.052,0.0511,0.0518,0.0522,0.0516,0.0519,0.0516,0.0511,0.0509,0.0515,0.0509,0.0511,0.0508,0.0511,0.0514,0.0509,0.0508,0.0505,0.051,0.0509,0.0508,0.0501,0.051,0.0507,0.0506,0.0503,0.051,0.0513,0.052,0.051,0.0518,0.0523,0.0529,0.0533,0.0551,0.0559,0.0584,0.0623,0.0682,0.0758,0.0856,0.101,0.121,0.139,0.15,0.168,0.184,0.205,0.23,0.254,0.277,0.302,0.325,0.345,0.365,0.378,0.39,0.401,0.41,0.418,0.425,0.432,0.438,0.445,0.451,0.457,0.466,0.483,0.506,0.54,0.57
0.390625,2,0.155,0.0515,0.0518,0.0508,0.0517,0.0522,0.0516,0.0513,0.0517,0.0511,0.0507,0.0515,0.0515,0.0515,0.0512,0.0514,0.0519,0.0514,0.0513,0.0509,0.0509,0.0512,0.0506,0.0505,0.0513,0.0508,0.0506,0.0496,0.0509,0.0513,0.0521,0.0514,0.0516,0.0526,0.0537,0.0545,0.0561,0.0579,0.0611,0.0653,0.0722,0.0806,0.0922,0.109,0.129,0.146,0.158,0.174,0.189,0.212,0.234,0.257,0.281,0.302,0.322,0.342,0.361,0.377,0.386,0.395,0.402,0.409,0.415,0.422,0.428,0.433,0.439,0.446,0.452,0.457,0.465,0.475,0.49
0.390625,3,0.153,0.0495,0.0498,0.0495,0.0505,0.0503,0.0501,0.0496,0.0489,0.0494,0.0489,0.0497,0.0492,0.0496,0.0491,0.0495,0.0491,0.0493,0.0488,0.0485,0.0492,0.049,0.0492,0.0488,0.0494,0.0489,0.049,0.0481,0.0494,0.0501,0.0498,0.0493,0.05,0.0504,0.0512,0.052,0.0537,0.0552,0.0581,0.062,0.0684,0.0775,0.0892,0.105,0.126,0.142,0.158,0.174,0.194,0.219,0.245,0.27,0.294,0.317,0.339,0.359,0.373,0.389,0.401,0.411,0.42,0.429,0.437,0.445,0.454,0.464,0.481,0.509,0.545,0.579,0.609,0.638,0.663
0.390625,4,0.129,0.0505,0.0502,0.0496,0.0504,0.0501,0.0502,0.0503,0.0503,0.0501,0.0495,0.0499,0.0498,0.0498,0.0497,0.0496,0.0496,0.0491,0.0491,0.049,0.0494,0.0497,0.0492,0.0487,0.0495,0.049,0.049,0.048,0.0491,0.0495,0.0502,0.0495,0.0502,0.0509,0.0512,0.0521,0.0537,0.055,0.0569,0.0611,0.067,0.0751,0.0854,0.101,0.12,0.14,0.153,0.169,0.184,0.203,0.226,0.25,0.288,0.299,0.322,0.341,0.36,0.375,0.388,0.399,0.41,0.419,0.428,0.435,0.443,0.451,0.461,0.476,0.5,0.532,0.56,0.589,0.619
