conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
2,1,0.168,0.0554,0.0551,0.0552,0.0548,0.0548,0.0547,0.0547,0.0549,0.0552,0.0548,0.055,0.0555,0.0555,0.0551,0.0549,0.0548,0.0547,0.055,0.0548,0.0548,0.0551,0.0544,0.0543,0.0552,0.0548,0.0552,0.0537,0.0543,0.0554,0.0549,0.0546,0.0545,0.0544,0.0544,0.0543,0.0543,0.0544,0.0543,0.0547,0.0546,0.0552,0.0555,0.0563,0.0573,0.0588,0.0606,0.0633,0.0674,0.0727,0.0813,0.0923,0.109,0.127,0.141,0.151,0.172,0.196,0.218,0.239,0.259,0.275,0.295,0.316,0.337,0.353,0.369,0.39,0.408,0.421,0.432,0.443,0.454
2,2,0.16,0.0531,0.0537,0.0547,0.0531,0.0533,0.0532,0.0536,0.0531,0.0537,0.0538,0.053,0.0539,0.0538,0.0533,0.0534,0.0527,0.0532,0.0525,0.0533,0.0537,0.053,0.0524,0.0533,0.0528,0.0524,0.0531,0.0521,0.0524,0.0534,0.0534,0.0531,0.0527,0.0526,0.0526,0.0526,0.052,0.0536,0.0524,0.0527,0.0528,0.0533,0.054,0.0544,0.0554,0.0568,0.0581,0.0606,0.0645,0.0687,0.0764,0.0863,0.101,0.117,0.133,0.152,0.17,0.189,0.207,0.226,0.247,0.267,0.286,0.303,0.323,0.343,0.363,0.38,0.39,0.402,0.422,0.451,0.479
2,3,0.134,0.0539,0.0533,0.054,0.054,0.0549,0.055,0.0564,0.0562,0.0565,0.0563,0.056,0.0566,0.0571,0.0567,0.0564,0.0557,0.0564,0.0559,0.0562,0.0563,0.0563,0.0558,0.0563,0.0564,0.0564,0.057,0.0555,0.056,0.0568,0.0563,0.0562,0.0563,0.0565,0.0566,0.0563,0.056,0.0573,0.0568,0.057,0.0575,0.0583,0.0589,0.0601,0.0617,0.0634,0.0662,0.0703,0.0768,0.0843,0.0958,0.11,0.125,0.14,0.153,0.165,0.173,0.182,0.195,0.228,0.237,0.257,0.275,0.296,0.312,0.33,0.344,0.36,0.371,0.383,0.395,0.407,0.418
2,4,0.182,0.0546,0.0529,0.0534,0.052,0.0524,0.0519,0.052,0.0519,0.052,0.0518,0.0519,0.0519,0.0523,0.0518,0.0521,0.0516,0.0517,0.0517,0.0518,0.0522,0.0522,0.0514,0.0519,0.0515,0.0513,0.052,0.051,0.0518,0.0525,0.0518,0.0515,0.0513,0.0513,0.0511,0.0514,0.0516,0.0517,0.0516,0.0518,0.0522,0.0529,0.0528,0.0542,0.0566,0.0587,0.0612,0.0663,0.0735,0.0831,0.0974,0.114,0.13,0.148,0.165,0.178,0.196,0.217,0.237,0.255,0.271,0.286,0.298,0.313,0.32,0.331,0.343,0.353,0.362,0.371,0.379,0.387,0.394
2,5,0.195,0.0557,0.0534,0.0533,0.0534,0.0531,0.0531,0.0529,0.0532,0.0534,0.0533,0.0529,0.0534,0.0537,0.0529,0.053,0.0527,0.053,0.053,0.0527,0.0534,0.0531,0.0522,0.0525,0.0528,0.0527,0.0533,0.0525,0.0523,0.0528,0.053,0.0527,0.0528,0.053,0.053,0.0529,0.0527,0.0532,0.0527,0.0533,0.054,0.054,0.0544,0.0554,0.0565,0.0587,0.062,0.0658,0.0722,0.0805,0.092,0.102,0.112,0.123,0.134,0.145,0.159,0.172,0.187,0.202,0.216,0.232,0.249,0.268,0.286,0.307,0.337,0.36,0.374,0.397,0.421,0.448,0.478
2,6,0.187,0.0567,0.0552,0.0559,0.0545,0.0545,0.0543,0.0542,0.0539,0.0542,0.0544,0.0535,0.0541,0.0543,0.0542,0.0541,0.0541,0.0545,0.0546,0.0545,0.0547,0.0543,0.0544,0.0542,0.0547,0.055,0.0547,0.0539,0.0542,0.0553,0.0548,0.0547,0.0545,0.0548,0.0545,0.0545,0.0544,0.0549,0.0548,0.055,0.0553,0.0558,0.056,0.0568,0.0582,0.0606,0.0623,0.0651,0.0699,0.0757,0.085,0.0975,0.113,0.129,0.147,0.164,0.179,0.194,0.212,0.232,0.249,0.266,0.284,0.3,0.316,0.332,0.345,0.355,0.366,0.381,0.394,0.41,0.426
0.0078125,1,0.227,0.0584,0.0559,0.0535,0.0522,0.0526,0.0525,0.0526,0.0519,0.0525,0.0523,0.0522,0.052,0.053,0.0519,0.052,0.0516,0.052,0.0523,0.0521,0.0522,0.0523,0.0517,0.0522,0.0524,0.0524,0.0531,0.052,0.0532,0.0538,0.0547,0.0549,0.0566,0.0583,0.0611,0.0654,0.0711,0.079,0.0898,0.105,0.127,0.145,0.161,0.177,0.192,0.214,0.237,0.261,0.285,0.305,0.327,0.346,0.363,0.377,0.391,0.401,0.41,0.42,0.43,0.439,0.447,0.455,0.464,0.473,0.484,0.5,0.52,0.539,0.557,0.576,0.592,0.608,0.623
0.0078125,2,0.231,0.0538,0.0519,0.0529,0.0515,0.0519,0.0509,0.0508,0.0512,0.0516,0.0511,0.0515,0.0517,0.0521,0.0508,0.051,0.051,0.0514,0.0512,0.0508,0.0511,0.0517,0.0508,0.0514,0.0514,0.0509,0.0517,0.0512,0.0517,0.052,0.0528,0.0536,0.0546,0.056,0.0584,0.0612,0.0654,0.0723,0.0812,0.0954,0.113,0.134,0.15,0.169,0.185,0.204,0.224,0.249,0.275,0.299,0.323,0.343,0.362,0.379,0.391,0.402,0.412,0.421,0.431,0.44,0.449,0.457,0.465,0.472,0.478,0.483,0.487,0.492,0.496,0.502,0.505,0.508,0.513
0.0078125,3,0.231,0.0817,0.053,0.0527,0.0525,0.0526,0.052,0.052,0.0516,0.052,0.0519,0.0516,0.0516,0.0519,0.0513,0.0517,0.0516,0.0501,0.0504,0.0499,0.05,0.0507,0.0498,0.0499,0.0502,0.0504,0.0504,0.05,0.0505,0.0514,0.0515,0.0525,0.0537,0.0552,0.0575,0.0609,0.0652,0.073,0.0825,0.0965,0.115,0.133,0.152,0.169,0.19,0.214,0.239,0.264,0.292,0.319,0.343,0.364,0.385,0.403,0.416,0.431,0.442,0.453,0.465,0.477,0.488,0.499,0.507,0.516,0.523,0.53,0.537,0.543,0.551,0.553,0.561,0.567,0.574
0.0078125,4,0.212,0.0515,0.0511,0.051,0.05,0.0503,0.0497,0.0497,0.0494,0.0496,0.0495,0.0494,0.0494,0.0502,0.0494,0.0492,0.0493,0.0493,0.049,0.0493,0.0493,0.0497,0.0488,0.0493,0.0498,0.0497,0.0499,0.0495,0.0502,0.0518,0.0515,0.0526,0.0542,0.0558,0.0591,0.0635,0.0689,0.0779,0.09,0.107,0.129,0.146,0.163,0.18,0.201,0.223,0.246,0.27,0.297,0.323,0.346,0.367,0.384,0.401,0.413,0.422,0.432,0.441,0.449,0.457,0.466,0.472,0.478,0.483,0.485,0.487,0.489,0.493,0.496,0.5,0.503,0.507,0.509
0.0078125,5,0.179,0.0522,0.0512,0.0517,0.0512,0.0513,0.0514,0.0514,0.0511,0.0514,0.0512,0.0507,0.0511,0.0519,0.0511,0.051,0.051,0.0513,0.0514,0.0513,0.0515,0.0516,0.0517,0.0516,0.0515,0.0513,0.0526,0.0512,0.0528,0.0536,0.0539,0.0552,0.0564,0.0579,0.0602,0.0639,0.0693,0.0761,0.0863,0.0996,0.119,0.136,0.15,0.166,0.184,0.205,0.227,0.252,0.275,0.298,0.316,0.334,0.354,0.373,0.385,0.396,0.409,0.42,0.431,0.442,0.451,0.462,0.472,0.483,0.5,0.521,0.539,0.558,0.574,0.592,0.607,0.622,0.635
