conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
8,1,0.194,0.0519,0.0517,0.0518,0.0523,0.0515,0.0515,0.0518,0.0518,0.0519,0.0517,0.0511,0.051,0.0517,0.0514,0.0511,0.0518,0.0518,0.0515,0.0518,0.0518,0.051,0.0516,0.0512,0.0515,0.0511,0.0507,0.0508,0.0505,0.0515,0.0512,0.0505,0.0506,0.0508,0.0509,0.0508,0.051,0.0513,0.0512,0.0513,0.0503,0.0506,0.0502,0.0512,0.0511,0.0506,0.0513,0.051,0.0517,0.0514,0.0516,0.0512,0.0515,0.0512,0.052,0.0527,0.0536,0.0545,0.0562,0.0582,0.0613,0.0663,0.0727,0.0819,0.0957,0.115,0.139,0.157,0.178,0.201,0.221,0.24,0.258
8,2,0.195,0.0513,0.0509,0.0513,0.0509,0.0506,0.0508,0.0509,0.0511,0.0511,0.0509,0.0503,0.0504,0.0506,0.0505,0.0507,0.0508,0.0509,0.0509,0.0513,0.0513,0.0507,0.0511,0.0504,0.0512,0.0506,0.05,0.0502,0.0504,0.0502,0.05,0.0503,0.0496,0.0501,0.0503,0.0503,0.0506,0.0505,0.0506,0.0507,0.0502,0.0511,0.0507,0.0517,0.0525,0.0532,0.0549,0.0566,0.059,0.0631,0.0687,0.0762,0.0882,0.103,0.125,0.144,0.162,0.179,0.194,0.21,0.232,0.251,0.271,0.29,0.307,0.323,0.341,0.357,0.376,0.391,0.402,0.415,0.428
8,3,0.195,0.0511,0.0511,0.0516,0.0517,0.0506,0.051,0.0509,0.0507,0.051,0.0506,0.0506,0.0503,0.0505,0.0501,0.0506,0.0502,0.0508,0.051,0.0507,0.0508,0.0501,0.0511,0.0501,0.0506,0.0503,0.05,0.0492,0.0498,0.05,0.0501,0.0502,0.0497,0.05,0.0499,0.0502,0.0495,0.05,0.0504,0.0502,0.0497,0.0502,0.0503,0.0501,0.0506,0.0507,0.0508,0.051,0.0517,0.0528,0.0542,0.056,0.0587,0.0623,0.0677,0.0757,0.0877,0.104,0.128,0.145,0.158,0.171,0.19,0.215,0.24,0.267,0.294,0.321,0.346,0.37,0.392,0.406,0.423
8,4,0.2,0.0524,0.0513,0.0518,0.0517,0.0512,0.0512,0.0513,0.051,0.0515,0.0511,0.0505,0.0512,0.0509,0.0506,0.0507,0.0509,0.0509,0.0513,0.0515,0.051,0.0501,0.0516,0.051,0.051,0.0503,0.0504,0.0503,0.0504,0.0507,0.0503,0.0504,0.05,0.0508,0.0503,0.0506,0.0501,0.0508,0.0507,0.0509,0.0509,0.0512,0.0503,0.0508,0.0514,0.0515,0.0522,0.0529,0.0537,0.0556,0.0573,0.06,0.0643,0.0695,0.0777,0.0902,0.106,0.123,0.14,0.147,0.156,0.169,0.184,0.204,0.225,0.242,0.258,0.273,0.288,0.302,0.315,0.329,0.345
8,5,0.177,0.0521,0.0515,0.052,0.0525,0.0519,0.0519,0.052,0.0517,0.0516,0.0511,0.0518,0.0515,0.0518,0.0514,0.0514,0.0518,0.0519,0.0519,0.052,0.052,0.0514,0.0521,0.0513,0.0518,0.0509,0.0513,0.0509,0.0513,0.0516,0.051,0.0513,0.0508,0.0511,0.051,0.0512,0.0514,0.0511,0.0517,0.0514,0.0508,0.0513,0.0517,0.0524,0.0531,0.054,0.0552,0.0559,0.0576,0.0621,0.0663,0.0724,0.082,0.0938,0.11,0.13,0.144,0.161,0.177,0.192,0.211,0.23,0.246,0.262,0.278,0.292,0.306,0.321,0.333,0.348,0.359,0.368,0.378
8,6,0.177,0.0525,0.0523,0.0528,0.0523,0.052,0.0523,0.0524,0.0525,0.052,0.0518,0.052,0.0515,0.0519,0.0522,0.0516,0.052,0.0524,0.0521,0.0527,0.0525,0.0518,0.0524,0.0514,0.0522,0.0513,0.0518,0.0513,0.0517,0.0518,0.0518,0.0512,0.0515,0.0518,0.0516,0.0522,0.0516,0.052,0.0521,0.0523,0.0518,0.052,0.0523,0.0526,0.0531,0.0535,0.0546,0.056,0.0577,0.0612,0.065,0.0708,0.0797,0.0914,0.109,0.131,0.15,0.169,0.192,0.212,0.23,0.245,0.26,0.275,0.289,0.306,0.324,0.337,0.346,0.358,0.374,0.39,0.412
0.03125,1,0.178,0.0529,0.0531,0.0532,0.0532,0.053,0.0529,0.0529,0.0528,0.0525,0.0526,0.052,0.0523,0.0526,0.0518,0.0521,0.0527,0.0532,0.0528,0.0526,0.0526,0.0518,0.0527,0.0524,0.0527,0.0522,0.0523,0.0524,0.053,0.0538,0.0539,0.0542,0.0553,0.0567,0.0589,0.0627,0.0667,0.0729,0.082,0.0946,0.111,0.131,0.148,0.165,0.183,0.204,0.224,0.247,0.271,0.296,0.318,0.338,0.355,0.367,0.38,0.393,0.405,0.415,0.425,0.433,0.442,0.451,0.462,0.481,0.508,0.538,0.567,0.596,0.621,0.642,0.665,0.688,0.706
0.03125,2,0.186,0.0518,0.0516,0.052,0.0514,0.0508,0.051,0.0509,0.0511,0.0508,0.0509,0.0507,0.0504,0.0502,0.0504,0.051,0.0506,0.0511,0.0509,0.0508,0.0512,0.0504,0.0513,0.0508,0.051,0.0505,0.05,0.0505,0.0508,0.0514,0.0519,0.052,0.0528,0.0542,0.0555,0.0584,0.0615,0.0661,0.0739,0.0837,0.0973,0.118,0.136,0.153,0.169,0.184,0.203,0.225,0.25,0.273,0.295,0.316,0.336,0.353,0.369,0.382,0.391,0.4,0.407,0.415,0.423,0.43,0.437,0.448,0.466,0.49,0.516,0.545,0.569,0.589,0.61,0.63,0.645
0.03125,3,0.179,0.0508,0.0507,0.051,0.0511,0.0501,0.0505,0.0503,0.0504,0.0502,0.0496,0.0501,0.0497,0.0502,0.0504,0.0498,0.0504,0.0499,0.0503,0.0508,0.0505,0.0498,0.0504,0.0499,0.0504,0.05,0.0502,0.0502,0.0507,0.0508,0.0516,0.0516,0.0524,0.0539,0.0558,0.0593,0.0629,0.0686,0.0777,0.0897,0.105,0.127,0.142,0.157,0.174,0.194,0.217,0.239,0.264,0.288,0.315,0.333,0.354,0.366,0.381,0.394,0.405,0.415,0.425,0.434,0.444,0.454,0.463,0.474,0.488,0.51,0.536,0.564,0.594,0.623,0.648,0.677,0.701
0.03125,4,0.181,0.0501,0.0502,0.0504,0.0502,0.0494,0.05,0.0504,0.0503,0.0502,0.0498,0.0499,0.0498,0.0503,0.0493,0.05,0.05,0.05,0.0505,0.0505,0.0502,0.05,0.0503,0.0503,0.0499,0.05,0.0499,0.0497,0.0502,0.0506,0.0515,0.0512,0.0518,0.0529,0.0547,0.0577,0.0613,0.0665,0.0738,0.0845,0.098,0.119,0.137,0.151,0.167,0.185,0.208,0.23,0.253,0.278,0.304,0.327,0.348,0.363,0.379,0.393,0.406,0.416,0.427,0.436,0.446,0.455,0.463,0.471,0.476,0.484,0.495,0.506,0.517,0.528,0.54,0.555,0.568
