conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,1,0.065,0.064,0.062,0.064,0.061,0.059,0.065,0.066,0.064,0.056,0.056,0.056,0.055,0.055,0.055,0.055,0.055,0.056,0.056,0.055,0.056,0.056,0.056,0.057,0.056,0.056,0.056,0.057,0.056,0.058,0.058,0.057,0.059,0.059,0.061,0.063,0.064,0.069,0.074,0.081,0.09,0.102,0.116,0.133,0.153,0.173,0.196,0.228,0.254,0.302,0.338,0.37,0.408,0.443,0.466,0.504,0.532,0.558,0.575,0.588,0.6,0.611,0.62,0.63,0.639,0.649,0.661,0.671,0.687,0.699,0.715,0.729,0.742
0,2,0.063,0.062,0.063,0.063,0.063,0.063,0.059,0.061,0.063,0.062,0.061,0.061,0.06,0.06,0.06,0.059,0.058,0.059,0.06,0.059,0.061,0.058,0.058,0.059,0.058,0.058,0.058,0.059,0.06,0.061,0.062,0.062,0.064,0.066,0.069,0.075,0.079,0.085,0.093,0.105,0.117,0.132,0.152,0.176,0.202,0.226,0.259,0.308,0.354,0.397,0.436,0.463,0.499,0.531,0.561,0.584,0.613,0.626,0.633,0.638,0.645,0.65,0.656,0.662,0.667,0.674,0.686,0.699,0.718,0.734,0.748,0.758,0.772
0,3,0.067,0.066,0.062,0.061,0.06,0.061,0.065,0.066,0.06,0.057,0.056,0.057,0.056,0.056,0.055,0.055,0.055,0.056,0.056,0.055,0.055,0.055,0.056,0.056,0.055,0.055,0.056,0.056,0.056,0.056,0.058,0.057,0.058,0.059,0.061,0.064,0.066,0.072,0.077,0.086,0.096,0.109,0.128,0.144,0.16,0.177,0.202,0.222,0.245,0.278,0.292,0.328,0.378,0.419,0.462,0.527,0.577,0.594,0.606,0.61,0.619,0.629,0.642,0.655,0.666,0.679,0.7,0.733,0.769,0.801,0.826,0.846,0.865
0,4,0.063,0.063,0.063,0.065,0.061,0.062,0.058,0.062,0.067,0.068,0.067,0.067,0.062,0.062,0.057,0.057,0.057,0.058,0.058,0.057,0.058,0.057,0.058,0.057,0.057,0.058,0.057,0.058,0.058,0.058,0.059,0.059,0.059,0.061,0.062,0.063,0.066,0.07,0.075,0.082,0.091,0.102,0.117,0.133,0.151,0.17,0.192,0.209,0.229,0.261,0.29,0.331,0.38,0.434,0.46,0.494,0.517,0.542,0.559,0.564,0.573,0.584,0.595,0.604,0.611,0.623,0.631,0.651,0.679,0.742,0.782,0.809,0.827
0,5,0.065,0.065,0.065,0.064,0.063,0.063,0.059,0.062,0.066,0.069,0.068,0.069,0.065,0.063,0.06,0.06,0.059,0.059,0.059,0.059,0.059,0.059,0.06,0.06,0.059,0.059,0.06,0.059,0.058,0.06,0.062,0.06,0.062,0.062,0.064,0.067,0.068,0.073,0.078,0.086,0.096,0.106,0.121,0.138,0.161,0.179,0.199,0.224,0.249,0.269,0.286,0.302,0.322,0.338,0.365,0.4,0.436,0.478,0.517,0.558,0.579,0.6,0.621,0.638,0.653,0.665,0.675,0.688,0.705,0.71,0.713,0.721,0.728
0,6,0.062,0.062,0.061,0.064,0.063,0.059,0.056,0.061,0.066,0.067,0.067,0.065,0.062,0.061,0.062,0.059,0.06,0.057,0.059,0.057,0.056,0.059,0.058,0.058,0.058,0.06,0.058,0.059,0.057,0.059,0.059,0.059,0.06,0.061,0.063,0.064,0.067,0.07,0.074,0.082,0.089,0.098,0.112,0.13,0.147,0.167,0.188,0.211,0.235,0.251,0.261,0.278,0.303,0.32,0.346,0.368,0.393,0.42,0.44,0.448,0.465,0.494,0.521,0.536,0.561,0.571,0.677,0.723,0.761,0.774,0.79,0.804,0.815
0.000244141,1,0.062,0.062,0.062,0.064,0.064,0.061,0.06,0.063,0.064,0.062,0.059,0.06,0.065,0.065,0.062,0.061,0.059,0.06,0.061,0.061,0.057,0.058,0.059,0.058,0.058,0.058,0.059,0.059,0.059,0.06,0.061,0.06,0.061,0.063,0.066,0.07,0.073,0.082,0.089,0.101,0.112,0.129,0.151,0.174,0.2,0.223,0.264,0.305,0.342,0.386,0.404,0.445,0.486,0.505,0.536,0.568,0.593,0.613,0.627,0.636,0.645,0.655,0.662,0.672,0.679,0.688,0.698,0.711,0.726,0.739,0.751,0.761,0.769
0.000244141,2,0.066,0.064,0.064,0.064,0.065,0.064,0.064,0.069,0.069,0.069,0.066,0.059,0.058,0.06,0.058,0.058,0.058,0.059,0.059,0.057,0.057,0.057,0.059,0.058,0.058,0.058,0.059,0.058,0.06,0.059,0.061,0.06,0.061,0.063,0.065,0.067,0.07,0.074,0.08,0.088,0.097,0.108,0.123,0.14,0.159,0.172,0.189,0.233,0.283,0.329,0.366,0.395,0.427,0.463,0.497,0.527,0.559,0.567,0.58,0.601,0.616,0.629,0.639,0.646,0.653,0.658,0.667,0.676,0.692,0.704,0.718,0.727,0.739
0.000244141,3,0.063,0.063,0.063,0.063,0.063,0.059,0.06,0.061,0.063,0.063,0.063,0.06,0.06,0.058,0.058,0.058,0.059,0.06,0.06,0.06,0.058,0.059,0.06,0.06,0.058,0.058,0.058,0.058,0.058,0.058,0.059,0.059,0.06,0.062,0.064,0.067,0.07,0.075,0.084,0.094,0.106,0.119,0.135,0.155,0.178,0.205,0.228,0.261,0.293,0.357,0.392,0.399,0.44,0.472,0.497,0.529,0.543,0.562,0.595,0.611,0.622,0.631,0.642,0.653,0.656,0.66,0.672,0.689,0.71,0.728,0.74,0.748,0.762
0.000244141,4,0.063,0.063,0.063,0.065,0.064,0.06,0.064,0.065,0.068,0.069,0.068,0.067,0.06,0.059,0.057,0.058,0.057,0.057,0.056,0.057,0.056,0.056,0.058,0.059,0.057,0.057,0.057,0.057,0.057,0.058,0.059,0.059,0.059,0.061,0.061,0.064,0.066,0.069,0.073,0.081,0.091,0.101,0.116,0.134,0.158,0.177,0.199,0.228,0.268,0.32,0.345,0.361,0.397,0.446,0.496,0.537,0.571,0.619,0.619,0.64,0.643,0.65,0.656,0.663,0.669,0.671,0.676,0.687,0.705,0.723,0.747,0.771,0.79
