conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
8,1,0.18,0.0611,0.056,0.0541,0.0536,0.0535,0.053,0.0527,0.0531,0.0526,0.0528,0.0534,0.0525,0.053,0.0531,0.0525,0.0524,0.0528,0.0529,0.0529,0.0528,0.053,0.0527,0.0526,0.0526,0.0524,0.0529,0.0522,0.0525,0.052,0.0525,0.052,0.052,0.0522,0.0521,0.0523,0.052,0.0521,0.0514,0.0514,0.0516,0.0518,0.0521,0.052,0.052,0.0512,0.0522,0.0514,0.052,0.0517,0.0517,0.0513,0.052,0.0507,0.0516,0.052,0.0519,0.0515,0.0519,0.0515,0.0518,0.0511,0.0517,0.0527,0.0523,0.0516,0.0532,0.0533,0.054,0.0542,0.0567,0.0595,0.0636
8,2,0.174,0.0574,0.0536,0.0524,0.0525,0.0522,0.0522,0.0516,0.0522,0.052,0.0524,0.052,0.052,0.0516,0.0519,0.0517,0.0519,0.052,0.0521,0.0518,0.0515,0.0514,0.0515,0.0515,0.0508,0.0511,0.0516,0.0503,0.051,0.0508,0.0511,0.0506,0.0512,0.0511,0.0511,0.051,0.0509,0.0513,0.05,0.0508,0.0504,0.0507,0.0506,0.0501,0.0509,0.0507,0.0507,0.0508,0.0511,0.0507,0.0506,0.0512,0.0508,0.0507,0.0504,0.0516,0.0518,0.0523,0.0523,0.0529,0.0536,0.0537,0.056,0.0581,0.0596,0.0626,0.0695,0.0731,0.0799,0.0899,0.104,0.121,0.14
8,3,0.199,0.0534,0.0531,0.0527,0.0532,0.0524,0.0522,0.0518,0.0526,0.0517,0.052,0.0523,0.0519,0.0523,0.0517,0.0516,0.0521,0.0521,0.0524,0.0523,0.052,0.0515,0.0519,0.0514,0.0514,0.0514,0.0515,0.051,0.0512,0.0512,0.0513,0.0515,0.0517,0.0511,0.0513,0.0514,0.0504,0.0513,0.0501,0.0506,0.0505,0.0511,0.0508,0.051,0.0508,0.05,0.0513,0.051,0.0512,0.0508,0.0504,0.0509,0.0512,0.0508,0.0504,0.0513,0.0508,0.0512,0.052,0.0515,0.0531,0.0531,0.0542,0.0552,0.0571,0.0584,0.0625,0.066,0.0716,0.0787,0.0883,0.101,0.117
8,4,0.181,0.0546,0.0538,0.0531,0.0527,0.0526,0.053,0.0526,0.0532,0.0524,0.0525,0.0525,0.0525,0.0524,0.052,0.052,0.0525,0.0519,0.0524,0.0522,0.0523,0.0524,0.0526,0.0521,0.0527,0.0523,0.0524,0.0513,0.0518,0.0518,0.0517,0.052,0.0524,0.0518,0.052,0.052,0.0516,0.051,0.0502,0.0509,0.0505,0.0512,0.05,0.0507,0.0507,0.0503,0.0508,0.0509,0.0507,0.0504,0.0504,0.0503,0.0508,0.0506,0.0502,0.0511,0.0503,0.0508,0.0506,0.051,0.0512,0.051,0.0506,0.0519,0.0516,0.051,0.0525,0.0527,0.0534,0.054,0.0561,0.0583,0.0615
8,5,0.214,0.0552,0.0552,0.0546,0.0548,0.0543,0.0548,0.0543,0.0551,0.0545,0.0551,0.0551,0.0548,0.055,0.0548,0.0543,0.0545,0.0548,0.0545,0.0547,0.0543,0.0536,0.0536,0.0531,0.0534,0.0538,0.054,0.0526,0.0536,0.0532,0.0532,0.0532,0.0531,0.0527,0.0532,0.0531,0.0533,0.0532,0.0524,0.0526,0.0528,0.0531,0.0529,0.0536,0.0537,0.0531,0.0543,0.0547,0.056,0.057,0.0591,0.0621,0.0668,0.0724,0.0809,0.0943,0.111,0.13,0.144,0.158,0.174,0.193,0.215,0.234,0.251,0.265,0.282,0.297,0.31,0.324,0.334,0.342,0.355
8,6,0.194,0.0565,0.0553,0.0547,0.0548,0.0541,0.0543,0.0537,0.0549,0.0534,0.0536,0.0544,0.0536,0.0543,0.0536,0.0532,0.0537,0.0538,0.0539,0.0541,0.0535,0.0531,0.0536,0.0533,0.053,0.0533,0.0538,0.053,0.0531,0.0527,0.0533,0.0534,0.0535,0.0526,0.0525,0.0532,0.0531,0.0529,0.0521,0.0524,0.0527,0.053,0.0524,0.053,0.0529,0.0521,0.0531,0.0525,0.0529,0.0526,0.0527,0.0526,0.0526,0.0522,0.0523,0.0525,0.0523,0.0522,0.0529,0.0524,0.0525,0.0525,0.0523,0.0528,0.0529,0.0515,0.053,0.0525,0.0529,0.0525,0.053,0.0539,0.0543
0.03125,1,0.201,0.0561,0.0548,0.0543,0.0547,0.0537,0.0539,0.0532,0.0539,0.0531,0.0537,0.0539,0.0534,0.0534,0.0534,0.0531,0.053,0.0532,0.0534,0.0539,0.0535,0.0536,0.0536,0.0529,0.0532,0.0538,0.0543,0.0533,0.0543,0.0545,0.0562,0.0574,0.0592,0.0606,0.0638,0.0679,0.0736,0.0821,0.0927,0.108,0.129,0.147,0.164,0.181,0.2,0.221,0.242,0.265,0.29,0.313,0.334,0.352,0.369,0.384,0.398,0.41,0.42,0.428,0.437,0.444,0.453,0.461,0.469,0.477,0.486,0.499,0.523,0.548,0.578,0.603,0.629,0.65,0.669
0.03125,2,0.208,0.0542,0.0544,0.0538,0.0538,0.0531,0.0529,0.0533,0.0536,0.0528,0.0532,0.0533,0.0528,0.0534,0.0527,0.0531,0.0525,0.0528,0.0532,0.0534,0.0532,0.0532,0.0532,0.0531,0.0525,0.0534,0.0534,0.0534,0.0537,0.0539,0.0552,0.0554,0.057,0.0581,0.0605,0.0637,0.068,0.075,0.0836,0.0972,0.115,0.135,0.15,0.168,0.183,0.202,0.221,0.244,0.269,0.292,0.313,0.334,0.354,0.368,0.383,0.397,0.408,0.417,0.426,0.435,0.445,0.453,0.462,0.473,0.488,0.506,0.538,0.573,0.605,0.632,0.654,0.672,0.691
0.03125,3,0.199,0.0541,0.053,0.0522,0.0526,0.0519,0.0526,0.0513,0.0522,0.0517,0.052,0.0523,0.0517,0.0519,0.0517,0.0513,0.0515,0.0515,0.0518,0.052,0.0511,0.0517,0.0522,0.0516,0.0515,0.0514,0.052,0.0513,0.0518,0.052,0.0534,0.0534,0.0552,0.056,0.0579,0.0608,0.0648,0.0705,0.0781,0.0897,0.107,0.128,0.144,0.164,0.181,0.2,0.224,0.247,0.271,0.295,0.318,0.341,0.359,0.375,0.389,0.402,0.413,0.423,0.431,0.44,0.448,0.457,0.464,0.472,0.479,0.489,0.503,0.521,0.539,0.555,0.573,0.592,0.611
0.03125,4,0.184,0.0521,0.0519,0.0515,0.0513,0.0507,0.0512,0.051,0.0513,0.0505,0.0506,0.0512,0.0508,0.0505,0.0503,0.05,0.0502,0.0503,0.0506,0.0512,0.0502,0.0504,0.0504,0.0503,0.0501,0.0507,0.0511,0.0503,0.0509,0.0515,0.0521,0.0532,0.0548,0.0564,0.0594,0.0634,0.0687,0.0774,0.0881,0.105,0.126,0.144,0.161,0.178,0.198,0.219,0.241,0.265,0.288,0.311,0.333,0.352,0.368,0.381,0.394,0.405,0.414,0.423,0.43,0.437,0.444,0.452,0.463,0.475,0.489,0.501,0.519,0.541,0.569,0.595,0.62,0.639,0.66
