conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,1,0.0838,0.0594,0.0592,0.0596,0.0597,0.0597,0.0598,0.0598,0.0597,0.0594,0.06,0.0596,0.0595,0.0593,0.0599,0.0594,0.059,0.0588,0.0589,0.0594,0.0596,0.0588,0.0587,0.0584,0.0592,0.0588,0.0587,0.0594,0.0593,0.0597,0.0592,0.0588,0.0586,0.0596,0.0597,0.06,0.0601,0.0608,0.0628,0.0639,0.0651,0.0689,0.0722,0.0769,0.0842,0.0938,0.107,0.12,0.134,0.148,0.164,0.182,0.2,0.216,0.233,0.245,0.257,0.266,0.272,0.281,0.296,0.309,0.325,0.342,0.357,0.372,0.386,0.404,0.419,0.435,0.448,0.463,0.48
0,2,0.0851,0.0604,0.0615,0.0615,0.0608,0.0604,0.0605,0.0607,0.0603,0.0609,0.0609,0.0608,0.06,0.0606,0.0603,0.0608,0.0602,0.0605,0.0602,0.0604,0.0605,0.0601,0.0605,0.0597,0.0605,0.0598,0.0597,0.0599,0.0605,0.061,0.0594,0.0598,0.0601,0.0604,0.0607,0.0608,0.0612,0.0615,0.0635,0.0641,0.0649,0.0678,0.0707,0.0757,0.0823,0.0916,0.103,0.117,0.132,0.146,0.164,0.18,0.199,0.215,0.232,0.245,0.257,0.269,0.275,0.286,0.3,0.315,0.328,0.342,0.356,0.367,0.379,0.394,0.412,0.433,0.451,0.471,0.49
0,3,0.0576,0.0584,0.0576,0.0578,0.0574,0.0572,0.0568,0.0572,0.0572,0.0576,0.0572,0.057,0.0574,0.0568,0.0563,0.0567,0.0567,0.0568,0.0568,0.0573,0.0573,0.0574,0.0569,0.0561,0.057,0.0564,0.0573,0.0572,0.0573,0.0571,0.0567,0.0575,0.0573,0.0577,0.0585,0.059,0.0597,0.0599,0.0619,0.0633,0.0655,0.0684,0.0723,0.078,0.0854,0.0958,0.109,0.125,0.142,0.157,0.174,0.19,0.21,0.228,0.247,0.264,0.28,0.291,0.301,0.316,0.333,0.355,0.379,0.41,0.443,0.475,0.507,0.537,0.568,0.595,0.621,0.647,0.671
0,4,0.0578,0.0559,0.0562,0.0565,0.0566,0.0556,0.0557,0.056,0.0557,0.0569,0.0563,0.0565,0.0559,0.0557,0.0558,0.0556,0.0552,0.0554,0.0549,0.0557,0.0554,0.0556,0.0553,0.0551,0.0553,0.0549,0.055,0.0561,0.0561,0.0558,0.0559,0.0558,0.056,0.056,0.0572,0.0569,0.0578,0.0589,0.0606,0.0612,0.0639,0.0682,0.0728,0.0794,0.0887,0.1,0.114,0.131,0.146,0.164,0.181,0.199,0.219,0.238,0.253,0.266,0.281,0.29,0.299,0.31,0.326,0.349,0.376,0.406,0.438,0.471,0.502,0.528,0.556,0.585,0.613,0.641,0.663
0,5,0.0597,0.0593,0.0598,0.0599,0.0591,0.059,0.0588,0.0594,0.0585,0.0598,0.0599,0.0595,0.0593,0.0592,0.0586,0.0589,0.0585,0.0584,0.0593,0.0586,0.0593,0.0591,0.0591,0.0583,0.0595,0.0588,0.0592,0.0596,0.059,0.0597,0.059,0.0594,0.0593,0.0599,0.0608,0.0618,0.0621,0.0631,0.0655,0.0675,0.0698,0.074,0.0796,0.0856,0.0945,0.106,0.12,0.135,0.147,0.161,0.177,0.192,0.207,0.223,0.24,0.257,0.272,0.286,0.296,0.311,0.326,0.344,0.362,0.383,0.404,0.425,0.446,0.465,0.486,0.509,0.531,0.553,0.573
0,6,0.0583,0.0576,0.0581,0.058,0.0585,0.0581,0.0574,0.0582,0.0581,0.0586,0.0586,0.0589,0.0582,0.058,0.0582,0.0578,0.0578,0.0576,0.0577,0.0581,0.0581,0.0579,0.0579,0.0569,0.0582,0.0575,0.0576,0.058,0.0579,0.0588,0.0577,0.0582,0.0585,0.0595,0.0602,0.06,0.0606,0.0614,0.0645,0.0657,0.0685,0.0727,0.0787,0.0871,0.0956,0.108,0.122,0.14,0.156,0.174,0.195,0.216,0.238,0.261,0.286,0.317,0.348,0.376,0.402,0.431,0.463,0.498,0.533,0.565,0.595,0.619,0.642,0.662,0.682,0.699,0.716,0.732,0.744
6.10E-05,1,0.102,0.0553,0.056,0.0557,0.0558,0.0552,0.0548,0.0556,0.0551,0.0557,0.0556,0.0561,0.0548,0.0547,0.055,0.0552,0.0551,0.0549,0.0552,0.0545,0.0551,0.055,0.0549,0.0542,0.055,0.0538,0.0541,0.0546,0.0545,0.0553,0.0546,0.0549,0.0546,0.0557,0.0553,0.0553,0.0567,0.0568,0.0586,0.06,0.0615,0.0644,0.0673,0.0733,0.0794,0.0879,0.101,0.116,0.13,0.144,0.16,0.179,0.198,0.216,0.229,0.244,0.258,0.269,0.288,0.303,0.322,0.339,0.355,0.369,0.382,0.392,0.404,0.414,0.426,0.441,0.457,0.478,0.498
6.10E-05,2,0.174,0.0554,0.0552,0.0552,0.0555,0.0551,0.055,0.0552,0.0548,0.0556,0.0554,0.0553,0.0552,0.0549,0.0551,0.055,0.0553,0.0543,0.055,0.0551,0.0547,0.0547,0.0546,0.0538,0.0544,0.0535,0.0541,0.055,0.0547,0.0547,0.0546,0.0545,0.0548,0.055,0.0553,0.0557,0.056,0.0574,0.0587,0.0596,0.0614,0.0642,0.0679,0.0727,0.0791,0.0876,0.0992,0.113,0.128,0.143,0.158,0.175,0.191,0.212,0.229,0.244,0.257,0.267,0.278,0.291,0.305,0.318,0.332,0.345,0.358,0.371,0.382,0.395,0.405,0.417,0.43,0.448,0.464
6.10E-05,3,0.178,0.0557,0.0563,0.0559,0.0557,0.0549,0.0548,0.0555,0.0555,0.0559,0.056,0.0554,0.0549,0.0551,0.0557,0.0553,0.0549,0.055,0.0547,0.0555,0.0551,0.0551,0.0552,0.0545,0.055,0.0538,0.0543,0.0555,0.0551,0.0556,0.0551,0.0552,0.0552,0.0558,0.0561,0.0564,0.0568,0.0574,0.0596,0.0608,0.063,0.0664,0.0708,0.0758,0.0838,0.0941,0.108,0.125,0.139,0.154,0.174,0.192,0.211,0.229,0.246,0.259,0.268,0.282,0.298,0.313,0.329,0.345,0.36,0.374,0.386,0.396,0.406,0.418,0.432,0.45,0.472,0.497,0.521
6.10E-05,4,0.143,0.056,0.0561,0.0571,0.0562,0.0567,0.0562,0.0565,0.0558,0.0572,0.0563,0.0569,0.0563,0.0558,0.0562,0.056,0.0559,0.0556,0.0558,0.0562,0.0557,0.056,0.0554,0.0552,0.0554,0.0551,0.0556,0.0556,0.0556,0.0564,0.0558,0.0561,0.0557,0.0558,0.0569,0.0569,0.0578,0.0587,0.0603,0.0613,0.0635,0.0667,0.0703,0.0752,0.0818,0.0918,0.104,0.121,0.136,0.15,0.168,0.187,0.205,0.224,0.242,0.26,0.276,0.285,0.3,0.314,0.331,0.346,0.36,0.373,0.386,0.396,0.407,0.416,0.429,0.443,0.459,0.481,0.502
