conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
16,1,0.159,0.0586,0.0585,0.0582,0.0581,0.058,0.0579,0.058,0.0574,0.0573,0.0577,0.0574,0.0572,0.0576,0.0572,0.0573,0.0569,0.0569,0.0563,0.0562,0.0568,0.056,0.0553,0.056,0.0561,0.0558,0.056,0.0557,0.0555,0.0553,0.0553,0.0555,0.0554,0.0552,0.0551,0.0558,0.0546,0.0549,0.0551,0.0546,0.0548,0.0551,0.0558,0.0555,0.0561,0.056,0.0564,0.0575,0.0579,0.0602,0.062,0.0639,0.0675,0.0719,0.0783,0.0865,0.0971,0.112,0.127,0.141,0.157,0.174,0.192,0.207,0.219,0.235,0.249,0.266,0.286,0.303,0.319,0.334,0.348
16,2,0.212,0.0577,0.0574,0.0569,0.0573,0.0565,0.0567,0.0565,0.0561,0.0559,0.0559,0.0562,0.0555,0.0556,0.0553,0.0562,0.0557,0.0554,0.0551,0.0551,0.0554,0.055,0.0545,0.0548,0.0547,0.0537,0.0546,0.0545,0.0546,0.0547,0.054,0.0541,0.054,0.054,0.0539,0.0543,0.0535,0.0535,0.0539,0.054,0.0541,0.0544,0.0547,0.0543,0.0546,0.0553,0.0556,0.0555,0.0559,0.0573,0.0588,0.0605,0.0636,0.0667,0.0715,0.0782,0.0864,0.0983,0.114,0.127,0.143,0.16,0.179,0.197,0.212,0.227,0.247,0.264,0.281,0.297,0.313,0.328,0.34
16,3,0.19,0.0563,0.0563,0.0563,0.0562,0.056,0.0557,0.0557,0.0549,0.0553,0.0552,0.0548,0.0548,0.0551,0.0553,0.0551,0.0545,0.0547,0.0545,0.0545,0.0546,0.0546,0.0536,0.0543,0.0543,0.053,0.0536,0.054,0.0539,0.0537,0.0529,0.053,0.0533,0.0534,0.0532,0.0537,0.0533,0.0527,0.053,0.0523,0.0528,0.0532,0.0539,0.0536,0.0536,0.0537,0.0541,0.0539,0.0542,0.0563,0.0569,0.0589,0.0611,0.064,0.0687,0.0745,0.083,0.0943,0.11,0.124,0.14,0.157,0.176,0.193,0.204,0.221,0.242,0.26,0.278,0.296,0.313,0.33,0.345
16,4,0.165,0.0571,0.057,0.056,0.0564,0.0558,0.056,0.0561,0.0549,0.0552,0.0553,0.0553,0.0549,0.0553,0.0555,0.0553,0.0543,0.0545,0.0546,0.0543,0.0545,0.0539,0.0537,0.0537,0.0539,0.0537,0.0534,0.0535,0.0532,0.0534,0.0532,0.0533,0.0531,0.053,0.0526,0.0532,0.0524,0.0525,0.0532,0.0521,0.0535,0.0533,0.053,0.0528,0.0537,0.0539,0.0546,0.0548,0.0552,0.057,0.0583,0.0604,0.0634,0.0675,0.073,0.0806,0.091,0.105,0.12,0.134,0.151,0.169,0.188,0.202,0.218,0.232,0.245,0.26,0.277,0.293,0.309,0.326,0.34
16,5,0.159,0.0588,0.0579,0.0577,0.0589,0.0574,0.0576,0.0573,0.0562,0.0568,0.0574,0.0571,0.0569,0.0576,0.0574,0.0569,0.0569,0.0567,0.0565,0.0561,0.0571,0.057,0.0561,0.0556,0.0564,0.0558,0.0561,0.0556,0.0555,0.0556,0.055,0.0557,0.0556,0.0553,0.0547,0.0553,0.0548,0.0543,0.0548,0.0544,0.055,0.0555,0.0555,0.0551,0.0554,0.0556,0.0565,0.0565,0.0568,0.0585,0.06,0.0616,0.0648,0.0678,0.0722,0.0789,0.0875,0.0987,0.116,0.128,0.142,0.159,0.175,0.191,0.201,0.214,0.228,0.24,0.253,0.271,0.287,0.303,0.318
16,6,0.171,0.0582,0.0584,0.0579,0.0577,0.0575,0.0577,0.0579,0.0573,0.0571,0.0576,0.0573,0.0567,0.0577,0.057,0.0569,0.0566,0.0565,0.0564,0.0559,0.0564,0.0566,0.056,0.0561,0.0556,0.056,0.0558,0.0555,0.0558,0.0552,0.0545,0.0554,0.0556,0.055,0.0547,0.055,0.0552,0.0552,0.0548,0.0546,0.0551,0.0552,0.0554,0.0555,0.0554,0.0559,0.0566,0.0564,0.0579,0.059,0.06,0.0622,0.0658,0.0686,0.0742,0.0816,0.0917,0.106,0.121,0.135,0.151,0.169,0.189,0.203,0.217,0.236,0.252,0.269,0.288,0.307,0.323,0.341,0.358
0.0625,1,0.171,0.0579,0.0575,0.0571,0.0573,0.0566,0.0569,0.0566,0.0567,0.0565,0.0568,0.0563,0.0561,0.0567,0.0564,0.0562,0.0555,0.0557,0.0557,0.0552,0.0557,0.0555,0.0549,0.0555,0.0554,0.0553,0.0553,0.0553,0.0556,0.0553,0.0553,0.0556,0.0556,0.0555,0.0555,0.0562,0.0559,0.0565,0.0575,0.0582,0.0594,0.0612,0.0639,0.0672,0.0715,0.0777,0.0869,0.0978,0.114,0.128,0.143,0.16,0.178,0.196,0.21,0.226,0.242,0.255,0.273,0.293,0.312,0.332,0.35,0.365,0.381,0.395,0.411,0.422,0.436,0.452,0.469,0.489,0.512
0.0625,2,0.166,0.0598,0.059,0.0588,0.0588,0.0582,0.0591,0.0583,0.0577,0.058,0.0582,0.0576,0.0577,0.0585,0.0576,0.0576,0.057,0.0573,0.0575,0.057,0.0579,0.0569,0.0566,0.0563,0.0572,0.0567,0.0573,0.0568,0.0573,0.0571,0.0567,0.0574,0.0573,0.057,0.0572,0.0582,0.058,0.0582,0.0591,0.0597,0.0618,0.0644,0.0676,0.0711,0.077,0.0841,0.0951,0.109,0.124,0.138,0.152,0.169,0.186,0.201,0.214,0.229,0.244,0.26,0.277,0.295,0.314,0.332,0.349,0.366,0.379,0.395,0.408,0.419,0.43,0.442,0.455,0.47,0.488
0.0625,3,0.166,0.0596,0.0582,0.0584,0.0584,0.0581,0.0581,0.0584,0.0574,0.0575,0.058,0.0553,0.0552,0.0556,0.0555,0.0551,0.0547,0.055,0.0544,0.0544,0.0544,0.0545,0.0545,0.0541,0.0544,0.0545,0.0544,0.0547,0.0543,0.0547,0.0537,0.0544,0.0543,0.0547,0.054,0.0556,0.0552,0.0552,0.0563,0.0572,0.0594,0.0603,0.0638,0.0661,0.0707,0.0771,0.0854,0.0956,0.111,0.126,0.139,0.154,0.17,0.188,0.201,0.214,0.23,0.243,0.261,0.277,0.298,0.317,0.335,0.351,0.366,0.38,0.394,0.406,0.419,0.432,0.442,0.455,0.472
0.0625,4,0.154,0.0552,0.0552,0.0548,0.0549,0.0542,0.055,0.0542,0.054,0.0538,0.0543,0.0542,0.0539,0.0542,0.0539,0.0539,0.0535,0.0535,0.0536,0.0531,0.0537,0.054,0.0527,0.0527,0.0536,0.0535,0.0536,0.053,0.0531,0.0532,0.0524,0.0535,0.0534,0.0529,0.0536,0.0544,0.054,0.0544,0.0555,0.0565,0.058,0.0601,0.0634,0.0668,0.072,0.0793,0.0886,0.101,0.117,0.13,0.146,0.163,0.181,0.198,0.211,0.23,0.246,0.26,0.276,0.293,0.311,0.327,0.343,0.357,0.372,0.386,0.401,0.413,0.43,0.458,0.489,0.525,0.568
