conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
2,1,0.122,0.0546,0.0542,0.0534,0.0533,0.0535,0.0529,0.0533,0.0544,0.0537,0.0533,0.0541,0.0534,0.0532,0.0531,0.0526,0.0525,0.0525,0.0526,0.0529,0.0524,0.0523,0.0519,0.0524,0.0513,0.0515,0.0511,0.0522,0.0515,0.0516,0.0523,0.0516,0.0515,0.0517,0.0517,0.0517,0.0516,0.0508,0.0516,0.0515,0.05,0.0512,0.0514,0.0513,0.0506,0.0504,0.0511,0.0508,0.0511,0.0507,0.0511,0.0504,0.051,0.0508,0.0507,0.0506,0.051,0.051,0.0512,0.0508,0.051,0.0511,0.0513,0.0513,0.0508,0.0516,0.0512,0.0515,0.0505,0.0517,0.0523,0.0517,0.0521
2,2,0.155,0.0562,0.0567,0.0563,0.0561,0.0562,0.0559,0.0559,0.0568,0.0559,0.056,0.0557,0.0564,0.0556,0.0558,0.0553,0.0554,0.0547,0.0557,0.0559,0.0549,0.0557,0.0544,0.0549,0.0544,0.0546,0.0543,0.0547,0.0544,0.0544,0.0544,0.0538,0.0541,0.0541,0.0541,0.0539,0.0544,0.0534,0.0542,0.0541,0.0534,0.0541,0.0538,0.0539,0.0532,0.0529,0.0537,0.0533,0.0538,0.0534,0.0535,0.0528,0.0531,0.0529,0.0529,0.0529,0.0534,0.0533,0.0536,0.0536,0.0536,0.0531,0.0532,0.0535,0.0534,0.0531,0.0531,0.053,0.0528,0.0534,0.0535,0.0536,0.0536
2,3,0.159,0.0532,0.0534,0.0528,0.053,0.0528,0.0521,0.052,0.053,0.0524,0.052,0.052,0.0522,0.0519,0.0511,0.0516,0.0515,0.0514,0.0518,0.0512,0.0516,0.0515,0.0513,0.0513,0.0505,0.0507,0.0508,0.0508,0.0506,0.0513,0.0509,0.0509,0.0513,0.0506,0.0507,0.0509,0.0509,0.0495,0.0508,0.0504,0.0501,0.0501,0.0502,0.0499,0.05,0.0493,0.0504,0.05,0.05,0.0495,0.0497,0.0494,0.0495,0.0491,0.0491,0.0492,0.0496,0.0498,0.0496,0.0503,0.0503,0.0501,0.05,0.0502,0.0501,0.0506,0.05,0.0504,0.0503,0.0503,0.0509,0.0501,0.0508
2,4,0.164,0.0526,0.0522,0.0522,0.0523,0.0519,0.0518,0.0518,0.0527,0.0518,0.0518,0.0518,0.0524,0.0518,0.0515,0.0511,0.0509,0.0514,0.0516,0.0513,0.0512,0.0515,0.0509,0.051,0.0507,0.0506,0.0504,0.0512,0.0505,0.0509,0.0511,0.0508,0.0503,0.0505,0.0509,0.0499,0.0505,0.0494,0.05,0.0505,0.0503,0.0505,0.0506,0.05,0.0497,0.0494,0.0498,0.0496,0.0495,0.0495,0.0495,0.0492,0.0499,0.0498,0.0493,0.0492,0.0499,0.0502,0.0496,0.0501,0.0498,0.0502,0.0503,0.0502,0.0499,0.0508,0.05,0.0506,0.0509,0.0509,0.0516,0.0507,0.0518
2,5,0.176,0.0543,0.0539,0.0543,0.0538,0.0538,0.0534,0.0538,0.0546,0.0538,0.0536,0.0543,0.0534,0.0534,0.0536,0.0534,0.0532,0.0532,0.0535,0.053,0.0528,0.0532,0.0527,0.0528,0.0519,0.0526,0.0524,0.0524,0.052,0.0525,0.0519,0.0526,0.0526,0.0515,0.0527,0.0515,0.052,0.0509,0.0519,0.0524,0.0515,0.0518,0.0513,0.0515,0.0513,0.0509,0.052,0.0518,0.0509,0.0509,0.0511,0.0512,0.0516,0.0512,0.0509,0.0508,0.0515,0.0516,0.0509,0.0521,0.0519,0.0515,0.0512,0.0521,0.0519,0.052,0.0517,0.052,0.0522,0.0528,0.0525,0.0523,0.0528
2,6,0.165,0.0543,0.0535,0.054,0.054,0.0537,0.0532,0.053,0.054,0.054,0.0531,0.0537,0.0533,0.0529,0.0534,0.0527,0.0526,0.0531,0.0532,0.0531,0.0523,0.0531,0.0518,0.0531,0.0524,0.0523,0.0516,0.0521,0.0518,0.052,0.0519,0.0525,0.052,0.0514,0.0514,0.0515,0.0514,0.0502,0.0518,0.0512,0.0509,0.0516,0.0512,0.0514,0.051,0.0508,0.0513,0.0508,0.0513,0.051,0.0509,0.0507,0.0511,0.0505,0.0501,0.0502,0.0508,0.0512,0.0508,0.0516,0.0509,0.0513,0.0511,0.0518,0.051,0.052,0.0511,0.0515,0.051,0.0518,0.0518,0.052,0.052
0.0078125,1,0.177,0.0539,0.0542,0.0539,0.0541,0.0538,0.0532,0.054,0.054,0.0537,0.0534,0.0537,0.0545,0.0536,0.0531,0.0536,0.0533,0.0534,0.0537,0.0534,0.0529,0.0534,0.0524,0.0531,0.0526,0.0528,0.0528,0.0526,0.0521,0.0532,0.0526,0.053,0.0527,0.0526,0.0534,0.0531,0.0535,0.053,0.0549,0.0553,0.0561,0.0585,0.061,0.0645,0.0686,0.0742,0.0837,0.0944,0.11,0.122,0.134,0.147,0.16,0.174,0.185,0.196,0.216,0.229,0.243,0.254,0.265,0.279,0.293,0.305,0.317,0.33,0.342,0.354,0.367,0.386,0.411,0.446,0.485
0.0078125,2,0.173,0.0553,0.0544,0.0541,0.0545,0.0538,0.0531,0.0526,0.0537,0.053,0.0531,0.0534,0.0535,0.0533,0.0524,0.0528,0.0524,0.0523,0.0527,0.0524,0.0524,0.0528,0.0521,0.052,0.0516,0.0516,0.0514,0.052,0.0518,0.0517,0.0514,0.0519,0.0519,0.0513,0.0514,0.0517,0.0523,0.052,0.0533,0.0541,0.0549,0.0571,0.0586,0.0619,0.0656,0.0705,0.0795,0.0897,0.103,0.118,0.131,0.143,0.159,0.176,0.191,0.204,0.218,0.231,0.241,0.254,0.267,0.28,0.294,0.308,0.321,0.334,0.346,0.361,0.381,0.413,0.461,0.513,0.563
0.0078125,3,0.116,0.0526,0.0525,0.0525,0.0524,0.0521,0.0518,0.0516,0.0524,0.0516,0.0517,0.0521,0.0515,0.0516,0.0514,0.0514,0.0507,0.0509,0.0516,0.0506,0.0507,0.0509,0.0501,0.0507,0.0501,0.0503,0.0498,0.0503,0.0501,0.0503,0.0501,0.05,0.0503,0.0499,0.0502,0.0501,0.0511,0.0503,0.0518,0.0525,0.0525,0.0545,0.057,0.0595,0.0627,0.0676,0.0766,0.0862,0.101,0.113,0.127,0.141,0.157,0.174,0.19,0.205,0.221,0.238,0.254,0.27,0.287,0.3,0.312,0.324,0.336,0.348,0.362,0.374,0.387,0.399,0.414,0.429,0.446
0.0078125,4,0.132,0.0517,0.0518,0.0521,0.0519,0.0517,0.0515,0.0514,0.0525,0.0513,0.0511,0.0513,0.0516,0.051,0.0509,0.051,0.0509,0.05,0.0509,0.0511,0.0506,0.0512,0.0503,0.0502,0.0501,0.0505,0.0504,0.0503,0.0503,0.0503,0.0506,0.0506,0.0504,0.0501,0.0504,0.0505,0.0505,0.0505,0.0524,0.0525,0.0537,0.055,0.0572,0.0602,0.0639,0.0694,0.0776,0.0873,0.101,0.114,0.127,0.139,0.152,0.166,0.178,0.19,0.204,0.22,0.232,0.244,0.256,0.27,0.283,0.297,0.309,0.322,0.336,0.353,0.373,0.409,0.464,0.522,0.578
0.0078125,5,0.122,0.0523,0.0518,0.0517,0.0516,0.0522,0.0514,0.0512,0.0523,0.0515,0.0516,0.0518,0.0518,0.0515,0.0511,0.0512,0.0507,0.0504,0.0509,0.0507,0.0507,0.0514,0.0504,0.0508,0.0497,0.05,0.0501,0.0498,0.0499,0.0498,0.0502,0.0499,0.0503,0.0503,0.0503,0.0504,0.0509,0.0503,0.0518,0.0524,0.0532,0.0556,0.0579,0.0614,0.0655,0.0718,0.0809,0.0911,0.106,0.12,0.133,0.146,0.161,0.176,0.19,0.202,0.215,0.226,0.241,0.258,0.27,0.284,0.3,0.312,0.325,0.336,0.348,0.359,0.37,0.382,0.395,0.415,0.448
0.0078125,6,0.147,0.0565,0.0617,0.0615,0.0609,0.0603,0.0601,0.0601,0.062,0.0607,0.061,0.061,0.061,0.0609,0.0607,0.0606,0.0608,0.06,0.061,0.0611,0.0605,0.0609,0.0606,0.0609,0.0603,0.0603,0.0601,0.0603,0.0604,0.0608,0.0609,0.0607,0.0612,0.0605,0.061,0.0608,0.0612,0.0613,0.0628,0.0634,0.0643,0.066,0.0679,0.071,0.0746,0.0789,0.0865,0.0956,0.108,0.125,0.136,0.148,0.164,0.179,0.193,0.207,0.222,0.235,0.248,0.262,0.276,0.29,0.306,0.321,0.332,0.345,0.357,0.367,0.378,0.392,0.406,0.425,0.444
1,1,0.137,0.0542,0.0545,0.0541,0.0542,0.0539,0.0538,0.0539,0.0545,0.0541,0.0539,0.0539,0.0538,0.0534,0.0537,0.0538,0.0529,0.0528,0.0534,0.0532,0.053,0.0533,0.0528,0.0535,0.0524,0.0527,0.0523,0.0531,0.0525,0.0528,0.0524,0.0521,0.0524,0.0523,0.0521,0.0514,0.0521,0.0511,0.0517,0.0521,0.0518,0.0519,0.052,0.0516,0.0516,0.051,0.052,0.0517,0.0514,0.0515,0.0511,0.0507,0.0517,0.0513,0.0512,0.0503,0.0516,0.0515,0.0511,0.0514,0.0513,0.0517,0.0518,0.0515,0.0516,0.0524,0.0517,0.0519,0.0521,0.0528,0.0529,0.053,0.0531
1,2,0.162,0.0545,0.0538,0.0539,0.0537,0.0536,0.0533,0.0537,0.0541,0.0536,0.0535,0.0536,0.0535,0.0529,0.0527,0.0534,0.0532,0.0524,0.0532,0.0532,0.0527,0.0533,0.0523,0.0529,0.0523,0.0525,0.0519,0.0524,0.052,0.0519,0.0519,0.052,0.052,0.0523,0.0519,0.0518,0.0521,0.0515,0.0519,0.0519,0.0516,0.052,0.0516,0.0516,0.0508,0.0511,0.0512,0.0515,0.051,0.051,0.0508,0.0507,0.0514,0.0509,0.0509,0.0507,0.0516,0.0514,0.0513,0.0514,0.051,0.0512,0.0512,0.0514,0.0516,0.0521,0.0519,0.0518,0.0524,0.053,0.053,0.0533,0.0535
1,3,0.17,0.0569,0.0561,0.0562,0.056,0.0556,0.0548,0.0549,0.0557,0.0545,0.0547,0.0545,0.0551,0.0547,0.0547,0.0539,0.0536,0.0535,0.054,0.0546,0.0544,0.0539,0.0535,0.0539,0.0527,0.053,0.0527,0.0538,0.0536,0.0533,0.0532,0.0535,0.0533,0.0533,0.0529,0.0531,0.0532,0.0521,0.053,0.0531,0.0522,0.0532,0.0521,0.0526,0.0521,0.052,0.0526,0.0519,0.0524,0.0517,0.0519,0.0516,0.0526,0.0516,0.0513,0.0515,0.0525,0.0522,0.052,0.0525,0.0524,0.0528,0.0529,0.0531,0.0526,0.0531,0.0529,0.0538,0.0539,0.054,0.0542,0.0548,0.0551
1,4,0.158,0.056,0.0554,0.0555,0.0557,0.0563,0.0557,0.0554,0.0559,0.0555,0.0552,0.0556,0.0559,0.0553,0.0553,0.0552,0.0543,0.0551,0.0548,0.0551,0.055,0.0548,0.0542,0.0548,0.0546,0.0542,0.0539,0.0549,0.0543,0.0545,0.0541,0.0541,0.0548,0.0544,0.0543,0.0542,0.0542,0.0536,0.0547,0.0537,0.0538,0.0543,0.0532,0.054,0.0536,0.053,0.054,0.054,0.0535,0.0537,0.0531,0.0525,0.0536,0.0535,0.0529,0.0526,0.0535,0.0541,0.054,0.0538,0.0541,0.0539,0.054,0.0535,0.0536,0.0543,0.0538,0.0542,0.0547,0.0547,0.055,0.0553,0.0556
1,5,0.179,0.0524,0.0521,0.0525,0.0531,0.0528,0.0522,0.0526,0.053,0.0527,0.0524,0.0523,0.0527,0.0524,0.0516,0.0523,0.0518,0.0514,0.0519,0.0523,0.0516,0.0516,0.0511,0.0519,0.0513,0.0515,0.051,0.0514,0.0507,0.0518,0.0513,0.0508,0.0511,0.0513,0.0507,0.0508,0.0514,0.0503,0.051,0.0512,0.0508,0.0514,0.051,0.0506,0.0507,0.0505,0.0514,0.0507,0.0507,0.0508,0.0506,0.0502,0.0504,0.0507,0.0505,0.0501,0.0506,0.0511,0.0507,0.0514,0.0508,0.0513,0.0515,0.052,0.0523,0.0527,0.0522,0.0533,0.0534,0.0542,0.0546,0.055,0.0555
1,6,0.182,0.0528,0.0529,0.053,0.0527,0.0531,0.0522,0.0523,0.053,0.0523,0.0524,0.0517,0.0525,0.0522,0.0518,0.0514,0.0515,0.0514,0.0519,0.0514,0.051,0.0515,0.0512,0.0515,0.0504,0.0509,0.0501,0.0513,0.0504,0.0509,0.0507,0.0508,0.0505,0.0504,0.0503,0.0506,0.0507,0.0502,0.0505,0.0504,0.0502,0.0507,0.0503,0.0508,0.0503,0.0496,0.0506,0.0501,0.0501,0.0497,0.0501,0.0496,0.05,0.0499,0.0494,0.0493,0.0503,0.0502,0.0502,0.0507,0.0504,0.0506,0.0508,0.0508,0.0506,0.0512,0.0509,0.0511,0.0512,0.0519,0.0524,0.0519,0.0527
0.00390625,1,0.161,0.054,0.0525,0.0531,0.0532,0.0529,0.0528,0.0527,0.0537,0.053,0.0524,0.0532,0.0528,0.0526,0.052,0.0526,0.0523,0.0518,0.0523,0.0526,0.0522,0.0521,0.0522,0.0521,0.0514,0.0517,0.0515,0.0517,0.0517,0.0522,0.0515,0.0516,0.0514,0.0516,0.0518,0.0522,0.0528,0.0524,0.0539,0.0547,0.0558,0.0577,0.0604,0.063,0.0669,0.0729,0.0814,0.0913,0.106,0.118,0.131,0.144,0.16,0.175,0.189,0.205,0.22,0.232,0.247,0.264,0.28,0.296,0.311,0.325,0.338,0.352,0.364,0.378,0.393,0.424,0.46,0.498,0.542
0.00390625,2,0.181,0.0531,0.0528,0.0527,0.0529,0.0529,0.0524,0.0524,0.0531,0.0527,0.0523,0.0526,0.0528,0.0523,0.0522,0.052,0.0519,0.0517,0.0523,0.0516,0.0523,0.052,0.0519,0.0518,0.0515,0.0514,0.0513,0.0516,0.0509,0.0519,0.0516,0.0515,0.0516,0.0514,0.051,0.0513,0.0525,0.0526,0.0535,0.0541,0.0547,0.057,0.0601,0.0629,0.0678,0.0736,0.0836,0.0944,0.11,0.124,0.138,0.151,0.168,0.184,0.2,0.215,0.226,0.237,0.251,0.267,0.284,0.301,0.317,0.331,0.343,0.356,0.368,0.379,0.39,0.411,0.447,0.494,0.548
0.00390625,3,0.171,0.0521,0.0527,0.0514,0.0518,0.0519,0.0512,0.0517,0.0522,0.0516,0.0515,0.0512,0.0518,0.0514,0.0514,0.0508,0.051,0.0504,0.0512,0.0513,0.0503,0.0511,0.0505,0.0503,0.0499,0.05,0.0502,0.0504,0.0502,0.0504,0.05,0.0505,0.0503,0.05,0.05,0.0505,0.0511,0.0506,0.0521,0.0525,0.054,0.0563,0.0588,0.0619,0.0665,0.0724,0.0831,0.0959,0.112,0.126,0.141,0.156,0.175,0.194,0.21,0.223,0.236,0.255,0.269,0.286,0.305,0.32,0.335,0.348,0.361,0.374,0.384,0.397,0.407,0.417,0.427,0.438,0.45
0.00390625,4,0.135,0.0546,0.0538,0.0529,0.0525,0.0522,0.052,0.0522,0.0528,0.0523,0.0521,0.0525,0.0522,0.0521,0.0519,0.0521,0.0518,0.0513,0.052,0.0516,0.0512,0.0518,0.0511,0.0514,0.0509,0.051,0.0509,0.0511,0.0509,0.0514,0.0511,0.0512,0.0511,0.0507,0.0512,0.0513,0.0519,0.0509,0.0527,0.0537,0.0541,0.0562,0.0581,0.0611,0.0656,0.0712,0.0791,0.0896,0.102,0.119,0.132,0.145,0.159,0.174,0.191,0.208,0.22,0.229,0.239,0.253,0.27,0.285,0.301,0.315,0.328,0.341,0.354,0.366,0.381,0.401,0.429,0.474,0.522
0.00390625,5,0.149,0.052,0.0516,0.0519,0.0519,0.0517,0.0514,0.0513,0.0525,0.0521,0.0518,0.052,0.0522,0.0512,0.0512,0.0511,0.0508,0.051,0.0516,0.0514,0.0509,0.0506,0.0503,0.0505,0.0498,0.0502,0.0502,0.0503,0.0498,0.0502,0.0509,0.0503,0.0509,0.0503,0.0506,0.0504,0.0517,0.0514,0.0528,0.0536,0.0553,0.0582,0.0612,0.066,0.0721,0.0813,0.0941,0.11,0.123,0.138,0.152,0.167,0.184,0.199,0.216,0.228,0.243,0.261,0.275,0.293,0.311,0.328,0.342,0.357,0.37,0.383,0.396,0.412,0.427,0.443,0.458,0.481,0.503
0.00390625,6,0.149,0.0554,0.0547,0.0552,0.0553,0.0549,0.0543,0.0546,0.0553,0.0553,0.0549,0.0548,0.0549,0.0543,0.0542,0.0541,0.054,0.054,0.0543,0.0543,0.0537,0.0544,0.0534,0.0537,0.053,0.0531,0.0533,0.0537,0.0534,0.0537,0.0537,0.0537,0.054,0.0541,0.0544,0.0545,0.0549,0.0547,0.0562,0.0575,0.058,0.0609,0.0639,0.0675,0.0738,0.0821,0.094,0.11,0.124,0.137,0.15,0.165,0.183,0.202,0.219,0.233,0.245,0.262,0.28,0.298,0.314,0.328,0.339,0.355,0.369,0.383,0.401,0.425,0.451,0.476,0.506,0.537,0.563
0.5,1,0.162,0.0546,0.0539,0.0533,0.0535,0.0531,0.0529,0.0528,0.0541,0.0533,0.0531,0.0534,0.0537,0.0526,0.0531,0.053,0.0522,0.0521,0.0524,0.0526,0.0524,0.0525,0.0522,0.0522,0.0514,0.0516,0.0519,0.0523,0.0513,0.0517,0.0514,0.0518,0.0514,0.0514,0.0517,0.0513,0.0515,0.0501,0.0512,0.0507,0.0506,0.0513,0.0512,0.0506,0.0508,0.0511,0.0515,0.051,0.0502,0.0509,0.05,0.0506,0.0509,0.0502,0.0504,0.0507,0.0519,0.0517,0.0513,0.0518,0.0513,0.0515,0.0519,0.0514,0.0516,0.0523,0.0523,0.0529,0.0531,0.0538,0.0541,0.0543,0.0546
0.5,2,0.155,0.0551,0.0549,0.0545,0.0542,0.054,0.054,0.054,0.0545,0.0535,0.0539,0.0535,0.053,0.0531,0.0531,0.0525,0.0522,0.0529,0.053,0.0529,0.0523,0.0525,0.0519,0.0524,0.0508,0.0517,0.0505,0.0513,0.0512,0.0508,0.0509,0.0509,0.051,0.0508,0.0507,0.0505,0.0506,0.0497,0.0507,0.0506,0.0498,0.05,0.0502,0.0499,0.0494,0.0496,0.0503,0.0501,0.0497,0.0493,0.0499,0.0493,0.0497,0.0495,0.0491,0.0495,0.0502,0.0497,0.0509,0.0505,0.0507,0.0505,0.0511,0.0515,0.0514,0.052,0.0523,0.0531,0.0539,0.0551,0.056,0.0564,0.0572
0.5,3,0.156,0.0536,0.0537,0.0533,0.0533,0.0538,0.0533,0.0535,0.0544,0.0531,0.0536,0.0532,0.0535,0.053,0.0529,0.0532,0.0521,0.0527,0.0526,0.0522,0.0523,0.0527,0.0527,0.0527,0.0519,0.052,0.0516,0.0519,0.052,0.0516,0.0522,0.0515,0.0517,0.0513,0.0517,0.0511,0.0514,0.0509,0.0513,0.0515,0.0508,0.0514,0.0508,0.0511,0.051,0.0505,0.0512,0.0509,0.0508,0.0508,0.0507,0.05,0.0509,0.0506,0.0501,0.0501,0.0512,0.0511,0.0511,0.0515,0.0514,0.051,0.0508,0.0514,0.0509,0.0517,0.0515,0.0518,0.0519,0.0523,0.0535,0.0529,0.0537
0.5,4,0.124,0.0548,0.0539,0.0545,0.0536,0.0543,0.0539,0.0537,0.0547,0.0538,0.054,0.0539,0.0537,0.0534,0.0536,0.0532,0.0533,0.0527,0.0537,0.0533,0.0533,0.0538,0.0525,0.0532,0.0526,0.0524,0.0524,0.0525,0.0528,0.0528,0.0526,0.0523,0.0527,0.0523,0.0522,0.0519,0.0523,0.0512,0.052,0.0523,0.052,0.0523,0.0521,0.0522,0.0518,0.0517,0.0524,0.0522,0.0524,0.0517,0.0519,0.051,0.052,0.0517,0.0517,0.0512,0.0516,0.0517,0.052,0.0522,0.0523,0.0519,0.0526,0.0527,0.0525,0.0533,0.053,0.0536,0.0535,0.0553,0.0559,0.0562,0.0578
0.5,5,0.174,0.0537,0.0537,0.0527,0.0532,0.0535,0.0529,0.0527,0.0539,0.0532,0.0538,0.0532,0.0536,0.053,0.053,0.0526,0.0525,0.0526,0.0531,0.0532,0.053,0.0528,0.0528,0.0532,0.0521,0.0521,0.0523,0.053,0.0525,0.0522,0.0517,0.052,0.0519,0.0525,0.0518,0.0524,0.052,0.0512,0.0516,0.0517,0.0519,0.052,0.0516,0.0517,0.0514,0.0513,0.0526,0.0513,0.0511,0.0513,0.0512,0.0506,0.0515,0.0511,0.0506,0.0505,0.0514,0.051,0.0512,0.0516,0.0511,0.0514,0.0517,0.0513,0.051,0.0517,0.0517,0.0521,0.0523,0.0526,0.0534,0.0532,0.0541
