conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
4,1,0.0543,0.0536,0.0541,0.0532,0.0541,0.0537,0.0542,0.054,0.054,0.0539,0.0545,0.0536,0.0538,0.0535,0.0546,0.0546,0.0546,0.0554,0.0552,0.0544,0.0543,0.0542,0.0549,0.0553,0.0546,0.0549,0.0544,0.0554,0.055,0.0544,0.0542,0.0557,0.0551,0.056,0.0554,0.0554,0.055,0.0549,0.0558,0.0555,0.0553,0.0562,0.0562,0.0567,0.0564,0.0567,0.0576,0.0578,0.0585,0.0596,0.0611,0.0639,0.0668,0.0728,0.0787,0.0871,0.0984,0.115,0.134,0.153,0.166,0.18,0.195,0.211,0.23,0.248,0.267,0.283,0.303,0.322,0.336,0.35,0.365
4,2,0.0555,0.0553,0.0557,0.0547,0.0545,0.0546,0.0542,0.0547,0.0547,0.0551,0.0547,0.0546,0.0545,0.0549,0.0553,0.0554,0.0553,0.0556,0.0553,0.0554,0.055,0.0551,0.056,0.0555,0.0554,0.0556,0.0546,0.0555,0.055,0.055,0.0548,0.0549,0.0556,0.055,0.0552,0.0552,0.0557,0.0547,0.0563,0.0553,0.0556,0.0565,0.0557,0.056,0.0561,0.0567,0.0573,0.0582,0.0591,0.0603,0.0621,0.0654,0.0696,0.0758,0.0837,0.095,0.11,0.125,0.139,0.151,0.164,0.182,0.2,0.22,0.241,0.26,0.28,0.297,0.32,0.34,0.362,0.375,0.384
4,3,0.0558,0.0555,0.0552,0.0535,0.0537,0.0534,0.0541,0.0538,0.0547,0.054,0.0545,0.0542,0.0543,0.054,0.0542,0.0548,0.0545,0.0537,0.0544,0.0544,0.0544,0.0547,0.0551,0.0545,0.054,0.0541,0.0543,0.0545,0.0544,0.0541,0.0543,0.0538,0.0543,0.0547,0.0548,0.0544,0.0547,0.0534,0.0548,0.0542,0.0547,0.0549,0.0543,0.055,0.0547,0.0551,0.0555,0.056,0.0563,0.0574,0.0584,0.0605,0.0635,0.0682,0.0748,0.0818,0.0947,0.112,0.129,0.144,0.159,0.175,0.195,0.217,0.238,0.258,0.278,0.299,0.324,0.345,0.358,0.368,0.378
4,4,0.0535,0.0557,0.055,0.0539,0.0543,0.0538,0.0549,0.0544,0.0548,0.0545,0.0547,0.0547,0.0542,0.0548,0.0548,0.0553,0.0546,0.0548,0.0553,0.0555,0.0546,0.0553,0.0556,0.0554,0.0554,0.0556,0.0554,0.0559,0.0552,0.0552,0.0555,0.0551,0.0561,0.0558,0.0562,0.0558,0.0561,0.0553,0.056,0.0555,0.0561,0.0561,0.0558,0.0564,0.0563,0.0564,0.0574,0.0582,0.0593,0.0612,0.0631,0.0667,0.0715,0.0797,0.0892,0.104,0.121,0.135,0.148,0.166,0.181,0.2,0.221,0.242,0.262,0.281,0.3,0.32,0.335,0.348,0.361,0.373,0.387
4,5,0.0548,0.0558,0.0553,0.0535,0.0537,0.0535,0.0543,0.0538,0.0539,0.0536,0.054,0.0549,0.0542,0.0539,0.054,0.0549,0.0544,0.0543,0.0541,0.0548,0.0539,0.0546,0.0547,0.0548,0.0543,0.054,0.0551,0.0549,0.0544,0.0545,0.0544,0.0543,0.0551,0.055,0.0548,0.055,0.0539,0.0538,0.0548,0.0547,0.0551,0.0553,0.0543,0.0547,0.0547,0.0549,0.0552,0.0558,0.056,0.0567,0.0576,0.059,0.0613,0.0654,0.0694,0.0757,0.084,0.0974,0.114,0.131,0.144,0.158,0.174,0.191,0.211,0.231,0.253,0.27,0.288,0.307,0.325,0.34,0.352
4,6,0.0598,0.0576,0.0576,0.0584,0.058,0.0569,0.0574,0.0574,0.0568,0.0568,0.0567,0.057,0.0568,0.0567,0.0571,0.0573,0.0571,0.0568,0.0568,0.0572,0.0566,0.0575,0.0577,0.0576,0.0569,0.057,0.0576,0.0575,0.057,0.0573,0.0566,0.0569,0.0571,0.0573,0.0575,0.0571,0.0572,0.0566,0.0573,0.0569,0.0581,0.0576,0.0573,0.0579,0.0576,0.0576,0.0584,0.0592,0.0595,0.06,0.0616,0.0629,0.0649,0.0696,0.0743,0.0812,0.0903,0.104,0.121,0.139,0.154,0.169,0.186,0.205,0.225,0.246,0.266,0.285,0.307,0.326,0.343,0.357,0.37
0.015625,1,0.056,0.0558,0.0553,0.0543,0.0555,0.0545,0.0552,0.0552,0.0552,0.0548,0.0552,0.0547,0.0549,0.0544,0.0548,0.0553,0.0551,0.0551,0.0549,0.0551,0.0545,0.055,0.0554,0.0555,0.055,0.0554,0.0556,0.0556,0.0556,0.0561,0.0563,0.0572,0.0586,0.0596,0.0617,0.0636,0.0671,0.0713,0.0787,0.0881,0.102,0.12,0.138,0.155,0.171,0.188,0.207,0.229,0.251,0.275,0.297,0.317,0.335,0.357,0.374,0.387,0.399,0.409,0.416,0.425,0.434,0.447,0.464,0.487,0.512,0.537,0.567,0.593,0.622,0.645,0.668,0.69,0.71
0.015625,2,0.0542,0.0532,0.0536,0.0524,0.0525,0.053,0.053,0.0528,0.0529,0.0527,0.053,0.0524,0.0524,0.0524,0.053,0.0533,0.0529,0.0527,0.0523,0.0522,0.0521,0.0528,0.0532,0.0531,0.0527,0.0526,0.0531,0.0538,0.0532,0.0534,0.0541,0.0551,0.056,0.0575,0.0593,0.0619,0.0659,0.0707,0.0792,0.0899,0.107,0.127,0.142,0.158,0.173,0.189,0.207,0.227,0.248,0.268,0.286,0.305,0.322,0.34,0.357,0.369,0.38,0.388,0.395,0.403,0.414,0.433,0.463,0.496,0.532,0.57,0.61,0.643,0.671,0.695,0.713,0.731,0.749
0.015625,3,0.0536,0.0521,0.0528,0.0513,0.0517,0.0513,0.0512,0.0509,0.0511,0.0512,0.0512,0.0515,0.0511,0.0509,0.0512,0.0518,0.0515,0.0512,0.051,0.0509,0.0505,0.0512,0.0516,0.0513,0.0506,0.051,0.051,0.0516,0.0516,0.0515,0.0516,0.0522,0.0533,0.0546,0.0564,0.0581,0.0617,0.0653,0.0732,0.0822,0.0948,0.113,0.128,0.146,0.161,0.178,0.195,0.215,0.236,0.256,0.271,0.289,0.305,0.321,0.334,0.347,0.356,0.366,0.374,0.382,0.389,0.396,0.405,0.414,0.427,0.443,0.462,0.479,0.498,0.516,0.531,0.545,0.559
0.015625,4,0.0929,0.052,0.052,0.0506,0.0509,0.051,0.051,0.0511,0.0515,0.051,0.0509,0.0508,0.0505,0.0506,0.0511,0.0513,0.0511,0.051,0.0508,0.0513,0.0505,0.0511,0.0513,0.0516,0.0514,0.0514,0.051,0.0512,0.0516,0.0514,0.0518,0.0526,0.0535,0.0545,0.0563,0.058,0.0608,0.0645,0.0715,0.0794,0.0919,0.109,0.125,0.141,0.159,0.175,0.192,0.212,0.232,0.251,0.269,0.286,0.301,0.316,0.328,0.339,0.345,0.351,0.358,0.369,0.383,0.404,0.432,0.465,0.5,0.534,0.567,0.595,0.621,0.641,0.661,0.68,0.695
