conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
5,1,0.0581,0.0587,0.0583,0.0587,0.0588,0.0586,0.0587,0.0588,0.0586,0.0591,0.0581,0.0587,0.0582,0.0585,0.0584,0.0583,0.0585,0.0586,0.0586,0.0578,0.0588,0.0591,0.0587,0.058,0.0585,0.059,0.0582,0.0584,0.0591,0.0582,0.0591,0.0587,0.0585,0.0589,0.0586,0.058,0.0582,0.059,0.059,0.0587,0.0594,0.0581,0.0589,0.0591,0.0587,0.0588,0.059,0.0586,0.0588,0.0593,0.0589,0.059,0.0584,0.0584,0.059,0.0585,0.0586,0.0588,0.0588,0.0589,0.0586,0.059,0.0593,0.0589,0.0591,0.0587,0.0586,0.0585,0.0591,0.0591,0.0581,0.0583,0.0583
5,2,0.0583,0.0592,0.0589,0.0588,0.059,0.0589,0.0593,0.0589,0.0585,0.059,0.0575,0.0583,0.0586,0.0582,0.0583,0.0583,0.0585,0.0585,0.059,0.0577,0.0586,0.0586,0.0584,0.058,0.0589,0.059,0.0581,0.0588,0.0588,0.0581,0.0588,0.0587,0.0591,0.0594,0.0587,0.058,0.0581,0.0589,0.059,0.0589,0.0585,0.0579,0.0593,0.059,0.0589,0.0587,0.0593,0.0588,0.0585,0.059,0.0592,0.0589,0.0588,0.0589,0.0587,0.0589,0.0588,0.0587,0.0589,0.0588,0.0589,0.0592,0.0595,0.0586,0.0589,0.0593,0.059,0.0591,0.0588,0.059,0.0591,0.0586,0.059
5,3,0.0718,0.0585,0.0581,0.0588,0.0584,0.0579,0.0583,0.0583,0.0583,0.0584,0.0582,0.058,0.0585,0.0579,0.0574,0.0579,0.0579,0.0581,0.0585,0.0578,0.0586,0.0587,0.0583,0.0581,0.0585,0.0582,0.0579,0.0588,0.0585,0.0584,0.0587,0.058,0.0591,0.0589,0.0586,0.0576,0.0578,0.0587,0.0587,0.0588,0.0588,0.058,0.0587,0.0588,0.0586,0.0587,0.0585,0.0591,0.0585,0.0591,0.0588,0.0589,0.0586,0.0588,0.059,0.0587,0.0589,0.0593,0.0584,0.0593,0.059,0.0594,0.0597,0.0592,0.0593,0.0591,0.0589,0.0587,0.0597,0.0592,0.0588,0.0594,0.059
5,4,0.0777,0.0578,0.0572,0.0567,0.057,0.0568,0.0573,0.0576,0.0573,0.0584,0.057,0.0574,0.0574,0.057,0.0566,0.057,0.0567,0.0571,0.0578,0.0567,0.0578,0.0578,0.0577,0.0573,0.0584,0.0572,0.0567,0.058,0.0578,0.0577,0.058,0.0573,0.0576,0.058,0.0574,0.0572,0.0575,0.0576,0.0577,0.0581,0.0579,0.0577,0.058,0.0585,0.0574,0.0576,0.0579,0.0576,0.0578,0.0576,0.0577,0.0579,0.0577,0.0578,0.0578,0.0582,0.058,0.058,0.0581,0.0578,0.0583,0.0583,0.0582,0.0579,0.0586,0.0583,0.0586,0.0582,0.0583,0.0582,0.0583,0.0577,0.0583
5,5,0.0834,0.0598,0.0587,0.0596,0.0596,0.0591,0.0594,0.0599,0.0593,0.0598,0.0588,0.0592,0.059,0.0589,0.059,0.0593,0.0588,0.0591,0.0593,0.0586,0.0597,0.0597,0.0594,0.059,0.0595,0.0595,0.0594,0.0596,0.0595,0.0593,0.0592,0.0597,0.0592,0.0602,0.0585,0.0591,0.0589,0.0596,0.0599,0.0596,0.0599,0.059,0.0591,0.0596,0.06,0.0592,0.059,0.0595,0.0596,0.0593,0.0597,0.0596,0.0593,0.0591,0.0596,0.0593,0.0593,0.0594,0.0589,0.0594,0.0596,0.0599,0.06,0.0596,0.0593,0.0593,0.0595,0.0589,0.0595,0.0596,0.0594,0.0595,0.06
5,6,0.0836,0.0585,0.0582,0.0588,0.0588,0.0607,0.0608,0.0612,0.0604,0.0617,0.0609,0.0606,0.0604,0.06,0.0605,0.0608,0.0602,0.0606,0.0612,0.0599,0.0605,0.0611,0.0607,0.0604,0.0611,0.0613,0.0607,0.0616,0.0616,0.0602,0.0609,0.0608,0.0608,0.0609,0.0604,0.0603,0.0609,0.0611,0.0606,0.0613,0.0617,0.0606,0.0614,0.0608,0.0615,0.0614,0.0612,0.0608,0.0609,0.0612,0.0611,0.0605,0.0607,0.0611,0.0609,0.061,0.0606,0.0612,0.0606,0.0612,0.0609,0.0611,0.0614,0.0612,0.0613,0.0613,0.061,0.0609,0.0613,0.061,0.0607,0.0606,0.0603
0.01953125,1,0.101,0.061,0.0602,0.0605,0.0607,0.0599,0.0605,0.0607,0.0595,0.0602,0.0595,0.0595,0.0592,0.0584,0.0591,0.0589,0.0592,0.0591,0.0596,0.0585,0.0591,0.0591,0.0586,0.058,0.059,0.0582,0.0583,0.0588,0.0587,0.0587,0.0586,0.0583,0.0588,0.0591,0.059,0.059,0.0602,0.0615,0.0627,0.0645,0.0665,0.0695,0.0737,0.0806,0.0901,0.104,0.121,0.142,0.157,0.173,0.188,0.208,0.231,0.257,0.287,0.307,0.324,0.337,0.35,0.36,0.366,0.372,0.379,0.385,0.392,0.4,0.408,0.417,0.425,0.433,0.439,0.444,0.451
0.01953125,2,0.0575,0.0597,0.0591,0.0591,0.0586,0.0581,0.0587,0.0593,0.0581,0.0589,0.0579,0.0577,0.0581,0.0578,0.0577,0.0574,0.0576,0.0575,0.0579,0.0566,0.0575,0.0575,0.0572,0.0569,0.0576,0.0576,0.0571,0.0572,0.0575,0.0573,0.0577,0.0572,0.0577,0.0584,0.0577,0.0586,0.0598,0.0609,0.0621,0.0643,0.0678,0.0719,0.0795,0.0889,0.103,0.123,0.144,0.161,0.177,0.193,0.207,0.232,0.261,0.29,0.316,0.335,0.354,0.373,0.384,0.395,0.402,0.408,0.416,0.426,0.434,0.438,0.443,0.449,0.457,0.462,0.469,0.474,0.481
0.01953125,3,0.0581,0.0589,0.057,0.0567,0.0573,0.057,0.0573,0.0576,0.0569,0.0573,0.0563,0.057,0.0572,0.0563,0.0562,0.0567,0.0568,0.0569,0.0575,0.0568,0.0575,0.0575,0.0568,0.0567,0.057,0.0574,0.0567,0.0577,0.0575,0.0575,0.0572,0.0572,0.0581,0.0586,0.059,0.0598,0.0616,0.0647,0.0672,0.0716,0.0769,0.0835,0.0943,0.109,0.127,0.146,0.162,0.18,0.195,0.213,0.234,0.255,0.277,0.299,0.32,0.336,0.35,0.362,0.373,0.382,0.389,0.399,0.408,0.416,0.426,0.436,0.448,0.461,0.475,0.491,0.51,0.525,0.539
0.01953125,4,0.0638,0.0557,0.0556,0.056,0.0558,0.0558,0.0561,0.056,0.0559,0.0562,0.0546,0.0555,0.0552,0.0548,0.0549,0.0552,0.0549,0.055,0.0563,0.0554,0.0563,0.0562,0.0554,0.0547,0.0551,0.0554,0.0545,0.0552,0.0557,0.0552,0.0552,0.055,0.0551,0.0559,0.0553,0.0555,0.057,0.0579,0.0594,0.0616,0.0641,0.0669,0.0727,0.0796,0.0915,0.105,0.125,0.147,0.162,0.177,0.193,0.213,0.238,0.268,0.298,0.322,0.34,0.356,0.37,0.38,0.391,0.4,0.406,0.412,0.421,0.43,0.442,0.452,0.459,0.464,0.47,0.476,0.481
