conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
16,1,0.16,0.0584,0.0583,0.0576,0.0578,0.0576,0.0577,0.0576,0.0581,0.057,0.0577,0.0575,0.0567,0.0574,0.057,0.0566,0.0572,0.0568,0.057,0.0571,0.0569,0.0573,0.0568,0.0569,0.0564,0.0569,0.0568,0.0563,0.0565,0.0569,0.0565,0.0559,0.0569,0.0568,0.0566,0.056,0.0566,0.0559,0.057,0.0567,0.0567,0.0574,0.0575,0.0582,0.059,0.0599,0.0614,0.0627,0.066,0.0693,0.074,0.0799,0.0871,0.0979,0.111,0.125,0.136,0.149,0.166,0.181,0.196,0.207,0.219,0.23,0.241,0.255,0.271,0.287,0.301,0.317,0.332,0.345,0.356
16,2,0.139,0.0571,0.0564,0.0564,0.0567,0.0559,0.0567,0.056,0.056,0.0554,0.0559,0.0562,0.0552,0.0554,0.0552,0.0553,0.0549,0.0547,0.0553,0.0555,0.0542,0.0554,0.055,0.0546,0.0543,0.054,0.0541,0.0542,0.0537,0.0545,0.0542,0.0533,0.0538,0.0539,0.0535,0.0537,0.054,0.0537,0.0538,0.0538,0.0541,0.0549,0.0549,0.0555,0.0568,0.0579,0.0595,0.0618,0.0651,0.0696,0.0761,0.0841,0.0952,0.11,0.124,0.139,0.154,0.171,0.189,0.204,0.215,0.227,0.24,0.258,0.277,0.297,0.314,0.329,0.344,0.359,0.374,0.389,0.404
16,3,0.152,0.0561,0.0558,0.0552,0.0557,0.0552,0.0554,0.0552,0.0547,0.0545,0.0549,0.0548,0.0546,0.0544,0.0545,0.054,0.0545,0.0542,0.0548,0.0547,0.054,0.0545,0.0542,0.0537,0.0536,0.0541,0.0536,0.0535,0.0533,0.0541,0.0534,0.0529,0.0537,0.0541,0.0533,0.0533,0.0535,0.0532,0.0531,0.0533,0.054,0.0537,0.0539,0.0545,0.0551,0.0564,0.0574,0.0586,0.0616,0.0641,0.0688,0.0749,0.0829,0.0939,0.108,0.121,0.134,0.149,0.164,0.182,0.197,0.208,0.221,0.237,0.252,0.268,0.285,0.301,0.317,0.333,0.348,0.361,0.372
16,4,0.188,0.0578,0.0573,0.0564,0.0561,0.0561,0.0563,0.0562,0.0559,0.0554,0.0556,0.0559,0.0549,0.0553,0.0552,0.0555,0.0554,0.0548,0.0553,0.0558,0.0549,0.0558,0.0552,0.0553,0.0544,0.0548,0.0547,0.0544,0.0546,0.0547,0.0547,0.0543,0.0546,0.0547,0.0545,0.0546,0.0545,0.0541,0.0547,0.055,0.0551,0.0555,0.0561,0.0564,0.0571,0.0586,0.0592,0.0613,0.0632,0.0661,0.0705,0.0767,0.0834,0.0943,0.108,0.121,0.135,0.15,0.166,0.184,0.199,0.212,0.227,0.241,0.255,0.269,0.285,0.302,0.317,0.334,0.35,0.367,0.381
16,5,0.198,0.058,0.0571,0.0568,0.0575,0.057,0.0579,0.0573,0.0571,0.0568,0.0569,0.0569,0.0562,0.0572,0.0567,0.0565,0.0565,0.056,0.0564,0.0564,0.056,0.0571,0.0563,0.0561,0.0558,0.0558,0.0557,0.0558,0.0552,0.0558,0.0556,0.055,0.0557,0.0555,0.055,0.0555,0.0555,0.055,0.0556,0.0559,0.055,0.0557,0.0556,0.0556,0.0567,0.0567,0.0576,0.0579,0.0592,0.0606,0.0632,0.0665,0.0712,0.0775,0.086,0.0973,0.112,0.123,0.138,0.155,0.171,0.191,0.202,0.215,0.229,0.241,0.255,0.27,0.286,0.302,0.317,0.331,0.344
16,6,0.195,0.0598,0.0591,0.0581,0.0585,0.0581,0.0587,0.0583,0.0581,0.0577,0.0579,0.0581,0.0568,0.0574,0.0574,0.0574,0.0574,0.0563,0.0574,0.0574,0.0568,0.0574,0.0572,0.057,0.0563,0.0569,0.0561,0.0567,0.0563,0.057,0.0566,0.056,0.0558,0.0565,0.0564,0.0563,0.0567,0.0562,0.0564,0.0564,0.0569,0.057,0.0572,0.0581,0.0583,0.0598,0.0611,0.0628,0.0665,0.0702,0.0758,0.0827,0.0928,0.107,0.121,0.134,0.15,0.172,0.192,0.216,0.235,0.261,0.288,0.316,0.336,0.352,0.366,0.388,0.419,0.455,0.488,0.52,0.551
0.0625,1,0.192,0.0576,0.0575,0.0565,0.0566,0.0559,0.0567,0.0564,0.0561,0.0556,0.0562,0.0564,0.0556,0.0556,0.0561,0.0555,0.0557,0.055,0.0556,0.0555,0.055,0.0558,0.0551,0.0554,0.0553,0.0547,0.0548,0.0553,0.0545,0.0551,0.0548,0.0543,0.0552,0.0553,0.0555,0.0559,0.0568,0.0564,0.0575,0.0588,0.0605,0.0628,0.066,0.0703,0.077,0.0851,0.0967,0.112,0.129,0.144,0.162,0.181,0.199,0.213,0.227,0.24,0.255,0.272,0.29,0.307,0.323,0.34,0.355,0.37,0.384,0.398,0.412,0.423,0.438,0.455,0.482,0.518,0.558
0.0625,2,0.173,0.0571,0.0568,0.0562,0.0562,0.0556,0.0557,0.0558,0.0557,0.0553,0.0557,0.0552,0.0548,0.0551,0.0547,0.0548,0.0549,0.0538,0.0548,0.0551,0.0544,0.055,0.0548,0.0542,0.0541,0.0539,0.0542,0.0539,0.0536,0.0543,0.0538,0.0532,0.0538,0.0543,0.0542,0.055,0.0546,0.0547,0.0565,0.0569,0.0579,0.0591,0.0616,0.0647,0.068,0.0731,0.0798,0.0889,0.101,0.118,0.132,0.148,0.166,0.185,0.204,0.216,0.231,0.243,0.262,0.282,0.302,0.322,0.34,0.356,0.372,0.388,0.403,0.418,0.435,0.454,0.477,0.502,0.529
0.0625,3,0.17,0.0561,0.0556,0.0552,0.0557,0.0546,0.0551,0.055,0.0549,0.0545,0.055,0.0552,0.054,0.0539,0.0543,0.054,0.0542,0.0536,0.0545,0.0543,0.0532,0.0545,0.0538,0.0538,0.0538,0.0537,0.0532,0.0532,0.0531,0.0538,0.0531,0.0528,0.0535,0.0538,0.0537,0.0543,0.0542,0.0546,0.0557,0.056,0.0566,0.0584,0.0609,0.0642,0.068,0.0739,0.0813,0.0919,0.106,0.121,0.136,0.151,0.168,0.186,0.203,0.214,0.224,0.237,0.254,0.271,0.29,0.31,0.328,0.345,0.36,0.374,0.387,0.398,0.407,0.418,0.432,0.446,0.465
0.0625,4,0.19,0.0558,0.0554,0.054,0.0546,0.0547,0.0551,0.0541,0.0544,0.0543,0.054,0.0548,0.0531,0.0538,0.0542,0.0538,0.0542,0.0532,0.0534,0.0542,0.0534,0.0539,0.0539,0.053,0.053,0.0534,0.0527,0.0532,0.0526,0.0532,0.0534,0.0527,0.053,0.0539,0.0535,0.054,0.0537,0.0544,0.0555,0.0563,0.0569,0.0592,0.0623,0.0663,0.0715,0.0786,0.0887,0.102,0.117,0.129,0.145,0.161,0.179,0.198,0.214,0.224,0.239,0.254,0.273,0.294,0.313,0.329,0.344,0.358,0.373,0.387,0.399,0.412,0.427,0.444,0.46,0.483,0.509
