conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,1,0.079,0.067,0.065,0.065,0.064,0.067,0.069,0.069,0.069,0.069,0.065,0.064,0.063,0.064,0.065,0.068,0.072,0.082,0.101,0.125,0.169,0.229,0.276,0.333,0.38,0.423,0.464,0.466,0.473,0.478,0.475,0.449,0.511,0.537,0.57,0.603,0.639,0.669,0.703,0.726,0.748,0.759,0.773,0.79,0.805,0.824,0.835,0.847,0.861,0.877,0.897,0.909,0.926,0.939,0.955,0.97,0.985,0.997,1.012,1.026,1.032,1.045,1.053,1.062,1.075,1.089,1.096
0,2,0.067,0.065,0.065,0.066,0.062,0.063,0.064,0.063,0.061,0.06,0.061,0.06,0.06,0.061,0.063,0.066,0.071,0.084,0.102,0.135,0.175,0.216,0.259,0.329,0.398,0.411,0.453,0.509,0.493,0.493,0.486,0.485,0.464,0.46,0.451,0.564,0.601,0.632,0.654,0.676,0.705,0.724,0.74,0.752,0.765,0.784,0.798,0.81,0.821,0.832,0.846,0.863,0.879,0.894,0.909,0.927,0.95,0.97,0.986,1.003,1.016,1.027,1.034,1.046,1.058,1.067,1.081
0,3,0.071,0.063,0.064,0.063,0.06,0.062,0.061,0.059,0.058,0.057,0.057,0.057,0.058,0.058,0.059,0.062,0.066,0.075,0.093,0.116,0.157,0.206,0.261,0.304,0.355,0.388,0.402,0.457,0.445,0.45,0.462,0.481,0.483,0.457,0.522,0.531,0.558,0.617,0.646,0.67,0.693,0.724,0.746,0.773,0.797,0.814,0.827,0.837,0.847,0.858,0.869,0.883,0.897,0.91,0.925,0.945,0.96,0.975,0.993,1.008,1.03,1.05,1.061,1.081,1.102,1.115,1.123
0,4,0.078,0.064,0.063,0.062,0.062,0.064,0.065,0.065,0.061,0.06,0.059,0.059,0.059,0.059,0.06,0.063,0.067,0.075,0.093,0.116,0.155,0.214,0.276,0.329,0.374,0.398,0.436,0.464,0.457,0.464,0.471,0.464,0.439,0.437,0.435,0.434,0.442,0.432,0.475,0.475,0.482,0.497,0.511,0.527,0.547,0.569,0.595,0.622,0.645,0.666,0.688,0.708,0.726,0.743,0.763,0.784,0.803,0.825,0.85,0.869,0.89,0.908,0.93,0.946,0.963,0.977,0.992
0,5,0.069,0.062,0.065,0.061,0.06,0.062,0.063,0.06,0.058,0.058,0.057,0.057,0.058,0.058,0.059,0.062,0.067,0.076,0.093,0.115,0.157,0.212,0.265,0.329,0.372,0.391,0.442,0.451,0.448,0.458,0.463,0.461,0.459,0.46,0.451,0.462,0.45,0.425,0.479,0.549,0.61,0.645,0.669,0.691,0.709,0.724,0.737,0.749,0.759,0.771,0.784,0.8,0.815,0.828,0.844,0.859,0.876,0.894,0.913,0.932,0.945,0.964,0.978,0.997,1.019,1.044,1.066
0,6,0.065,0.064,0.064,0.061,0.062,0.063,0.065,0.064,0.061,0.06,0.059,0.059,0.059,0.06,0.062,0.064,0.07,0.08,0.099,0.123,0.167,0.225,0.277,0.34,0.378,0.393,0.422,0.426,0.433,0.44,0.44,0.421,0.496,0.49,0.498,0.513,0.522,0.539,0.556,0.586,0.617,0.634,0.651,0.666,0.683,0.697,0.711,0.724,0.735,0.75,0.764,0.779,0.795,0.812,0.828,0.844,0.862,0.88,0.897,0.918,0.934,0.943,0.957,0.97,0.979,0.986,0.997
0.001831055,1,0.092,0.066,0.066,0.066,0.062,0.065,0.068,0.063,0.061,0.06,0.06,0.06,0.061,0.061,0.063,0.065,0.07,0.079,0.098,0.121,0.163,0.211,0.256,0.334,0.369,0.399,0.434,0.459,0.444,0.446,0.442,0.437,0.424,0.43,0.431,0.489,0.496,0.507,0.536,0.582,0.61,0.63,0.648,0.663,0.676,0.694,0.703,0.716,0.732,0.743,0.76,0.772,0.79,0.807,0.831,0.852,0.878,0.895,0.915,0.941,0.96,0.982,1,1.016,1.029,1.042,1.057
0.001831055,2,0.081,0.064,0.065,0.064,0.059,0.06,0.06,0.062,0.061,0.06,0.059,0.058,0.058,0.059,0.06,0.062,0.066,0.075,0.093,0.116,0.157,0.206,0.244,0.315,0.358,0.39,0.41,0.451,0.442,0.444,0.445,0.447,0.446,0.433,0.432,0.441,0.437,0.435,0.484,0.494,0.517,0.542,0.566,0.589,0.609,0.629,0.648,0.668,0.689,0.701,0.719,0.738,0.759,0.778,0.798,0.82,0.843,0.865,0.886,0.915,0.935,0.953,0.971,0.989,1,1.011,1.025
0.001831055,3,0.077,0.065,0.066,0.062,0.062,0.064,0.064,0.061,0.06,0.059,0.059,0.059,0.059,0.06,0.062,0.064,0.069,0.078,0.096,0.119,0.158,0.204,0.245,0.316,0.358,0.391,0.432,0.437,0.435,0.444,0.44,0.431,0.423,0.417,0.413,0.422,0.43,0.49,0.529,0.591,0.647,0.68,0.703,0.724,0.742,0.76,0.777,0.794,0.81,0.823,0.838,0.853,0.866,0.88,0.896,0.909,0.926,0.94,0.956,0.975,0.985,0.999,1.01,1.023,1.037,1.048,1.061
0.001831055,4,0.091,0.068,0.069,0.067,0.063,0.064,0.067,0.066,0.061,0.062,0.061,0.06,0.059,0.06,0.061,0.063,0.068,0.076,0.094,0.117,0.159,0.208,0.253,0.334,0.368,0.405,0.441,0.479,0.464,0.475,0.477,0.477,0.445,0.446,0.438,0.438,0.51,0.548,0.588,0.624,0.646,0.662,0.675,0.69,0.699,0.712,0.723,0.739,0.752,0.767,0.781,0.799,0.81,0.832,0.855,0.878,0.907,0.923,0.947,0.968,0.992,1.005,1.021,1.034,1.049,1.06,1.073
