conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
4,1,0.191,0.0568,0.0565,0.0561,0.0558,0.056,0.0555,0.0549,0.0554,0.0552,0.0546,0.0552,0.0554,0.0554,0.0549,0.0549,0.0546,0.0545,0.0535,0.0545,0.054,0.0542,0.0545,0.0541,0.0542,0.0537,0.0538,0.0537,0.0538,0.0539,0.0534,0.0531,0.0534,0.0532,0.0537,0.0532,0.0538,0.0533,0.0532,0.0525,0.0531,0.0527,0.0525,0.0523,0.0534,0.0528,0.0526,0.0526,0.0526,0.0529,0.0528,0.0528,0.0531,0.0528,0.0528,0.0525,0.0525,0.0531,0.053,0.0524,0.0533,0.0533,0.0523,0.0533,0.0536,0.0537,0.0534,0.0539,0.0545,0.0543,0.0549,0.0558,0.0553
4,2,0.16,0.0567,0.0567,0.0559,0.0559,0.0561,0.0571,0.0565,0.0573,0.0573,0.0568,0.0576,0.0568,0.0572,0.0574,0.0571,0.0566,0.0564,0.0561,0.0566,0.0564,0.0566,0.0568,0.0557,0.0559,0.0561,0.0555,0.0561,0.0554,0.0559,0.0552,0.0551,0.055,0.0553,0.0551,0.0553,0.0552,0.0553,0.0547,0.0546,0.0552,0.0546,0.0542,0.0541,0.0547,0.0548,0.0546,0.0546,0.0549,0.0546,0.0546,0.0542,0.0549,0.0549,0.054,0.0543,0.0549,0.0551,0.0546,0.0542,0.055,0.0543,0.0542,0.0539,0.0552,0.055,0.0545,0.055,0.0546,0.0549,0.0555,0.0555,0.0556
4,3,0.147,0.059,0.0589,0.0584,0.0583,0.0578,0.0578,0.0574,0.0578,0.058,0.0569,0.0582,0.0574,0.0579,0.0567,0.0572,0.0571,0.0572,0.0565,0.0569,0.0561,0.0568,0.0571,0.0567,0.0568,0.0566,0.0562,0.0565,0.0557,0.0563,0.0566,0.0563,0.0561,0.0563,0.056,0.056,0.0558,0.0552,0.055,0.0534,0.0545,0.0541,0.0534,0.0537,0.0536,0.0538,0.0534,0.0536,0.0538,0.0536,0.0538,0.0536,0.0539,0.0536,0.0533,0.0535,0.0537,0.0536,0.0536,0.0536,0.053,0.0533,0.0532,0.0535,0.0541,0.0539,0.0536,0.0545,0.0541,0.0546,0.055,0.0556,0.0547
4,4,0.167,0.0576,0.0549,0.0549,0.0545,0.0544,0.0539,0.0534,0.0539,0.0538,0.0531,0.0542,0.0536,0.0538,0.0539,0.0536,0.0533,0.0533,0.0523,0.0534,0.0527,0.0531,0.0529,0.0525,0.0529,0.052,0.0527,0.0521,0.0516,0.0519,0.0519,0.0518,0.0521,0.0523,0.0517,0.0517,0.0521,0.0521,0.0519,0.0519,0.0517,0.0516,0.0513,0.0515,0.0517,0.0518,0.0512,0.0515,0.0518,0.0512,0.0516,0.051,0.0514,0.0517,0.0511,0.0518,0.0513,0.0517,0.0515,0.0515,0.0513,0.0513,0.0516,0.0513,0.0522,0.0524,0.0517,0.0524,0.0527,0.0527,0.0531,0.0542,0.0537
4,5,0.152,0.0561,0.0565,0.0567,0.0569,0.0569,0.0568,0.056,0.0569,0.0572,0.0564,0.0566,0.0563,0.0564,0.056,0.0563,0.0559,0.0562,0.0554,0.0561,0.0554,0.0558,0.0562,0.0551,0.0559,0.0551,0.0558,0.0551,0.0544,0.0553,0.0551,0.0549,0.0551,0.0549,0.0553,0.0545,0.055,0.0549,0.0547,0.0543,0.0543,0.0547,0.0541,0.054,0.0546,0.0548,0.0538,0.0546,0.0543,0.0541,0.0544,0.054,0.0543,0.0546,0.0541,0.0545,0.054,0.0547,0.0542,0.0543,0.0548,0.0547,0.0543,0.0546,0.0549,0.0554,0.0553,0.0558,0.0563,0.0562,0.0567,0.0575,0.0581
4,6,0.156,0.0592,0.0574,0.0567,0.0573,0.0572,0.0561,0.056,0.0562,0.0566,0.0563,0.0567,0.0563,0.0566,0.0567,0.0566,0.056,0.0558,0.0559,0.0564,0.0558,0.0557,0.0563,0.0556,0.0558,0.0558,0.0559,0.0557,0.0554,0.0557,0.0557,0.0553,0.0556,0.0556,0.0559,0.0552,0.0558,0.0555,0.0546,0.0548,0.0553,0.0551,0.0545,0.0546,0.0556,0.0552,0.0544,0.0551,0.0547,0.0548,0.0552,0.0549,0.055,0.055,0.0545,0.0547,0.0544,0.0549,0.0543,0.054,0.0545,0.0543,0.0536,0.0543,0.0546,0.0542,0.0541,0.0548,0.0552,0.0549,0.0554,0.0557,0.0559
0.015625,1,0.184,0.0565,0.0564,0.056,0.0562,0.0564,0.0561,0.0551,0.056,0.0556,0.0552,0.0553,0.0551,0.0556,0.0555,0.0553,0.055,0.0553,0.0543,0.0548,0.0545,0.0547,0.0551,0.0539,0.0546,0.0538,0.0544,0.0545,0.0535,0.0546,0.0543,0.054,0.0539,0.0542,0.0545,0.0542,0.055,0.0553,0.0551,0.0556,0.0569,0.0588,0.06,0.0629,0.0671,0.0726,0.0793,0.0909,0.106,0.12,0.135,0.151,0.17,0.185,0.201,0.22,0.236,0.253,0.272,0.29,0.309,0.325,0.34,0.357,0.372,0.386,0.399,0.41,0.421,0.432,0.446,0.459,0.472
0.015625,2,0.185,0.057,0.0565,0.057,0.057,0.0567,0.0567,0.0558,0.0566,0.057,0.0562,0.0569,0.0562,0.0564,0.0568,0.0567,0.0563,0.0557,0.0553,0.056,0.0553,0.0556,0.0564,0.0557,0.0556,0.0553,0.0554,0.0555,0.0547,0.0557,0.0556,0.0551,0.0556,0.0558,0.0564,0.0563,0.0566,0.0581,0.0587,0.0603,0.0635,0.067,0.0709,0.0781,0.0875,0.0996,0.115,0.129,0.142,0.157,0.174,0.188,0.2,0.218,0.233,0.247,0.264,0.281,0.299,0.318,0.335,0.35,0.363,0.378,0.39,0.404,0.413,0.425,0.437,0.451,0.464,0.478,0.491
0.015625,3,0.171,0.0562,0.0555,0.0557,0.056,0.0557,0.0541,0.0541,0.0547,0.0543,0.0539,0.0541,0.0544,0.0546,0.0544,0.0538,0.0537,0.0538,0.0528,0.0535,0.0534,0.0537,0.0538,0.0531,0.0532,0.0527,0.0536,0.0534,0.0526,0.053,0.0534,0.0525,0.053,0.0532,0.0538,0.0538,0.0546,0.0546,0.0562,0.0575,0.0595,0.0625,0.0666,0.0729,0.0813,0.0935,0.107,0.124,0.137,0.152,0.166,0.185,0.199,0.211,0.23,0.249,0.265,0.282,0.3,0.318,0.336,0.353,0.369,0.386,0.403,0.419,0.433,0.447,0.462,0.477,0.491,0.502,0.514
0.015625,4,0.144,0.0567,0.0565,0.056,0.0572,0.0574,0.0567,0.0565,0.0565,0.0567,0.0561,0.0566,0.0564,0.0563,0.0558,0.0565,0.0562,0.0562,0.0553,0.0558,0.0555,0.0554,0.0561,0.0553,0.0552,0.0552,0.0563,0.0554,0.055,0.0553,0.0556,0.0551,0.0559,0.0559,0.0559,0.056,0.0569,0.0572,0.0576,0.0583,0.0602,0.0624,0.0648,0.0682,0.0737,0.0811,0.09,0.104,0.121,0.135,0.15,0.167,0.184,0.198,0.217,0.234,0.251,0.264,0.279,0.296,0.314,0.328,0.345,0.361,0.375,0.388,0.401,0.415,0.426,0.438,0.452,0.465,0.479
