conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
32,1,0.151,0.0561,0.0558,0.0548,0.0544,0.0555,0.0541,0.0546,0.0546,0.0549,0.0553,0.0549,0.0541,0.0542,0.0547,0.054,0.0541,0.0541,0.0537,0.054,0.0539,0.0539,0.0534,0.0538,0.0539,0.0539,0.0533,0.054,0.054,0.0538,0.0532,0.0535,0.0537,0.0536,0.0532,0.0533,0.0533,0.0529,0.0531,0.0531,0.0526,0.0531,0.0528,0.0528,0.0525,0.0526,0.0527,0.0525,0.0529,0.0529,0.053,0.053,0.0531,0.0533,0.0524,0.0527,0.0524,0.0524,0.0519,0.0522,0.0526,0.0527,0.0526,0.052,0.052,0.0523,0.0517,0.0527,0.0517,0.0526,0.0525,0.0527,0.0518
32,2,0.134,0.0551,0.0549,0.0539,0.0536,0.0537,0.0523,0.0532,0.0528,0.0527,0.0532,0.0529,0.0529,0.0529,0.0525,0.0528,0.0521,0.0519,0.0523,0.0523,0.0518,0.0518,0.0516,0.052,0.0522,0.0521,0.0516,0.0513,0.0516,0.0518,0.0517,0.0518,0.0518,0.0512,0.0508,0.0516,0.0512,0.0515,0.0509,0.0508,0.0512,0.0503,0.0507,0.0516,0.0507,0.0506,0.0506,0.0502,0.0506,0.0506,0.0511,0.0511,0.0513,0.051,0.0503,0.051,0.0512,0.0509,0.0505,0.0512,0.0513,0.0517,0.0523,0.0525,0.0539,0.0554,0.0572,0.0604,0.0641,0.0698,0.0783,0.0902,0.107
32,3,0.107,0.0542,0.0541,0.0536,0.0531,0.0535,0.0525,0.053,0.0533,0.0536,0.0534,0.0532,0.0527,0.053,0.0529,0.0526,0.053,0.0523,0.0521,0.0524,0.0523,0.0524,0.0524,0.0524,0.0523,0.0525,0.0524,0.0519,0.0524,0.0519,0.0517,0.0518,0.0515,0.0513,0.0517,0.0522,0.0519,0.0517,0.051,0.0512,0.0515,0.051,0.051,0.0519,0.0509,0.0507,0.0509,0.0514,0.0513,0.0522,0.0518,0.0532,0.0538,0.0543,0.0551,0.0578,0.0614,0.0654,0.0722,0.0812,0.0949,0.115,0.133,0.151,0.172,0.192,0.205,0.219,0.234,0.249,0.263,0.278,0.295
32,4,0.0983,0.0548,0.0538,0.0537,0.0531,0.0536,0.0529,0.0528,0.053,0.0534,0.0536,0.053,0.0526,0.0532,0.0528,0.0527,0.0528,0.0522,0.0522,0.0524,0.0522,0.0523,0.0518,0.0518,0.052,0.0517,0.0523,0.0519,0.0524,0.0512,0.0513,0.052,0.0517,0.0516,0.0513,0.0513,0.0518,0.051,0.0511,0.0512,0.0514,0.0507,0.0511,0.0517,0.0511,0.0513,0.0508,0.0507,0.0508,0.0513,0.0509,0.0513,0.0512,0.0511,0.0506,0.0504,0.051,0.0509,0.0506,0.0505,0.0507,0.0508,0.0509,0.0506,0.0506,0.0508,0.0507,0.0513,0.0504,0.051,0.0513,0.0515,0.0508
32,5,0.0989,0.0553,0.0552,0.0546,0.0542,0.0545,0.054,0.0545,0.0548,0.0549,0.0542,0.0547,0.0541,0.0539,0.054,0.054,0.0538,0.0537,0.0533,0.0542,0.0533,0.054,0.0531,0.0538,0.0534,0.0536,0.0535,0.0534,0.0536,0.0533,0.053,0.0538,0.0534,0.0531,0.053,0.0531,0.053,0.0525,0.053,0.0528,0.053,0.0523,0.0526,0.0534,0.0526,0.0528,0.0524,0.0531,0.0532,0.0538,0.0539,0.0549,0.0552,0.0568,0.0576,0.0608,0.0646,0.0698,0.0776,0.0891,0.105,0.126,0.142,0.161,0.181,0.198,0.208,0.223,0.238,0.252,0.264,0.28,0.296
32,6,0.088,0.055,0.0547,0.0541,0.0536,0.0539,0.0533,0.0535,0.0537,0.0537,0.0541,0.0535,0.053,0.0533,0.053,0.0529,0.0532,0.0522,0.0524,0.0527,0.0524,0.0531,0.0523,0.0521,0.052,0.0519,0.0525,0.0523,0.0526,0.0517,0.052,0.0522,0.052,0.0514,0.0513,0.0514,0.0516,0.0513,0.0514,0.0513,0.0515,0.0513,0.051,0.052,0.0512,0.0512,0.0513,0.0516,0.0523,0.0529,0.0533,0.0544,0.056,0.0578,0.0598,0.0648,0.0709,0.0789,0.0912,0.109,0.13,0.147,0.167,0.187,0.198,0.213,0.228,0.245,0.258,0.274,0.29,0.307,0.319
0.125,1,0.0981,0.0534,0.054,0.0533,0.0533,0.0537,0.0526,0.0525,0.0527,0.0534,0.0538,0.0526,0.0529,0.0527,0.0527,0.0528,0.0522,0.0517,0.0516,0.0521,0.0516,0.0523,0.0518,0.0521,0.0518,0.0519,0.0518,0.0517,0.0517,0.0509,0.051,0.0515,0.0517,0.051,0.0513,0.0515,0.0517,0.0516,0.0518,0.052,0.0534,0.0535,0.0548,0.0567,0.0588,0.0623,0.0667,0.0732,0.0824,0.0947,0.111,0.128,0.144,0.162,0.18,0.193,0.208,0.219,0.234,0.252,0.271,0.289,0.31,0.325,0.341,0.357,0.37,0.385,0.397,0.409,0.425,0.45,0.491
0.125,2,0.0936,0.0543,0.0535,0.0533,0.0522,0.0527,0.052,0.0526,0.0523,0.0526,0.0523,0.0523,0.0523,0.0523,0.052,0.052,0.0516,0.0512,0.0514,0.0513,0.0513,0.0512,0.0509,0.051,0.0511,0.0511,0.0509,0.0507,0.0508,0.0502,0.0504,0.0512,0.0512,0.0508,0.0506,0.0505,0.0506,0.0504,0.051,0.0511,0.0517,0.0521,0.0529,0.0548,0.0558,0.0581,0.062,0.0667,0.0731,0.0826,0.0957,0.113,0.131,0.148,0.167,0.187,0.199,0.212,0.228,0.246,0.265,0.286,0.306,0.325,0.344,0.36,0.371,0.384,0.395,0.408,0.417,0.428,0.438
0.125,3,0.0639,0.0545,0.0544,0.0535,0.0535,0.0534,0.0527,0.0529,0.0536,0.0532,0.0534,0.0539,0.0532,0.0529,0.0527,0.053,0.0526,0.0526,0.0526,0.0523,0.0526,0.0524,0.0524,0.0521,0.0521,0.0518,0.052,0.0517,0.0514,0.0511,0.0516,0.0517,0.0518,0.0516,0.0516,0.0517,0.0505,0.0504,0.0506,0.0514,0.0522,0.0525,0.0531,0.0557,0.0577,0.0601,0.0646,0.0711,0.0795,0.0916,0.108,0.126,0.144,0.164,0.183,0.198,0.217,0.231,0.249,0.268,0.287,0.306,0.324,0.34,0.357,0.371,0.385,0.399,0.415,0.434,0.456,0.485,0.517
0.125,4,0.075,0.0525,0.0519,0.0517,0.0516,0.0512,0.051,0.0507,0.051,0.0513,0.051,0.0513,0.0507,0.0507,0.0507,0.051,0.0506,0.0505,0.0501,0.0503,0.0504,0.0502,0.0497,0.0498,0.0501,0.0499,0.0497,0.0495,0.0499,0.0491,0.0493,0.05,0.0501,0.0497,0.0491,0.0497,0.0498,0.0498,0.0504,0.0505,0.0512,0.0522,0.0532,0.0558,0.0571,0.0598,0.0642,0.0699,0.078,0.0888,0.104,0.123,0.139,0.159,0.178,0.194,0.208,0.221,0.236,0.253,0.268,0.285,0.303,0.323,0.342,0.357,0.37,0.382,0.394,0.405,0.413,0.422,0.433
