conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,1,0.0634,0.0621,0.0619,0.0608,0.0627,0.0589,0.0586,0.0615,0.0632,0.0633,0.0617,0.0603,0.0612,0.0586,0.0588,0.0574,0.0581,0.057,0.0585,0.0566,0.0583,0.0577,0.0568,0.0574,0.0559,0.0567,0.0566,0.057,0.0583,0.0601,0.0588,0.061,0.0617,0.065,0.0696,0.0734,0.0791,0.0876,0.0996,0.115,0.136,0.159,0.184,0.21,0.237,0.266,0.314,0.333,0.383,0.408,0.458,0.499,0.54,0.561,0.592,0.632,0.646,0.647,0.648,0.649,0.653,0.658,0.662,0.665,0.673,0.685,0.692,0.704,0.714,0.728,0.735,0.743,0.753
0,2,0.0637,0.0623,0.0616,0.0629,0.0601,0.0613,0.0578,0.0609,0.0632,0.0625,0.0615,0.0591,0.0593,0.0575,0.0584,0.0607,0.0611,0.063,0.0625,0.0624,0.0618,0.0628,0.0618,0.0603,0.0603,0.0606,0.0622,0.0598,0.0604,0.0609,0.0616,0.0615,0.0643,0.0664,0.0695,0.0735,0.0782,0.0854,0.0959,0.109,0.123,0.142,0.162,0.186,0.208,0.235,0.269,0.298,0.347,0.37,0.415,0.473,0.517,0.559,0.594,0.631,0.649,0.645,0.647,0.646,0.649,0.65,0.65,0.652,0.655,0.663,0.67,0.68,0.689,0.698,0.708,0.717,0.727
0,3,0.0628,0.0625,0.0628,0.0604,0.0631,0.0611,0.0582,0.0638,0.0669,0.0675,0.0668,0.0659,0.0611,0.0579,0.0571,0.0562,0.0594,0.0572,0.056,0.0558,0.0564,0.058,0.0564,0.0567,0.0561,0.0562,0.0562,0.0567,0.058,0.0583,0.0592,0.0597,0.0611,0.0642,0.0671,0.0708,0.0757,0.0828,0.0933,0.105,0.12,0.137,0.158,0.179,0.202,0.227,0.284,0.302,0.329,0.346,0.394,0.429,0.462,0.513,0.548,0.584,0.603,0.614,0.623,0.633,0.643,0.653,0.658,0.664,0.674,0.684,0.696,0.717,0.746,0.774,0.798,0.815,0.835
0,4,0.0623,0.0613,0.0614,0.0587,0.0629,0.0595,0.0573,0.0636,0.0656,0.0663,0.0665,0.0625,0.0586,0.0569,0.0566,0.0569,0.0566,0.0561,0.0545,0.0545,0.0556,0.0575,0.0562,0.0559,0.0548,0.0559,0.0554,0.0558,0.0569,0.0569,0.0573,0.0577,0.0595,0.0615,0.0637,0.0657,0.0714,0.0761,0.0863,0.0974,0.113,0.13,0.148,0.168,0.187,0.208,0.241,0.258,0.292,0.312,0.328,0.36,0.409,0.458,0.488,0.522,0.56,0.583,0.597,0.608,0.621,0.632,0.633,0.634,0.643,0.657,0.67,0.715,0.753,0.785,0.809,0.829,0.848
0,5,0.0608,0.0608,0.0599,0.0595,0.0598,0.0599,0.056,0.0564,0.0609,0.0641,0.065,0.0645,0.0632,0.0591,0.0576,0.0555,0.0572,0.0552,0.0545,0.0533,0.0547,0.0557,0.0552,0.0551,0.0547,0.0559,0.0552,0.0552,0.0573,0.0579,0.0575,0.059,0.061,0.063,0.0671,0.0704,0.0744,0.0807,0.0915,0.105,0.12,0.138,0.155,0.173,0.189,0.215,0.234,0.254,0.275,0.292,0.309,0.329,0.353,0.381,0.41,0.442,0.477,0.517,0.568,0.634,0.688,0.726,0.747,0.778,0.816,0.833,0.856,0.875,0.888,0.899,0.92,0.932,0.947
0,6,0.0635,0.0627,0.0618,0.0612,0.0646,0.0602,0.0593,0.0611,0.0645,0.0672,0.068,0.0682,0.0625,0.0642,0.0597,0.0598,0.0607,0.0592,0.0566,0.0569,0.0577,0.0583,0.0586,0.0578,0.0585,0.0591,0.058,0.058,0.0596,0.0602,0.0603,0.06,0.0615,0.063,0.066,0.0686,0.0724,0.079,0.0868,0.0998,0.115,0.131,0.147,0.164,0.186,0.213,0.237,0.253,0.272,0.291,0.308,0.334,0.362,0.386,0.408,0.43,0.449,0.454,0.469,0.492,0.507,0.52,0.534,0.563,0.591,0.613,0.704,0.723,0.747,0.767,0.782,0.792,0.803
0.000976563,1,0.0615,0.0615,0.0622,0.0611,0.063,0.058,0.0637,0.0662,0.0664,0.0625,0.0601,0.0575,0.0589,0.0598,0.0619,0.0629,0.059,0.0586,0.059,0.0586,0.0575,0.0588,0.0579,0.0575,0.0577,0.0581,0.0591,0.0583,0.0604,0.0617,0.0612,0.0625,0.0641,0.0672,0.0712,0.0757,0.0845,0.0919,0.104,0.119,0.138,0.157,0.18,0.21,0.243,0.279,0.322,0.35,0.368,0.388,0.431,0.472,0.506,0.555,0.588,0.61,0.625,0.635,0.656,0.66,0.672,0.684,0.695,0.706,0.714,0.725,0.733,0.742,0.752,0.762,0.768,0.774,0.781
0.000976563,2,0.0601,0.061,0.0618,0.0626,0.0602,0.0591,0.0621,0.0671,0.0656,0.0622,0.0593,0.0559,0.0563,0.056,0.0562,0.0565,0.0561,0.0564,0.0556,0.0545,0.055,0.0555,0.0556,0.0554,0.0546,0.056,0.0553,0.0554,0.0579,0.0576,0.0587,0.0596,0.061,0.0645,0.068,0.0721,0.0767,0.0842,0.0957,0.111,0.131,0.152,0.17,0.188,0.208,0.261,0.309,0.322,0.373,0.38,0.415,0.444,0.471,0.51,0.539,0.545,0.569,0.589,0.613,0.633,0.655,0.676,0.695,0.712,0.724,0.74,0.75,0.762,0.774,0.792,0.804,0.813,0.822
0.000976563,3,0.0616,0.0609,0.0622,0.0623,0.0617,0.0585,0.0607,0.0642,0.0614,0.0659,0.0646,0.065,0.0639,0.0622,0.0579,0.0566,0.0566,0.0556,0.0557,0.056,0.0558,0.0567,0.0565,0.0566,0.0555,0.0564,0.0567,0.0564,0.0578,0.0587,0.059,0.0606,0.062,0.0641,0.0678,0.0726,0.0795,0.09,0.101,0.117,0.136,0.16,0.184,0.21,0.234,0.266,0.316,0.345,0.385,0.396,0.435,0.47,0.506,0.538,0.559,0.576,0.595,0.614,0.627,0.639,0.652,0.662,0.666,0.669,0.677,0.689,0.696,0.706,0.717,0.725,0.733,0.743,0.755
0.000976563,4,0.0608,0.0617,0.0627,0.064,0.0615,0.0608,0.0597,0.0645,0.0646,0.0677,0.0641,0.0665,0.06,0.0567,0.0567,0.0565,0.0576,0.0559,0.0558,0.0557,0.0566,0.0567,0.0566,0.0576,0.0562,0.0576,0.0566,0.0566,0.058,0.058,0.0589,0.06,0.0607,0.0635,0.0667,0.07,0.0747,0.0825,0.0935,0.106,0.124,0.144,0.163,0.186,0.208,0.233,0.257,0.282,0.31,0.331,0.367,0.399,0.431,0.455,0.474,0.493,0.521,0.549,0.563,0.577,0.59,0.604,0.612,0.619,0.636,0.66,0.688,0.712,0.734,0.755,0.773,0.791,0.809
0.000976563,5,0.0622,0.0618,0.0631,0.0623,0.0611,0.0627,0.0603,0.066,0.0667,0.0666,0.0656,0.0663,0.0641,0.0593,0.0578,0.0578,0.0575,0.0571,0.0585,0.0565,0.057,0.0575,0.0565,0.0578,0.0574,0.0591,0.0572,0.0571,0.0586,0.0599,0.0593,0.0589,0.0615,0.0627,0.065,0.0682,0.0716,0.0771,0.0855,0.0943,0.109,0.125,0.141,0.157,0.173,0.188,0.212,0.234,0.265,0.278,0.288,0.308,0.334,0.368,0.402,0.437,0.47,0.5,0.529,0.562,0.598,0.625,0.642,0.655,0.695,0.726,0.753,0.768,0.786,0.794,0.808,0.815,0.834
0.000976563,6,0.061,0.0618,0.062,0.0598,0.0636,0.0576,0.0602,0.0654,0.0651,0.0626,0.0626,0.0647,0.0607,0.0592,0.0575,0.0562,0.0569,0.0572,0.0571,0.0562,0.0567,0.0578,0.0569,0.0576,0.057,0.0577,0.057,0.0575,0.0598,0.0607,0.063,0.064,0.0674,0.0704,0.0741,0.078,0.0831,0.0896,0.099,0.111,0.126,0.142,0.158,0.176,0.194,0.218,0.248,0.274,0.285,0.303,0.324,0.346,0.372,0.395,0.416,0.44,0.458,0.466,0.478,0.498,0.511,0.525,0.54,0.559,0.577,0.597,0.617,0.691,0.752,0.792,0.82,0.836,0.854
