conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
64,1,0.0571,0.0565,0.0554,0.0545,0.0542,0.0545,0.0539,0.0538,0.0542,0.0532,0.0528,0.0531,0.0519,0.0525,0.0523,0.0524,0.0525,0.0524,0.0526,0.0519,0.0522,0.0517,0.0515,0.0518,0.0522,0.0512,0.0512,0.0517,0.0517,0.0516,0.0513,0.0515,0.051,0.051,0.0511,0.051,0.0513,0.0505,0.0507,0.0512,0.051,0.0509,0.0508,0.0507,0.0508,0.0503,0.0509,0.0512,0.0514,0.051,0.0502,0.0505,0.0503,0.0508,0.0512,0.0514,0.0511,0.0506,0.0514,0.0518,0.052,0.0518,0.0532,0.0534,0.0553,0.0563,0.0582,0.0597,0.0641,0.0687,0.0744,0.0812,0.09
64,2,0.0574,0.0562,0.0559,0.0545,0.054,0.0547,0.0541,0.0536,0.0536,0.0534,0.0529,0.0534,0.0521,0.0523,0.0523,0.053,0.0521,0.0518,0.0525,0.0516,0.0518,0.0518,0.0513,0.0526,0.0518,0.0514,0.0516,0.0511,0.0513,0.0514,0.0507,0.051,0.0513,0.0507,0.051,0.051,0.0515,0.0507,0.0506,0.0519,0.0509,0.0501,0.0503,0.0501,0.0505,0.0506,0.0508,0.0502,0.0509,0.051,0.0502,0.0505,0.0503,0.0508,0.0514,0.0514,0.0501,0.0498,0.0509,0.0511,0.0514,0.0507,0.0514,0.0514,0.0521,0.0523,0.0531,0.0538,0.0542,0.0548,0.0569,0.0585,0.0601
64,3,0.0599,0.057,0.0571,0.0557,0.0548,0.0561,0.0553,0.0545,0.0552,0.0544,0.0537,0.0537,0.0535,0.0535,0.0537,0.0537,0.0532,0.0524,0.053,0.0534,0.053,0.0529,0.0526,0.0529,0.053,0.0527,0.0527,0.0524,0.0528,0.0522,0.052,0.0522,0.0526,0.0521,0.0518,0.0514,0.0519,0.052,0.0518,0.0521,0.0518,0.0516,0.0511,0.0516,0.0517,0.052,0.0518,0.0521,0.0513,0.0518,0.0509,0.0514,0.0514,0.0516,0.0523,0.0524,0.0512,0.0517,0.0515,0.0521,0.0524,0.0515,0.0523,0.0517,0.053,0.0527,0.0531,0.053,0.0535,0.0542,0.0546,0.0556,0.0566
64,4,0.075,0.0575,0.0563,0.0556,0.0552,0.055,0.0542,0.0536,0.0535,0.0527,0.0529,0.0528,0.0518,0.0518,0.0525,0.0526,0.0522,0.0518,0.052,0.052,0.0518,0.0514,0.0512,0.0519,0.0517,0.051,0.0515,0.0512,0.0517,0.0515,0.0507,0.0513,0.0514,0.0501,0.0513,0.0505,0.0507,0.0506,0.0509,0.0514,0.051,0.0506,0.0503,0.0503,0.0511,0.0506,0.0507,0.0506,0.0509,0.0507,0.0504,0.0503,0.0503,0.0505,0.051,0.0511,0.0506,0.0503,0.0506,0.0507,0.0508,0.0507,0.051,0.0508,0.0513,0.0509,0.051,0.0514,0.0516,0.0514,0.0526,0.0528,0.0537
64,5,0.0903,0.0563,0.0561,0.0546,0.0543,0.0547,0.0539,0.054,0.0533,0.053,0.0526,0.0527,0.0518,0.052,0.0523,0.053,0.052,0.0518,0.0517,0.0525,0.0516,0.0511,0.0514,0.0521,0.0515,0.051,0.0509,0.0513,0.0512,0.0512,0.0507,0.0512,0.0507,0.0508,0.0508,0.0505,0.0507,0.0507,0.0508,0.0508,0.051,0.0507,0.0505,0.0504,0.0506,0.0503,0.0504,0.0507,0.0506,0.0505,0.0503,0.0507,0.0504,0.0505,0.0511,0.0512,0.0501,0.0498,0.0505,0.0502,0.0509,0.0501,0.0509,0.0505,0.0508,0.0507,0.0512,0.0508,0.0506,0.051,0.0523,0.0523,0.0527
64,6,0.0593,0.0572,0.056,0.0552,0.0548,0.0549,0.0539,0.0538,0.0542,0.0526,0.0526,0.053,0.052,0.0525,0.053,0.0527,0.0524,0.0518,0.0521,0.0516,0.0518,0.0512,0.052,0.0517,0.0514,0.0515,0.0515,0.0523,0.0518,0.0514,0.0509,0.0513,0.051,0.0504,0.0505,0.0509,0.0513,0.0507,0.0512,0.0511,0.0511,0.0502,0.0508,0.0502,0.0513,0.0504,0.0507,0.0502,0.051,0.051,0.0505,0.0502,0.0507,0.0503,0.0511,0.051,0.0504,0.0503,0.0509,0.0512,0.0509,0.0501,0.0512,0.0511,0.0514,0.0518,0.0519,0.0521,0.0523,0.053,0.0544,0.0553,0.0577
0.25,1,0.0578,0.056,0.056,0.0553,0.055,0.0554,0.0544,0.0544,0.054,0.0538,0.0531,0.0533,0.0527,0.053,0.0531,0.053,0.0529,0.0522,0.053,0.0524,0.0525,0.0524,0.0522,0.0523,0.0522,0.0519,0.0522,0.0519,0.0518,0.052,0.0519,0.0523,0.052,0.0524,0.0528,0.0528,0.0535,0.0539,0.0558,0.0576,0.0593,0.0612,0.0657,0.0719,0.0791,0.0892,0.103,0.119,0.134,0.15,0.166,0.185,0.205,0.228,0.248,0.264,0.28,0.298,0.319,0.338,0.354,0.368,0.384,0.398,0.414,0.433,0.45,0.466,0.483,0.501,0.52,0.54,0.56
0.25,2,0.06,0.0559,0.0556,0.0547,0.0536,0.0545,0.0539,0.0535,0.0535,0.0526,0.0523,0.0523,0.0517,0.0521,0.0527,0.0525,0.0519,0.0515,0.0517,0.0513,0.0515,0.0512,0.051,0.0518,0.0517,0.0514,0.0512,0.051,0.0513,0.0518,0.051,0.051,0.0515,0.0513,0.0521,0.0521,0.0533,0.0541,0.0553,0.057,0.0591,0.0608,0.0651,0.0701,0.0776,0.0879,0.101,0.118,0.132,0.148,0.164,0.183,0.202,0.221,0.241,0.259,0.275,0.294,0.315,0.333,0.349,0.366,0.38,0.398,0.412,0.431,0.448,0.466,0.484,0.504,0.522,0.54,0.56
0.25,3,0.0564,0.0553,0.0554,0.0544,0.0537,0.0549,0.0533,0.0529,0.0531,0.0525,0.052,0.0519,0.0511,0.0516,0.0516,0.0521,0.0518,0.0512,0.0513,0.0508,0.0513,0.0508,0.0504,0.0511,0.051,0.0506,0.0509,0.0507,0.0509,0.0507,0.0503,0.0509,0.0511,0.0505,0.0511,0.0513,0.0529,0.0533,0.0544,0.057,0.0588,0.0613,0.0655,0.071,0.0795,0.0904,0.104,0.121,0.135,0.152,0.168,0.187,0.207,0.226,0.248,0.264,0.282,0.301,0.319,0.337,0.354,0.369,0.386,0.403,0.417,0.436,0.454,0.473,0.49,0.506,0.522,0.536,0.55
0.25,4,0.107,0.0545,0.0542,0.0533,0.0532,0.0535,0.0526,0.0525,0.0523,0.0512,0.0518,0.0514,0.0507,0.0513,0.0511,0.0511,0.0509,0.0503,0.0506,0.0505,0.0498,0.05,0.05,0.0508,0.0504,0.05,0.0502,0.0497,0.0504,0.0502,0.0498,0.05,0.0505,0.0499,0.0511,0.0508,0.0519,0.0524,0.0537,0.0561,0.0576,0.0599,0.0646,0.0706,0.0789,0.0897,0.104,0.121,0.136,0.152,0.169,0.186,0.205,0.224,0.243,0.257,0.274,0.293,0.315,0.335,0.353,0.368,0.386,0.401,0.418,0.435,0.452,0.465,0.48,0.495,0.51,0.526,0.54
