conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0.5,1,0.0761,0.0565,0.0564,0.0556,0.0563,0.0559,0.057,0.0569,0.0565,0.0558,0.0558,0.0562,0.0567,0.0559,0.056,0.0558,0.056,0.0557,0.0562,0.056,0.0568,0.0561,0.0567,0.0559,0.0562,0.0564,0.0559,0.056,0.0565,0.0561,0.056,0.0558,0.0556,0.0561,0.0554,0.0562,0.0567,0.0558,0.0564,0.0562,0.0567,0.0565,0.057,0.0567,0.0577,0.0585,0.0589,0.0599,0.062,0.0635,0.0655,0.0696,0.074,0.0799,0.0878,0.096,0.107,0.118,0.129,0.141,0.155,0.169,0.183,0.204,0.23,0.26,0.294,0.338,0.365,0.387,0.407,0.428,0.444
0.5,2,0.0962,0.055,0.0549,0.0535,0.0541,0.0545,0.0543,0.0548,0.0546,0.0539,0.0538,0.0543,0.0543,0.0541,0.054,0.0536,0.0541,0.0541,0.0537,0.0545,0.0549,0.0541,0.0546,0.0543,0.0539,0.0545,0.0541,0.0543,0.0539,0.0539,0.0536,0.0536,0.0536,0.0542,0.053,0.0541,0.0535,0.054,0.0541,0.0547,0.0548,0.0544,0.0551,0.0543,0.0552,0.0559,0.056,0.0563,0.0586,0.0598,0.0618,0.0642,0.0684,0.0732,0.0807,0.088,0.0978,0.109,0.123,0.136,0.151,0.164,0.175,0.187,0.201,0.215,0.244,0.263,0.289,0.312,0.328,0.344,0.362
0.5,3,0.0714,0.0546,0.0542,0.0545,0.0544,0.0537,0.0538,0.0542,0.0542,0.0538,0.0537,0.0532,0.0537,0.054,0.0534,0.0533,0.0538,0.0539,0.0535,0.0537,0.0543,0.0534,0.054,0.0537,0.0535,0.0543,0.0542,0.0537,0.054,0.0536,0.0537,0.0532,0.0532,0.053,0.0525,0.0532,0.0531,0.0534,0.0536,0.0547,0.0543,0.0541,0.0553,0.0547,0.0557,0.0564,0.0574,0.0582,0.06,0.0625,0.0654,0.0709,0.0771,0.0855,0.0996,0.114,0.127,0.14,0.151,0.152,0.172,0.193,0.205,0.223,0.249,0.272,0.282,0.312,0.337,0.354,0.371,0.386,0.404
0.5,4,0.0553,0.0536,0.0533,0.0529,0.0529,0.0529,0.0532,0.0531,0.0527,0.0527,0.0529,0.0527,0.0537,0.0529,0.0528,0.0524,0.0525,0.0526,0.0523,0.0524,0.0529,0.0528,0.0526,0.0529,0.0527,0.0535,0.0526,0.0527,0.0523,0.0528,0.0523,0.0524,0.052,0.0529,0.0519,0.0522,0.0524,0.0527,0.0525,0.0525,0.0535,0.0526,0.0537,0.0531,0.0536,0.0552,0.0555,0.0565,0.0588,0.0613,0.0637,0.0683,0.0734,0.0806,0.091,0.101,0.111,0.123,0.135,0.148,0.161,0.173,0.188,0.206,0.224,0.245,0.265,0.291,0.328,0.366,0.396,0.418,0.443
0.5,5,0.0554,0.0558,0.0558,0.0558,0.056,0.0561,0.0558,0.0561,0.0569,0.0567,0.0563,0.0571,0.0568,0.0572,0.0566,0.0562,0.0569,0.0569,0.056,0.0565,0.0573,0.057,0.0573,0.0571,0.0573,0.0577,0.0574,0.0572,0.0578,0.0578,0.0574,0.0572,0.0566,0.0573,0.0574,0.057,0.0575,0.0577,0.058,0.0578,0.0586,0.0589,0.0592,0.0589,0.06,0.0609,0.0625,0.064,0.0664,0.0702,0.074,0.08,0.0867,0.0942,0.105,0.116,0.126,0.138,0.148,0.163,0.177,0.195,0.257,0.281,0.302,0.326,0.358,0.387,0.414,0.442,0.466,0.489,0.515
0.5,6,0.055,0.0555,0.0555,0.055,0.0553,0.0549,0.0556,0.0558,0.0556,0.0552,0.055,0.055,0.0557,0.055,0.0553,0.0548,0.0548,0.0553,0.0551,0.0553,0.0551,0.0551,0.0554,0.0551,0.0552,0.0555,0.0544,0.0552,0.0551,0.0551,0.0545,0.0546,0.0544,0.0546,0.0541,0.0545,0.0542,0.0548,0.0548,0.0548,0.0547,0.0549,0.0552,0.055,0.0557,0.0558,0.0569,0.0574,0.059,0.0599,0.0618,0.0645,0.0688,0.0745,0.082,0.0907,0.101,0.112,0.122,0.133,0.145,0.161,0.177,0.197,0.215,0.234,0.26,0.298,0.325,0.35,0.38,0.405,0.423
0.001953125,1,0.0546,0.054,0.0539,0.0535,0.054,0.0533,0.0537,0.0545,0.053,0.0533,0.0531,0.0534,0.0536,0.0535,0.0534,0.0526,0.0535,0.0528,0.053,0.0534,0.0536,0.0529,0.053,0.0533,0.0533,0.0536,0.0531,0.0534,0.0534,0.0533,0.0532,0.0532,0.0533,0.0534,0.0534,0.0537,0.0546,0.0552,0.0557,0.0572,0.0583,0.0608,0.0635,0.0672,0.0724,0.0804,0.0909,0.105,0.126,0.144,0.16,0.178,0.198,0.218,0.237,0.252,0.261,0.275,0.291,0.308,0.325,0.342,0.358,0.375,0.389,0.403,0.415,0.426,0.437,0.451,0.47,0.496,0.519
0.001953125,2,0.0555,0.0528,0.0532,0.0522,0.0526,0.0521,0.0525,0.053,0.0525,0.0519,0.0521,0.0522,0.0527,0.0525,0.0521,0.0518,0.0524,0.0522,0.0522,0.0521,0.0525,0.0519,0.0523,0.0523,0.0517,0.0524,0.0517,0.0525,0.052,0.0524,0.0518,0.0521,0.052,0.0519,0.0523,0.0531,0.0537,0.0543,0.0553,0.0571,0.0588,0.0607,0.0642,0.0677,0.0737,0.0826,0.0925,0.106,0.124,0.138,0.153,0.171,0.189,0.208,0.228,0.245,0.254,0.269,0.285,0.303,0.32,0.336,0.351,0.366,0.38,0.395,0.407,0.419,0.43,0.446,0.466,0.482,0.496
0.001953125,3,0.094,0.0522,0.052,0.051,0.0508,0.051,0.0512,0.0518,0.0513,0.0505,0.0505,0.0511,0.0508,0.0511,0.0506,0.0504,0.0511,0.0504,0.0504,0.0505,0.051,0.0508,0.0508,0.0507,0.0507,0.0511,0.0505,0.0509,0.0506,0.0507,0.0507,0.0509,0.0504,0.0509,0.0505,0.051,0.0512,0.0522,0.053,0.0542,0.0559,0.0573,0.0599,0.0639,0.0692,0.0773,0.0884,0.103,0.124,0.141,0.157,0.175,0.194,0.21,0.234,0.264,0.274,0.284,0.299,0.318,0.337,0.353,0.368,0.387,0.401,0.414,0.424,0.435,0.447,0.459,0.469,0.481,0.492
0.001953125,4,0.0791,0.0515,0.0519,0.051,0.0509,0.0506,0.0511,0.0513,0.0512,0.0508,0.0506,0.0508,0.0507,0.0511,0.051,0.0503,0.0502,0.0509,0.0505,0.0509,0.0513,0.0508,0.0512,0.0508,0.0507,0.0506,0.0508,0.0508,0.0512,0.0511,0.0507,0.0509,0.0512,0.0511,0.0509,0.0518,0.0523,0.0525,0.0537,0.0552,0.0557,0.0579,0.061,0.064,0.0684,0.0756,0.0844,0.0962,0.112,0.13,0.145,0.164,0.183,0.202,0.222,0.24,0.253,0.266,0.281,0.297,0.311,0.325,0.338,0.352,0.365,0.38,0.395,0.413,0.437,0.463,0.487,0.514,0.54
