conc,replicate,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72
0,1,0.0557,0.0564,0.0563,0.0558,0.055,0.0574,0.0572,0.0576,0.0575,0.0577,0.0572,0.0574,0.0572,0.0579,0.0582,0.0571,0.0579,0.0579,0.0581,0.0578,0.0583,0.0582,0.0578,0.0578,0.0583,0.0586,0.0583,0.058,0.058,0.0585,0.0584,0.0586,0.0582,0.0586,0.0591,0.0601,0.0606,0.0618,0.0629,0.0658,0.0686,0.0728,0.0787,0.0866,0.0966,0.111,0.128,0.143,0.16,0.18,0.199,0.216,0.236,0.257,0.279,0.299,0.32,0.339,0.359,0.376,0.39,0.395,0.4,0.41,0.426,0.453,0.479,0.504,0.526,0.547,0.57,0.588,0.61
0,2,0.0684,0.054,0.0541,0.0537,0.053,0.0527,0.0522,0.0523,0.0525,0.0517,0.0517,0.0524,0.0524,0.0526,0.0531,0.052,0.0523,0.0526,0.0526,0.0522,0.0524,0.0517,0.0517,0.0524,0.0521,0.0525,0.052,0.0518,0.0513,0.0517,0.0519,0.0528,0.0529,0.0521,0.0521,0.0527,0.0535,0.0536,0.0547,0.0566,0.0585,0.0616,0.0658,0.0715,0.0794,0.0911,0.109,0.127,0.145,0.162,0.184,0.205,0.226,0.248,0.274,0.298,0.319,0.339,0.357,0.366,0.373,0.381,0.388,0.398,0.408,0.42,0.431,0.442,0.45,0.458,0.467,0.474,0.485
0,3,0.0662,0.0537,0.0538,0.0538,0.0535,0.0534,0.0532,0.0529,0.0539,0.0532,0.0531,0.0535,0.0536,0.0544,0.0538,0.0538,0.0542,0.0541,0.0538,0.054,0.0538,0.0533,0.0536,0.0532,0.0539,0.054,0.0536,0.0536,0.0537,0.0536,0.0543,0.054,0.0542,0.0543,0.0546,0.0547,0.0566,0.0576,0.0585,0.0613,0.0645,0.0693,0.0751,0.0833,0.094,0.107,0.124,0.139,0.153,0.171,0.189,0.204,0.221,0.24,0.26,0.28,0.3,0.319,0.337,0.354,0.371,0.388,0.41,0.435,0.462,0.498,0.533,0.566,0.592,0.616,0.636,0.655,0.673
0,4,0.0813,0.0536,0.054,0.0532,0.0528,0.0528,0.0527,0.0527,0.0527,0.0523,0.0525,0.0528,0.0529,0.0531,0.0533,0.053,0.0533,0.053,0.0533,0.0531,0.0529,0.053,0.0524,0.0524,0.0527,0.0535,0.053,0.0524,0.0524,0.0524,0.0535,0.0532,0.0539,0.0538,0.0544,0.0553,0.0564,0.0572,0.0586,0.0619,0.0653,0.0695,0.0764,0.0844,0.096,0.11,0.125,0.14,0.156,0.175,0.193,0.209,0.228,0.248,0.268,0.286,0.308,0.331,0.354,0.378,0.403,0.424,0.44,0.459,0.483,0.508,0.533,0.557,0.579,0.596,0.615,0.632,0.647
0,5,0.0671,0.055,0.0553,0.0548,0.0545,0.0542,0.0547,0.0539,0.0544,0.0542,0.0539,0.0542,0.0548,0.0549,0.0546,0.0547,0.0544,0.0546,0.0545,0.0546,0.0547,0.0547,0.0542,0.0541,0.0542,0.0547,0.0543,0.054,0.0542,0.0546,0.0549,0.0551,0.0554,0.0553,0.0557,0.0558,0.0575,0.0576,0.0593,0.0619,0.0652,0.07,0.076,0.0845,0.0956,0.111,0.127,0.142,0.158,0.176,0.193,0.207,0.224,0.241,0.262,0.281,0.299,0.317,0.334,0.353,0.376,0.404,0.434,0.462,0.491,0.523,0.559,0.588,0.609,0.628,0.646,0.664,0.679
0,6,0.0665,0.0561,0.0554,0.0551,0.0552,0.055,0.0543,0.0547,0.054,0.0544,0.0536,0.0548,0.0548,0.0552,0.055,0.0545,0.0554,0.0548,0.0546,0.0542,0.0544,0.0543,0.0543,0.0544,0.0545,0.0548,0.0549,0.0542,0.0545,0.0546,0.0546,0.0557,0.0553,0.0556,0.0555,0.0565,0.0581,0.0589,0.0603,0.0632,0.0662,0.0706,0.0768,0.0856,0.0967,0.112,0.129,0.144,0.16,0.18,0.198,0.215,0.236,0.257,0.277,0.298,0.318,0.342,0.37,0.398,0.428,0.453,0.486,0.519,0.551,0.581,0.606,0.629,0.646,0.662,0.678,0.692,0.705
6.10E-05,1,0.125,0.0552,0.0542,0.054,0.0543,0.0537,0.054,0.0537,0.0537,0.0541,0.0534,0.0542,0.0542,0.054,0.0544,0.0536,0.0539,0.054,0.0536,0.0541,0.0538,0.0538,0.0538,0.0535,0.0539,0.0539,0.0533,0.0536,0.053,0.0536,0.0539,0.0534,0.0537,0.054,0.0544,0.0545,0.0561,0.0563,0.0576,0.0598,0.0623,0.0662,0.0713,0.078,0.0873,0.101,0.118,0.134,0.147,0.164,0.179,0.195,0.219,0.239,0.26,0.278,0.297,0.315,0.329,0.337,0.345,0.356,0.362,0.374,0.383,0.396,0.408,0.424,0.441,0.461,0.485,0.513,0.543
6.10E-05,2,0.15,0.0517,0.0515,0.0514,0.0514,0.0508,0.0513,0.051,0.0507,0.0512,0.0506,0.0516,0.0515,0.0519,0.051,0.051,0.0516,0.0516,0.0514,0.0509,0.0507,0.0513,0.0506,0.0503,0.0507,0.051,0.0503,0.0503,0.0503,0.0504,0.0511,0.0509,0.051,0.0511,0.0514,0.052,0.0533,0.0541,0.0554,0.0575,0.061,0.0651,0.0708,0.0789,0.0908,0.107,0.123,0.14,0.157,0.176,0.192,0.209,0.229,0.251,0.271,0.289,0.305,0.318,0.33,0.333,0.338,0.343,0.348,0.355,0.362,0.372,0.38,0.391,0.399,0.406,0.415,0.421,0.43
6.10E-05,3,0.154,0.054,0.0542,0.0544,0.0536,0.0535,0.0532,0.0534,0.0537,0.0533,0.0528,0.0529,0.0527,0.0531,0.0531,0.0522,0.0526,0.0526,0.052,0.0522,0.052,0.0525,0.0521,0.0519,0.0521,0.0523,0.0522,0.0523,0.0516,0.0516,0.052,0.0523,0.0521,0.0518,0.0526,0.0523,0.0539,0.0533,0.0537,0.0557,0.057,0.0602,0.0634,0.0679,0.0746,0.0835,0.0971,0.114,0.131,0.145,0.163,0.18,0.195,0.215,0.236,0.253,0.27,0.286,0.3,0.314,0.32,0.325,0.331,0.337,0.345,0.355,0.364,0.375,0.385,0.394,0.403,0.412,0.425
6.10E-05,4,0.157,0.0555,0.0558,0.0553,0.055,0.0547,0.0546,0.0549,0.0549,0.0546,0.0542,0.0548,0.0549,0.0552,0.0556,0.0551,0.0552,0.0559,0.0553,0.0553,0.0551,0.0546,0.0544,0.0546,0.055,0.0553,0.0546,0.0544,0.0544,0.0544,0.0552,0.0549,0.0553,0.055,0.0554,0.0552,0.0572,0.0573,0.0585,0.0608,0.0633,0.0673,0.0723,0.0799,0.0894,0.104,0.122,0.139,0.156,0.175,0.192,0.211,0.239,0.259,0.283,0.305,0.323,0.34,0.348,0.355,0.361,0.368,0.378,0.387,0.394,0.405,0.416,0.427,0.438,0.446,0.454,0.463,0.472
