conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
4,1,0.106,0.0525,0.0516,0.0515,0.0515,0.0513,0.0515,0.0508,0.0507,0.0511,0.0515,0.0506,0.0507,0.0508,0.0508,0.0503,0.0514,0.0507,0.0512,0.05,0.0509,0.0506,0.0508,0.0505,0.0508,0.0507,0.0508,0.0509,0.0506,0.0505,0.0507,0.0508,0.0504,0.0502,0.0506,0.05,0.0506,0.0506,0.0512,0.0512,0.0509,0.0514,0.0521,0.0531,0.0537,0.0552,0.0569,0.0602,0.0642,0.0705,0.0782,0.091,0.109,0.128,0.143,0.156,0.169,0.181,0.203,0.225,0.257,0.274,0.293,0.313,0.335,0.354,0.371,0.388,0.401,0.414,0.426,0.438,0.447
4,2,0.0936,0.0518,0.0519,0.0514,0.0513,0.0508,0.0516,0.0511,0.0505,0.0507,0.051,0.0509,0.0503,0.0508,0.051,0.0504,0.0512,0.0512,0.0504,0.0502,0.0506,0.0503,0.0504,0.05,0.0509,0.0506,0.0505,0.0506,0.0508,0.0507,0.0504,0.0503,0.0506,0.0501,0.0504,0.0505,0.0505,0.0508,0.0511,0.0515,0.0521,0.0519,0.0543,0.0551,0.0569,0.0608,0.0647,0.0711,0.0815,0.0951,0.113,0.137,0.149,0.168,0.183,0.206,0.232,0.258,0.281,0.302,0.327,0.349,0.372,0.389,0.404,0.42,0.433,0.446,0.456,0.467,0.477,0.485,0.493
4,3,0.1,0.0523,0.0516,0.051,0.0511,0.0509,0.0511,0.0503,0.0503,0.0506,0.0505,0.0506,0.05,0.0507,0.0503,0.0505,0.0508,0.0506,0.0505,0.0499,0.0504,0.0503,0.0507,0.0495,0.0504,0.05,0.0502,0.0504,0.0507,0.0508,0.0505,0.0508,0.0503,0.0502,0.0503,0.0505,0.0501,0.0509,0.0512,0.0519,0.0517,0.0527,0.0541,0.0557,0.0581,0.0619,0.066,0.0734,0.0837,0.098,0.117,0.135,0.144,0.162,0.178,0.2,0.226,0.251,0.275,0.297,0.322,0.342,0.364,0.383,0.399,0.417,0.431,0.442,0.451,0.461,0.47,0.477,0.483
4,4,0.0858,0.0518,0.0501,0.0506,0.0507,0.0506,0.0504,0.0506,0.0496,0.0502,0.0503,0.0502,0.0495,0.0503,0.0503,0.0502,0.0505,0.0503,0.0502,0.0496,0.0499,0.0498,0.05,0.0496,0.0503,0.0499,0.0499,0.0498,0.0505,0.0501,0.0501,0.0504,0.0502,0.0497,0.0499,0.0502,0.0505,0.0508,0.0508,0.0513,0.0516,0.0519,0.0538,0.0551,0.0575,0.0609,0.0658,0.0728,0.0826,0.0975,0.116,0.136,0.147,0.163,0.181,0.205,0.231,0.256,0.281,0.305,0.329,0.35,0.369,0.385,0.402,0.419,0.431,0.444,0.457,0.478,0.511,0.55,0.587
4,5,0.101,0.0534,0.052,0.0522,0.052,0.0517,0.0525,0.0522,0.0514,0.0515,0.0513,0.051,0.051,0.0512,0.0509,0.0515,0.0518,0.0511,0.0512,0.051,0.0514,0.0511,0.0511,0.0512,0.0514,0.0509,0.0508,0.0509,0.051,0.051,0.0515,0.0512,0.0513,0.0504,0.0509,0.0508,0.0513,0.0517,0.0513,0.0517,0.0513,0.0521,0.0534,0.0545,0.0552,0.0577,0.0604,0.0644,0.0712,0.0801,0.0934,0.112,0.136,0.15,0.158,0.174,0.192,0.217,0.246,0.273,0.302,0.327,0.352,0.378,0.403,0.425,0.441,0.459,0.476,0.491,0.506,0.52,0.534
4,6,0.0837,0.0532,0.052,0.0518,0.0515,0.0518,0.0521,0.0515,0.0512,0.0516,0.0517,0.051,0.0508,0.0513,0.0515,0.0514,0.0513,0.0515,0.0513,0.0505,0.0515,0.0514,0.0514,0.0508,0.0516,0.0508,0.0508,0.0513,0.0513,0.0511,0.0508,0.051,0.0513,0.0509,0.0511,0.051,0.051,0.0514,0.0515,0.0514,0.052,0.052,0.0536,0.0545,0.0556,0.0578,0.0612,0.0652,0.0722,0.0815,0.0942,0.112,0.133,0.143,0.161,0.179,0.2,0.225,0.252,0.277,0.298,0.321,0.342,0.362,0.383,0.396,0.41,0.422,0.433,0.442,0.452,0.462,0.471
0.015625,1,0.0685,0.0527,0.0515,0.0514,0.0515,0.0517,0.0518,0.0511,0.0514,0.0515,0.0513,0.0506,0.0505,0.0511,0.0508,0.0503,0.0513,0.0514,0.051,0.0504,0.0507,0.0508,0.051,0.0509,0.051,0.0506,0.0509,0.0512,0.0513,0.052,0.052,0.0532,0.0541,0.0544,0.0559,0.0589,0.0618,0.0672,0.0732,0.0834,0.0971,0.114,0.135,0.153,0.172,0.188,0.208,0.231,0.253,0.275,0.297,0.32,0.341,0.357,0.372,0.383,0.394,0.404,0.413,0.421,0.429,0.438,0.448,0.455,0.463,0.472,0.478,0.485,0.489,0.493,0.497,0.503,0.507
0.015625,2,0.0639,0.0522,0.0511,0.051,0.051,0.0512,0.0514,0.0505,0.0501,0.0505,0.0502,0.0502,0.0504,0.0504,0.0502,0.0498,0.0509,0.05,0.0501,0.0495,0.0503,0.05,0.05,0.0498,0.0503,0.0497,0.0496,0.0499,0.0502,0.0506,0.051,0.0517,0.0518,0.0526,0.0543,0.0568,0.0596,0.0645,0.0707,0.0802,0.0927,0.11,0.132,0.149,0.165,0.182,0.203,0.227,0.25,0.27,0.291,0.313,0.336,0.359,0.375,0.389,0.401,0.413,0.423,0.429,0.437,0.445,0.453,0.46,0.468,0.475,0.48,0.485,0.488,0.495,0.505,0.513,0.521
0.015625,3,0.101,0.052,0.051,0.0504,0.0507,0.0504,0.0508,0.0503,0.0497,0.0504,0.0502,0.05,0.0496,0.0499,0.0498,0.0497,0.0503,0.0501,0.0503,0.0492,0.0497,0.0502,0.0496,0.0495,0.0502,0.0493,0.0496,0.0497,0.0503,0.0505,0.0502,0.0508,0.0508,0.0519,0.0528,0.0547,0.0567,0.0603,0.0644,0.0717,0.0814,0.0958,0.116,0.136,0.155,0.173,0.192,0.215,0.237,0.262,0.289,0.314,0.337,0.359,0.377,0.391,0.405,0.416,0.425,0.433,0.442,0.45,0.458,0.466,0.473,0.479,0.485,0.492,0.502,0.518,0.537,0.56,0.585
0.015625,4,0.102,0.0504,0.0493,0.0523,0.0526,0.0527,0.0528,0.0524,0.0522,0.0522,0.0513,0.051,0.0513,0.0515,0.0508,0.0507,0.0516,0.051,0.0514,0.0509,0.051,0.0511,0.0513,0.0508,0.0513,0.0511,0.0511,0.0519,0.0518,0.0518,0.0519,0.0528,0.0532,0.0535,0.0549,0.0569,0.0588,0.0633,0.068,0.0756,0.0855,0.101,0.12,0.14,0.159,0.177,0.196,0.219,0.243,0.264,0.287,0.315,0.336,0.356,0.375,0.393,0.406,0.416,0.425,0.433,0.441,0.448,0.456,0.463,0.471,0.478,0.485,0.492,0.499,0.511,0.533,0.549,0.569
