conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
64,1,0.0523,0.0532,0.0533,0.0528,0.0533,0.0519,0.0521,0.0515,0.0518,0.0514,0.0515,0.0524,0.0514,0.0517,0.0514,0.0513,0.0516,0.0516,0.0516,0.0515,0.0506,0.0515,0.0519,0.0512,0.0515,0.0516,0.0511,0.0512,0.0509,0.0515,0.0514,0.0509,0.0512,0.0513,0.0512,0.0525,0.052,0.053,0.0537,0.0543,0.0563,0.0589,0.0621,0.0667,0.0742,0.0847,0.0994,0.118,0.139,0.152,0.17,0.186,0.21,0.237,0.263,0.288,0.31,0.331,0.351,0.369,0.386,0.4,0.415,0.43,0.442,0.452,0.462,0.471,0.479,0.487,0.494,0.502,0.515
64,2,0.0516,0.0522,0.0522,0.052,0.0524,0.0509,0.0518,0.0511,0.0512,0.0512,0.0517,0.0511,0.0508,0.0513,0.0511,0.0507,0.0509,0.0507,0.0498,0.0508,0.051,0.0511,0.0512,0.051,0.0508,0.051,0.0507,0.0503,0.0505,0.0507,0.0506,0.0508,0.0506,0.0513,0.0512,0.0513,0.0513,0.0528,0.0535,0.0542,0.0564,0.06,0.0636,0.0697,0.0774,0.0911,0.107,0.128,0.142,0.154,0.167,0.186,0.21,0.233,0.252,0.268,0.286,0.304,0.322,0.343,0.359,0.373,0.384,0.396,0.405,0.415,0.422,0.433,0.446,0.466,0.491,0.533,0.573
64,3,0.0517,0.0521,0.0515,0.051,0.0517,0.0502,0.0515,0.0506,0.0506,0.0503,0.0503,0.0504,0.05,0.0505,0.0503,0.0501,0.0503,0.05,0.0494,0.0504,0.0495,0.0496,0.0507,0.0498,0.05,0.0502,0.0496,0.0495,0.05,0.0502,0.0497,0.0502,0.0497,0.0503,0.0505,0.0509,0.0513,0.0519,0.0529,0.0543,0.0565,0.0599,0.064,0.0698,0.0799,0.0927,0.11,0.131,0.144,0.157,0.173,0.195,0.22,0.244,0.264,0.284,0.305,0.324,0.342,0.365,0.377,0.391,0.407,0.419,0.429,0.439,0.448,0.458,0.465,0.472,0.479,0.492,0.514
64,4,0.0521,0.0525,0.0518,0.0515,0.0516,0.0505,0.051,0.0504,0.0513,0.0509,0.0513,0.0506,0.0509,0.051,0.0504,0.0509,0.0504,0.0506,0.0501,0.0505,0.0504,0.0507,0.051,0.0506,0.0506,0.0508,0.0504,0.0503,0.0503,0.051,0.0504,0.0503,0.0506,0.0505,0.0508,0.051,0.0508,0.0521,0.0524,0.0537,0.0549,0.0576,0.0603,0.0645,0.0715,0.0808,0.0935,0.111,0.13,0.142,0.155,0.168,0.186,0.209,0.23,0.25,0.269,0.288,0.305,0.323,0.344,0.358,0.373,0.386,0.395,0.405,0.413,0.42,0.428,0.433,0.438,0.441,0.446
64,5,0.052,0.0522,0.052,0.0517,0.0516,0.0508,0.0515,0.0507,0.0515,0.0508,0.0515,0.0506,0.0507,0.0508,0.0508,0.0504,0.0507,0.0509,0.0503,0.0505,0.0507,0.0509,0.0508,0.0504,0.0506,0.0508,0.0505,0.0505,0.0508,0.0512,0.0506,0.0508,0.0508,0.0507,0.0508,0.0512,0.0509,0.0523,0.0529,0.0531,0.0539,0.0563,0.0578,0.0615,0.0664,0.0733,0.0839,0.0989,0.12,0.136,0.149,0.163,0.179,0.198,0.218,0.235,0.249,0.261,0.274,0.289,0.303,0.32,0.333,0.345,0.356,0.368,0.383,0.407,0.445,0.494,0.551,0.601,0.641
64,6,0.0528,0.0535,0.0528,0.0527,0.053,0.051,0.0521,0.0513,0.0516,0.0516,0.0513,0.0512,0.0511,0.0515,0.0515,0.0511,0.0511,0.051,0.0503,0.0509,0.0508,0.0507,0.0508,0.0506,0.0511,0.0511,0.0505,0.0505,0.0507,0.0505,0.0507,0.0508,0.0507,0.0508,0.0516,0.0522,0.0519,0.0528,0.0535,0.0548,0.0562,0.0595,0.0633,0.0687,0.0769,0.0883,0.105,0.125,0.141,0.154,0.168,0.185,0.207,0.227,0.245,0.261,0.285,0.302,0.322,0.339,0.353,0.365,0.38,0.399,0.422,0.451,0.491,0.534,0.569,0.608,0.643,0.674,0.705
0.25,1,0.0516,0.0523,0.0521,0.0518,0.0523,0.0509,0.0518,0.0509,0.0518,0.051,0.0515,0.0512,0.051,0.0513,0.0508,0.051,0.0517,0.0519,0.0516,0.0518,0.0506,0.051,0.0512,0.0508,0.0512,0.0515,0.0515,0.0513,0.0525,0.0529,0.0535,0.0546,0.056,0.0582,0.0612,0.066,0.072,0.0822,0.095,0.113,0.132,0.149,0.166,0.181,0.201,0.224,0.244,0.262,0.285,0.307,0.324,0.341,0.36,0.372,0.384,0.396,0.406,0.415,0.423,0.431,0.441,0.455,0.476,0.509,0.543,0.578,0.611,0.644,0.666,0.69,0.713,0.733,0.753
0.25,2,0.0511,0.0516,0.0514,0.0513,0.0517,0.051,0.0513,0.0505,0.0505,0.0507,0.051,0.0508,0.0499,0.0506,0.0503,0.0502,0.0505,0.0505,0.0503,0.0507,0.0497,0.0505,0.0511,0.0505,0.0505,0.0511,0.0507,0.051,0.0516,0.0523,0.0527,0.053,0.0545,0.0572,0.0596,0.064,0.0701,0.0792,0.0918,0.109,0.131,0.147,0.164,0.179,0.197,0.219,0.238,0.258,0.283,0.304,0.322,0.337,0.354,0.368,0.38,0.391,0.4,0.407,0.416,0.425,0.438,0.458,0.488,0.527,0.567,0.601,0.63,0.661,0.681,0.707,0.733,0.755,0.774
0.25,3,0.0511,0.0513,0.0507,0.0495,0.0502,0.0495,0.0497,0.049,0.0505,0.0497,0.0499,0.0496,0.0495,0.0495,0.0491,0.0497,0.0491,0.0489,0.0497,0.0493,0.049,0.0493,0.0501,0.0496,0.0498,0.0503,0.0496,0.0496,0.0507,0.0509,0.0517,0.052,0.0534,0.0551,0.058,0.0616,0.0667,0.0747,0.0852,0.0995,0.12,0.137,0.153,0.169,0.185,0.204,0.222,0.241,0.261,0.28,0.298,0.312,0.329,0.344,0.356,0.366,0.376,0.385,0.393,0.401,0.414,0.435,0.466,0.498,0.534,0.565,0.595,0.626,0.642,0.662,0.68,0.695,0.708
0.25,4,0.0506,0.0503,0.0503,0.0511,0.052,0.051,0.052,0.0517,0.0519,0.0517,0.0516,0.0512,0.0516,0.0515,0.0515,0.0516,0.0513,0.0509,0.0508,0.0514,0.0504,0.0513,0.0513,0.0512,0.0512,0.0524,0.0515,0.0517,0.0527,0.0533,0.0535,0.0544,0.0562,0.0582,0.061,0.0654,0.071,0.08,0.0909,0.107,0.128,0.144,0.161,0.176,0.196,0.217,0.238,0.258,0.281,0.304,0.323,0.338,0.355,0.37,0.385,0.393,0.403,0.412,0.419,0.427,0.437,0.459,0.493,0.537,0.571,0.597,0.626,0.65,0.667,0.689,0.708,0.725,0.741
