conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
15,1,0.0817,0.0595,0.059,0.0589,0.0586,0.0583,0.0584,0.0588,0.058,0.0586,0.0586,0.0586,0.0583,0.0587,0.0578,0.0576,0.0582,0.0578,0.0579,0.0584,0.0582,0.0578,0.0579,0.0576,0.0583,0.0575,0.0576,0.0576,0.0575,0.0573,0.0575,0.0571,0.057,0.0582,0.0578,0.0581,0.0579,0.0587,0.0588,0.0592,0.0594,0.0601,0.0622,0.064,0.0659,0.069,0.0747,0.081,0.0913,0.104,0.122,0.14,0.155,0.168,0.182,0.2,0.222,0.243,0.263,0.286,0.306,0.327,0.345,0.361,0.374,0.388,0.4,0.412,0.421,0.432,0.441,0.451,0.46
15,2,0.0822,0.0581,0.0572,0.057,0.0567,0.0569,0.0568,0.0565,0.057,0.057,0.0568,0.0577,0.0565,0.0572,0.0563,0.056,0.0564,0.0563,0.0565,0.0565,0.0565,0.0565,0.0565,0.0566,0.0559,0.0557,0.056,0.0561,0.0559,0.055,0.0555,0.0553,0.0555,0.0562,0.0565,0.0564,0.0563,0.0567,0.0571,0.057,0.0576,0.0578,0.0606,0.0614,0.064,0.0662,0.0717,0.078,0.0875,0.101,0.119,0.136,0.15,0.163,0.177,0.195,0.214,0.234,0.255,0.281,0.301,0.317,0.332,0.346,0.359,0.37,0.382,0.393,0.403,0.415,0.425,0.436,0.446
15,3,0.0549,0.0532,0.0518,0.0519,0.0516,0.0515,0.0512,0.0517,0.0523,0.0519,0.0526,0.0522,0.0518,0.0521,0.0512,0.0514,0.0516,0.0512,0.0516,0.0516,0.0508,0.0509,0.0513,0.0511,0.0511,0.0511,0.051,0.0513,0.0512,0.0515,0.0521,0.0516,0.0518,0.0518,0.0521,0.0518,0.0518,0.0523,0.0517,0.0525,0.0533,0.0534,0.0549,0.0555,0.0568,0.0593,0.0621,0.0666,0.0723,0.0794,0.0913,0.107,0.126,0.141,0.157,0.17,0.187,0.206,0.224,0.244,0.264,0.291,0.309,0.328,0.344,0.356,0.369,0.38,0.389,0.4,0.408,0.418,0.427
15,4,0.0524,0.0528,0.0525,0.0519,0.0518,0.0511,0.0519,0.0517,0.0517,0.0511,0.0518,0.0524,0.0515,0.0521,0.0514,0.0513,0.0513,0.0515,0.0514,0.0515,0.0508,0.051,0.0505,0.0507,0.0508,0.0509,0.0505,0.0508,0.0503,0.0503,0.0499,0.0505,0.0502,0.0504,0.0504,0.0505,0.0502,0.0505,0.0511,0.051,0.0519,0.0525,0.054,0.055,0.0566,0.0593,0.0638,0.0688,0.0768,0.0879,0.104,0.123,0.14,0.155,0.169,0.184,0.203,0.224,0.243,0.261,0.281,0.303,0.32,0.336,0.35,0.364,0.375,0.388,0.398,0.408,0.418,0.429,0.443
15,5,0.0554,0.0536,0.0527,0.0527,0.0513,0.0525,0.0519,0.0518,0.0518,0.0516,0.0523,0.0521,0.0515,0.0519,0.0515,0.0515,0.0514,0.0509,0.0511,0.0515,0.051,0.0507,0.051,0.0507,0.0508,0.0501,0.0507,0.0509,0.0507,0.0504,0.0499,0.0501,0.0503,0.0507,0.0509,0.0508,0.0509,0.051,0.0515,0.0524,0.0528,0.0532,0.0558,0.0576,0.06,0.0646,0.0706,0.0792,0.0917,0.107,0.127,0.141,0.157,0.171,0.19,0.211,0.232,0.252,0.27,0.291,0.31,0.328,0.345,0.36,0.374,0.389,0.4,0.411,0.421,0.431,0.44,0.45,0.459
15,6,0.0694,0.0535,0.0539,0.0525,0.0516,0.0519,0.0518,0.0515,0.0514,0.0512,0.0519,0.0517,0.051,0.0516,0.051,0.0507,0.0507,0.0507,0.0513,0.0511,0.0508,0.0507,0.0503,0.0504,0.05,0.0503,0.0503,0.0505,0.0506,0.0501,0.0497,0.0495,0.0494,0.0506,0.0507,0.0505,0.0508,0.051,0.0506,0.0513,0.052,0.0527,0.0542,0.0557,0.0568,0.0604,0.0648,0.0719,0.0811,0.0941,0.114,0.132,0.149,0.168,0.182,0.203,0.226,0.246,0.268,0.292,0.328,0.344,0.37,0.39,0.406,0.425,0.441,0.458,0.473,0.487,0.499,0.513,0.525
0.05859375,1,0.0536,0.0541,0.0525,0.0521,0.052,0.0521,0.0519,0.0518,0.0524,0.0517,0.0525,0.0526,0.052,0.0528,0.0518,0.0516,0.0515,0.0518,0.0519,0.0519,0.0516,0.0513,0.0512,0.0513,0.0515,0.0508,0.0515,0.0514,0.0516,0.0511,0.0524,0.0524,0.0537,0.0551,0.0569,0.0599,0.063,0.0697,0.0769,0.0879,0.105,0.123,0.14,0.16,0.175,0.193,0.215,0.235,0.256,0.277,0.299,0.318,0.337,0.352,0.365,0.377,0.388,0.397,0.405,0.413,0.419,0.427,0.434,0.441,0.447,0.455,0.464,0.474,0.484,0.498,0.518,0.537,0.557
0.05859375,2,0.0556,0.0604,0.0594,0.058,0.0512,0.0515,0.0511,0.051,0.0513,0.0507,0.0516,0.0512,0.0506,0.0514,0.0507,0.0508,0.0508,0.0511,0.0509,0.0511,0.0504,0.0502,0.0502,0.0503,0.0506,0.0502,0.0506,0.0507,0.0504,0.0501,0.0518,0.0513,0.0527,0.0541,0.0561,0.0585,0.0619,0.0676,0.0749,0.0858,0.101,0.121,0.138,0.156,0.17,0.188,0.208,0.228,0.251,0.274,0.299,0.323,0.344,0.362,0.376,0.391,0.403,0.413,0.423,0.433,0.442,0.45,0.459,0.466,0.473,0.48,0.485,0.495,0.508,0.521,0.532,0.55,0.567
0.05859375,3,0.0563,0.055,0.0542,0.054,0.0536,0.0534,0.054,0.0533,0.0539,0.0536,0.0541,0.0543,0.0532,0.0544,0.0532,0.0534,0.0538,0.0534,0.0536,0.054,0.0538,0.0535,0.0537,0.0535,0.0544,0.0538,0.0541,0.0544,0.0537,0.0542,0.0546,0.0557,0.0564,0.0587,0.0607,0.0632,0.0679,0.0746,0.0827,0.095,0.111,0.131,0.147,0.166,0.181,0.198,0.217,0.236,0.257,0.278,0.299,0.319,0.336,0.349,0.361,0.375,0.387,0.397,0.404,0.413,0.419,0.426,0.434,0.44,0.445,0.453,0.461,0.471,0.486,0.5,0.518,0.537,0.557
0.05859375,4,0.0552,0.0534,0.0525,0.0534,0.0511,0.0517,0.0508,0.0514,0.0514,0.051,0.0514,0.0515,0.0503,0.0512,0.0509,0.0508,0.0506,0.0504,0.0499,0.0508,0.0498,0.0501,0.0498,0.0495,0.0503,0.0494,0.0496,0.0499,0.0507,0.0505,0.0508,0.0513,0.052,0.0543,0.056,0.0585,0.062,0.0681,0.0763,0.0869,0.103,0.122,0.138,0.156,0.173,0.189,0.209,0.228,0.25,0.272,0.293,0.318,0.336,0.352,0.366,0.381,0.395,0.404,0.412,0.422,0.429,0.437,0.444,0.452,0.458,0.467,0.474,0.489,0.509,0.53,0.551,0.572,0.594
