conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
64,1,0.0818,0.0529,0.0525,0.0524,0.0528,0.0528,0.0519,0.052,0.0524,0.052,0.0523,0.052,0.0522,0.0516,0.0518,0.0517,0.0519,0.0515,0.0517,0.0515,0.0515,0.0516,0.0521,0.0519,0.0519,0.0515,0.0515,0.0512,0.0515,0.0517,0.0512,0.0514,0.0513,0.0515,0.0516,0.0514,0.0514,0.0514,0.0509,0.0518,0.0526,0.0526,0.0535,0.0547,0.0562,0.058,0.0611,0.0656,0.0724,0.0821,0.0954,0.114,0.132,0.147,0.162,0.179,0.2,0.223,0.246,0.266,0.285,0.301,0.313,0.323,0.335,0.352,0.371,0.388,0.405,0.42,0.431,0.437,0.45
64,2,0.13,0.0529,0.0524,0.0525,0.0526,0.0523,0.0519,0.0518,0.0525,0.0522,0.0524,0.0521,0.0514,0.0517,0.0517,0.0512,0.0516,0.0518,0.0518,0.052,0.0514,0.0512,0.0517,0.0519,0.0519,0.0514,0.0505,0.0515,0.051,0.0516,0.0516,0.0513,0.0518,0.0515,0.0519,0.0515,0.0519,0.0514,0.0512,0.0519,0.0528,0.0524,0.0529,0.0538,0.0554,0.0572,0.0593,0.0637,0.0691,0.077,0.0875,0.103,0.123,0.142,0.156,0.173,0.191,0.217,0.242,0.265,0.289,0.311,0.33,0.347,0.362,0.375,0.388,0.406,0.423,0.437,0.451,0.462,0.471
64,3,0.131,0.0532,0.0527,0.0518,0.0522,0.0521,0.0516,0.0515,0.0519,0.0523,0.0519,0.0518,0.0517,0.0513,0.0514,0.0509,0.0513,0.0512,0.0515,0.051,0.0513,0.0515,0.0516,0.0512,0.0514,0.0512,0.0508,0.0513,0.051,0.0512,0.051,0.0502,0.0517,0.051,0.0513,0.0512,0.051,0.0517,0.0502,0.0511,0.0515,0.0513,0.0515,0.0521,0.0526,0.0538,0.0544,0.0561,0.0572,0.0611,0.0648,0.0705,0.0774,0.0884,0.103,0.124,0.141,0.157,0.175,0.189,0.207,0.228,0.247,0.269,0.288,0.309,0.328,0.342,0.354,0.367,0.377,0.388,0.404
64,4,0.0782,0.0521,0.0522,0.0517,0.052,0.0521,0.0514,0.0512,0.0516,0.0514,0.0515,0.0514,0.0509,0.0516,0.0515,0.0507,0.0507,0.0507,0.0514,0.0506,0.0505,0.0513,0.0511,0.0508,0.0512,0.0513,0.0507,0.0511,0.0505,0.0511,0.0505,0.0509,0.0508,0.0515,0.0511,0.0512,0.0514,0.0514,0.0511,0.052,0.0536,0.0536,0.0551,0.0571,0.0603,0.0646,0.0701,0.0789,0.0901,0.109,0.126,0.14,0.154,0.168,0.186,0.209,0.23,0.253,0.271,0.288,0.305,0.322,0.335,0.348,0.362,0.372,0.381,0.388,0.396,0.404,0.411,0.421,0.436
64,5,0.0743,0.0542,0.0533,0.0531,0.0535,0.0535,0.053,0.0531,0.0531,0.0534,0.0531,0.0533,0.0534,0.0529,0.0528,0.0524,0.0529,0.053,0.053,0.0534,0.053,0.0531,0.0531,0.053,0.0524,0.0533,0.0523,0.0533,0.0526,0.0531,0.0527,0.0526,0.0533,0.0523,0.0529,0.0529,0.0534,0.0528,0.0528,0.0535,0.0538,0.0535,0.0538,0.0548,0.0552,0.0573,0.0591,0.0625,0.0668,0.0732,0.0812,0.0935,0.11,0.13,0.144,0.158,0.172,0.19,0.21,0.232,0.251,0.268,0.284,0.294,0.304,0.316,0.33,0.344,0.357,0.369,0.379,0.389,0.399
64,6,0.0548,0.0526,0.0523,0.053,0.0524,0.0525,0.0519,0.0516,0.0523,0.0526,0.0522,0.0521,0.0518,0.0518,0.052,0.0515,0.0512,0.0521,0.0515,0.0514,0.0514,0.0514,0.052,0.0516,0.0512,0.0514,0.0504,0.0513,0.0514,0.0511,0.0519,0.0515,0.0514,0.051,0.0512,0.0517,0.0513,0.0519,0.0511,0.0514,0.0524,0.052,0.053,0.0537,0.0541,0.0562,0.0568,0.0598,0.0632,0.0692,0.075,0.0846,0.0963,0.113,0.131,0.139,0.15,0.164,0.178,0.197,0.217,0.236,0.254,0.271,0.289,0.307,0.325,0.346,0.365,0.378,0.39,0.403,0.415
0.25,1,0.0535,0.0531,0.0528,0.053,0.0526,0.0524,0.0525,0.0525,0.0526,0.0529,0.0528,0.0526,0.0529,0.0521,0.0525,0.052,0.0527,0.0524,0.0524,0.0519,0.0522,0.0527,0.0526,0.0523,0.0526,0.0525,0.0517,0.0526,0.0527,0.0533,0.0525,0.0535,0.0545,0.0553,0.056,0.0583,0.0608,0.0642,0.0684,0.0766,0.087,0.101,0.122,0.138,0.154,0.171,0.187,0.206,0.225,0.246,0.268,0.294,0.31,0.33,0.349,0.364,0.375,0.386,0.395,0.402,0.409,0.416,0.423,0.433,0.444,0.462,0.483,0.508,0.54,0.575,0.61,0.642,0.669
0.25,2,0.0556,0.0527,0.0523,0.0521,0.052,0.0519,0.0519,0.0519,0.0517,0.0519,0.0521,0.0516,0.052,0.0517,0.0517,0.0515,0.0517,0.0514,0.0515,0.0513,0.0512,0.0514,0.0514,0.0519,0.052,0.0515,0.0512,0.0516,0.0519,0.0522,0.0522,0.0525,0.0528,0.0539,0.0546,0.0556,0.0577,0.0609,0.0648,0.0711,0.0798,0.0909,0.108,0.129,0.144,0.162,0.178,0.197,0.219,0.24,0.26,0.281,0.303,0.322,0.341,0.359,0.371,0.383,0.393,0.401,0.41,0.418,0.424,0.431,0.438,0.447,0.455,0.465,0.483,0.508,0.537,0.563,0.589
0.25,3,0.0765,0.0527,0.0522,0.0523,0.0519,0.0516,0.0515,0.0515,0.0513,0.0511,0.0518,0.0516,0.051,0.0507,0.0508,0.0512,0.0508,0.051,0.0513,0.0508,0.0512,0.0514,0.0509,0.0508,0.0507,0.0511,0.0507,0.051,0.0506,0.0506,0.0509,0.0512,0.052,0.052,0.0527,0.0542,0.0556,0.0585,0.061,0.0668,0.0742,0.0838,0.0991,0.119,0.14,0.157,0.173,0.194,0.218,0.243,0.267,0.292,0.315,0.343,0.372,0.39,0.408,0.423,0.437,0.449,0.461,0.472,0.482,0.486,0.491,0.494,0.502,0.508,0.515,0.519,0.525,0.531,0.538
0.25,4,0.0861,0.0512,0.0513,0.051,0.0512,0.0509,0.0507,0.0503,0.051,0.0507,0.0507,0.0505,0.0504,0.0502,0.0506,0.0498,0.0499,0.0506,0.0504,0.0503,0.0503,0.0505,0.0503,0.05,0.0502,0.0503,0.0501,0.0506,0.0502,0.0509,0.0511,0.0511,0.0515,0.0523,0.0532,0.0554,0.057,0.0603,0.0647,0.0712,0.081,0.0941,0.113,0.133,0.149,0.164,0.179,0.198,0.219,0.239,0.26,0.284,0.305,0.323,0.343,0.359,0.373,0.387,0.399,0.41,0.42,0.431,0.44,0.448,0.456,0.461,0.465,0.471,0.483,0.503,0.533,0.567,0.602
