conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
8,1,0.0908,0.0601,0.0598,0.0595,0.0592,0.0679,0.0625,0.0627,0.0626,0.0626,0.0625,0.0615,0.062,0.0626,0.0621,0.0621,0.0621,0.0619,0.0621,0.0612,0.0609,0.0616,0.0611,0.061,0.0608,0.0611,0.0608,0.0602,0.0611,0.0606,0.0605,0.0605,0.06,0.0611,0.0604,0.0603,0.06,0.0601,0.0609,0.0608,0.0606,0.0609,0.0618,0.0615,0.063,0.0639,0.0646,0.0674,0.0692,0.0724,0.0778,0.083,0.0899,0.0974,0.107,0.115,0.122,0.129,0.136,0.143,0.15,0.157,0.167,0.177,0.187,0.201,0.215,0.231,0.272,0.289,0.303,0.32,0.333
8,2,0.0856,0.0588,0.0573,0.0571,0.0574,0.0578,0.0576,0.0571,0.0566,0.0566,0.0561,0.0561,0.056,0.0558,0.0558,0.0552,0.0557,0.0557,0.0553,0.0551,0.055,0.055,0.0551,0.0556,0.0546,0.0547,0.0552,0.0546,0.0548,0.0545,0.0543,0.0544,0.0543,0.0549,0.0541,0.0544,0.0534,0.0538,0.0545,0.0542,0.054,0.0541,0.0543,0.0551,0.0548,0.0559,0.0563,0.058,0.0583,0.0604,0.0638,0.0683,0.0753,0.0843,0.094,0.102,0.11,0.119,0.128,0.138,0.148,0.161,0.177,0.192,0.212,0.229,0.251,0.273,0.295,0.317,0.339,0.357,0.377
8,3,0.0807,0.0568,0.0555,0.0549,0.0548,0.055,0.0551,0.0548,0.0546,0.0542,0.054,0.0541,0.0539,0.0542,0.0537,0.054,0.0544,0.0537,0.0539,0.0531,0.0537,0.0538,0.0534,0.054,0.0536,0.0535,0.0537,0.0532,0.0531,0.0533,0.0527,0.0521,0.0525,0.0528,0.0526,0.0529,0.0524,0.052,0.0529,0.053,0.0528,0.0526,0.0528,0.0528,0.053,0.0529,0.0532,0.0541,0.0538,0.0549,0.0555,0.0568,0.0594,0.0619,0.0661,0.0714,0.0772,0.084,0.0926,0.101,0.108,0.115,0.122,0.127,0.133,0.136,0.141,0.151,0.16,0.171,0.182,0.192,0.203
8,4,0.0891,0.056,0.0549,0.0555,0.0548,0.0548,0.0544,0.0553,0.0541,0.0548,0.0532,0.0537,0.0539,0.0539,0.054,0.0534,0.0538,0.0533,0.0536,0.0531,0.0531,0.0537,0.0532,0.0535,0.053,0.0529,0.0531,0.0529,0.0528,0.0529,0.0525,0.0527,0.052,0.0527,0.0527,0.0532,0.0522,0.0517,0.0524,0.0528,0.0526,0.0523,0.0526,0.0522,0.0528,0.0537,0.0543,0.0556,0.0568,0.0581,0.0607,0.0638,0.07,0.0766,0.087,0.0985,0.112,0.126,0.137,0.15,0.165,0.179,0.197,0.213,0.231,0.261,0.287,0.312,0.34,0.363,0.38,0.398,0.417
8,5,0.101,0.0591,0.0575,0.058,0.0585,0.058,0.0584,0.0584,0.0583,0.0583,0.058,0.0578,0.058,0.0578,0.0581,0.0577,0.0584,0.0573,0.0575,0.0571,0.0571,0.0577,0.0575,0.0576,0.0572,0.0572,0.0569,0.0572,0.0575,0.0575,0.0565,0.0573,0.0564,0.0571,0.0567,0.0568,0.0564,0.0566,0.0548,0.0542,0.0543,0.0545,0.055,0.0551,0.0552,0.0558,0.0563,0.0576,0.0582,0.06,0.0629,0.0648,0.0684,0.0724,0.0769,0.0826,0.0895,0.098,0.107,0.114,0.122,0.128,0.134,0.141,0.148,0.156,0.169,0.177,0.186,0.199,0.212,0.225,0.243
8,6,0.0978,0.0616,0.0603,0.0599,0.0598,0.0598,0.0601,0.0591,0.0594,0.059,0.0585,0.0587,0.0584,0.0589,0.0585,0.0581,0.0586,0.0577,0.0582,0.0576,0.0581,0.0583,0.0581,0.0585,0.0578,0.0573,0.0576,0.0578,0.0579,0.0575,0.0571,0.0575,0.0572,0.0576,0.0576,0.0575,0.0573,0.0563,0.0576,0.0573,0.0571,0.0574,0.0574,0.0576,0.0577,0.0582,0.0585,0.0596,0.0601,0.0613,0.0634,0.0658,0.0698,0.0742,0.0814,0.0903,0.101,0.111,0.118,0.127,0.136,0.144,0.154,0.165,0.178,0.191,0.205,0.221,0.236,0.25,0.262,0.274,0.285
0.03125,1,0.0966,0.0576,0.0566,0.0567,0.0573,0.0567,0.0569,0.0564,0.0564,0.0565,0.0557,0.0559,0.0559,0.056,0.0562,0.0559,0.0561,0.0554,0.0557,0.0553,0.0554,0.0554,0.0555,0.0555,0.0552,0.0549,0.0553,0.0553,0.0556,0.0552,0.0549,0.0551,0.0556,0.056,0.0562,0.0565,0.0564,0.0572,0.0588,0.0602,0.0628,0.065,0.0695,0.0751,0.0831,0.0935,0.108,0.124,0.138,0.155,0.173,0.192,0.205,0.221,0.241,0.257,0.275,0.295,0.316,0.335,0.352,0.369,0.385,0.399,0.414,0.429,0.443,0.455,0.469,0.481,0.496,0.515,0.533
0.03125,2,0.0804,0.0567,0.056,0.0557,0.0558,0.0557,0.0557,0.0559,0.0556,0.0556,0.0551,0.055,0.0556,0.0553,0.0555,0.0552,0.0549,0.0543,0.0549,0.0548,0.0548,0.0549,0.0548,0.0543,0.0546,0.054,0.0544,0.0541,0.0547,0.0543,0.0541,0.0542,0.0544,0.0548,0.0554,0.0559,0.0558,0.0566,0.0585,0.0596,0.0612,0.0641,0.0684,0.074,0.0814,0.092,0.107,0.123,0.136,0.15,0.166,0.184,0.198,0.212,0.229,0.248,0.271,0.299,0.318,0.339,0.361,0.376,0.392,0.403,0.417,0.431,0.443,0.456,0.469,0.483,0.497,0.515,0.534
0.03125,3,0.0713,0.0561,0.0555,0.0563,0.0562,0.0565,0.0562,0.0561,0.0561,0.0561,0.0556,0.0555,0.055,0.0554,0.0558,0.0556,0.0555,0.0548,0.0546,0.0543,0.0549,0.0547,0.0549,0.0549,0.054,0.0542,0.0544,0.0542,0.055,0.0548,0.054,0.0545,0.0546,0.0551,0.0553,0.0556,0.0557,0.0561,0.0583,0.06,0.0619,0.0643,0.069,0.0748,0.0829,0.0934,0.108,0.125,0.139,0.155,0.173,0.191,0.206,0.223,0.241,0.256,0.27,0.293,0.313,0.332,0.348,0.364,0.382,0.391,0.405,0.417,0.429,0.441,0.458,0.475,0.493,0.513,0.54
0.03125,4,0.0823,0.056,0.0555,0.0554,0.055,0.0547,0.0554,0.0554,0.0544,0.0542,0.0546,0.054,0.0546,0.0547,0.0545,0.0538,0.054,0.0535,0.0537,0.0529,0.0531,0.0533,0.0527,0.0535,0.0528,0.053,0.0532,0.0529,0.0533,0.0534,0.0526,0.053,0.0532,0.0534,0.0542,0.0545,0.0543,0.055,0.0569,0.0586,0.0612,0.0643,0.0687,0.0746,0.0843,0.0955,0.111,0.126,0.14,0.156,0.173,0.19,0.203,0.22,0.243,0.259,0.279,0.298,0.317,0.337,0.354,0.369,0.386,0.401,0.416,0.43,0.443,0.456,0.47,0.483,0.495,0.507,0.52
0.03125,5,0.0817,0.0554,0.0545,0.0552,0.0559,0.0564,0.0563,0.0569,0.0558,0.0558,0.0553,0.0552,0.0553,0.0557,0.0553,0.0556,0.0554,0.0559,0.056,0.0554,0.0552,0.0559,0.0555,0.0552,0.0551,0.0551,0.0554,0.0552,0.0552,0.0556,0.055,0.0555,0.0557,0.0561,0.0565,0.0568,0.0562,0.0569,0.0583,0.0597,0.0608,0.0629,0.0664,0.0706,0.0769,0.0855,0.0965,0.113,0.127,0.143,0.16,0.18,0.193,0.209,0.228,0.244,0.26,0.277,0.297,0.317,0.334,0.351,0.37,0.385,0.399,0.41,0.422,0.433,0.444,0.456,0.465,0.475,0.486
0.03125,6,0.085,0.0608,0.0586,0.0581,0.0575,0.0573,0.0575,0.0576,0.0571,0.0569,0.057,0.0562,0.0561,0.0568,0.0562,0.056,0.0562,0.0557,0.056,0.0559,0.0551,0.0557,0.056,0.0555,0.0551,0.0553,0.0554,0.0553,0.0557,0.0551,0.0554,0.0558,0.0556,0.0561,0.0568,0.0567,0.0571,0.0581,0.0596,0.0609,0.0634,0.0665,0.0714,0.078,0.0868,0.0979,0.113,0.127,0.141,0.155,0.173,0.19,0.203,0.218,0.235,0.253,0.271,0.291,0.309,0.328,0.347,0.363,0.381,0.394,0.409,0.422,0.435,0.448,0.462,0.476,0.488,0.501,0.513
4,1,0.0844,0.0602,0.0586,0.0588,0.059,0.0592,0.059,0.0589,0.0585,0.0583,0.0582,0.0581,0.0579,0.0584,0.0581,0.0581,0.0583,0.0573,0.058,0.0575,0.0573,0.0576,0.0581,0.0584,0.0575,0.0572,0.0584,0.058,0.0577,0.0574,0.0576,0.058,0.0573,0.0578,0.0582,0.058,0.0576,0.0575,0.0581,0.0578,0.0579,0.0587,0.059,0.0592,0.0598,0.0612,0.0621,0.0647,0.0669,0.0701,0.075,0.0805,0.0889,0.0988,0.11,0.119,0.129,0.139,0.148,0.159,0.171,0.184,0.202,0.214,0.228,0.242,0.255,0.266,0.279,0.291,0.304,0.318,0.33
4,2,0.0741,0.0581,0.0572,0.0571,0.0569,0.0569,0.0568,0.057,0.0566,0.0565,0.0563,0.0561,0.0563,0.0562,0.0558,0.056,0.0564,0.0556,0.0557,0.0553,0.0552,0.0551,0.055,0.0549,0.0547,0.0552,0.055,0.0549,0.0549,0.0543,0.0545,0.0546,0.0542,0.0553,0.0551,0.0551,0.0543,0.0542,0.055,0.0555,0.055,0.0559,0.0566,0.0572,0.0586,0.0604,0.0622,0.0657,0.0696,0.0751,0.0823,0.0926,0.106,0.118,0.129,0.139,0.151,0.163,0.175,0.187,0.2,0.213,0.229,0.241,0.253,0.264,0.277,0.289,0.301,0.318,0.349,0.365,0.374
4,3,0.0904,0.0574,0.0564,0.0564,0.0563,0.0563,0.0563,0.0564,0.0563,0.0558,0.0559,0.0557,0.0554,0.0559,0.0562,0.0554,0.0557,0.0549,0.0553,0.0545,0.0544,0.0544,0.0544,0.0549,0.0548,0.0536,0.054,0.0543,0.0545,0.0542,0.0543,0.0541,0.0542,0.0544,0.054,0.0546,0.0539,0.054,0.0545,0.0546,0.055,0.0556,0.0562,0.0563,0.0575,0.0591,0.061,0.0634,0.0665,0.0702,0.0756,0.083,0.0926,0.105,0.116,0.125,0.134,0.143,0.154,0.167,0.177,0.191,0.205,0.22,0.236,0.25,0.263,0.278,0.291,0.307,0.329,0.348,0.36
4,4,0.0916,0.0566,0.0551,0.0553,0.0558,0.0557,0.055,0.0555,0.0553,0.0546,0.0546,0.0543,0.0542,0.0547,0.0545,0.0546,0.0546,0.0543,0.0541,0.0537,0.0536,0.0536,0.0538,0.0539,0.0532,0.0532,0.0536,0.0533,0.0532,0.0533,0.0528,0.0531,0.0526,0.0529,0.0529,0.053,0.0525,0.0527,0.0535,0.0535,0.053,0.0533,0.0534,0.054,0.0548,0.0553,0.0564,0.059,0.0605,0.0639,0.0679,0.073,0.0807,0.0891,0.101,0.112,0.121,0.129,0.14,0.151,0.163,0.174,0.188,0.199,0.21,0.22,0.232,0.242,0.253,0.264,0.276,0.287,0.298
4,5,0.1,0.0553,0.0539,0.0536,0.054,0.0535,0.0538,0.0539,0.0541,0.054,0.0536,0.0535,0.0529,0.0539,0.0533,0.0535,0.0534,0.0529,0.0533,0.0531,0.0531,0.0532,0.0527,0.0529,0.0528,0.0524,0.0525,0.0524,0.0526,0.0524,0.0519,0.0523,0.052,0.0522,0.0526,0.0522,0.052,0.0519,0.0527,0.0529,0.0535,0.0535,0.0543,0.0547,0.0559,0.0565,0.0583,0.061,0.0631,0.0663,0.0711,0.0776,0.0862,0.0968,0.111,0.124,0.134,0.146,0.158,0.169,0.182,0.194,0.208,0.221,0.236,0.251,0.266,0.282,0.329,0.343,0.359,0.378,0.396
4,6,0.108,0.0608,0.0591,0.0588,0.0594,0.0596,0.0602,0.06,0.0601,0.0601,0.0592,0.0593,0.0591,0.0592,0.0598,0.0596,0.0596,0.0589,0.0594,0.0589,0.0589,0.0591,0.0592,0.059,0.0587,0.059,0.0589,0.0589,0.0591,0.0593,0.0587,0.0589,0.0586,0.059,0.0589,0.0593,0.0585,0.0585,0.0594,0.0594,0.0591,0.0599,0.0606,0.0613,0.0623,0.0638,0.0653,0.0685,0.0714,0.0763,0.083,0.0911,0.102,0.114,0.124,0.133,0.143,0.152,0.164,0.177,0.195,0.209,0.225,0.242,0.256,0.27,0.28,0.291,0.304,0.314,0.326,0.352,0.362
