conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,1,0.0568,0.0584,0.0582,0.0577,0.0572,0.0573,0.0578,0.0571,0.0579,0.0576,0.0567,0.0576,0.0569,0.0571,0.0571,0.0562,0.0575,0.057,0.057,0.0564,0.0573,0.0571,0.0572,0.0567,0.0571,0.0581,0.0578,0.0576,0.0581,0.0581,0.0594,0.0605,0.0615,0.0636,0.0669,0.0708,0.077,0.0842,0.0962,0.11,0.127,0.143,0.161,0.18,0.2,0.214,0.23,0.249,0.267,0.287,0.306,0.324,0.342,0.359,0.376,0.395,0.411,0.426,0.445,0.465,0.49,0.518,0.544,0.568,0.593,0.624,0.65,0.682,0.712,0.734,0.75,0.765,0.782
0,2,0.0575,0.0582,0.058,0.0574,0.0571,0.0568,0.0575,0.0575,0.0581,0.0567,0.0564,0.0571,0.0565,0.0573,0.0568,0.0567,0.057,0.0572,0.0565,0.0561,0.0573,0.056,0.0567,0.0566,0.057,0.0577,0.0574,0.0567,0.0577,0.0581,0.0588,0.0605,0.061,0.0627,0.0655,0.069,0.0745,0.0806,0.0909,0.104,0.122,0.142,0.159,0.177,0.199,0.216,0.233,0.254,0.274,0.295,0.315,0.337,0.361,0.381,0.398,0.411,0.424,0.44,0.465,0.494,0.527,0.564,0.602,0.636,0.661,0.683,0.7,0.715,0.731,0.748,0.767,0.784,0.8
0,3,0.0585,0.0584,0.0581,0.0571,0.0574,0.0581,0.0574,0.0577,0.0586,0.0575,0.0577,0.0578,0.0577,0.0583,0.0574,0.0578,0.058,0.0585,0.0573,0.057,0.0575,0.058,0.0577,0.0574,0.0581,0.0585,0.0586,0.0584,0.0587,0.0594,0.0608,0.0619,0.0624,0.0645,0.0677,0.0716,0.0765,0.0836,0.0938,0.108,0.124,0.14,0.157,0.175,0.191,0.207,0.225,0.244,0.262,0.282,0.303,0.321,0.34,0.361,0.385,0.413,0.44,0.473,0.507,0.54,0.574,0.602,0.621,0.637,0.653,0.668,0.683,0.699,0.715,0.733,0.75,0.763,0.778
0,4,0.0573,0.059,0.0578,0.0575,0.0575,0.0574,0.0584,0.0579,0.0583,0.0578,0.0577,0.0584,0.0578,0.0576,0.0578,0.0572,0.0572,0.0581,0.057,0.0566,0.0575,0.0577,0.0572,0.0578,0.0578,0.0583,0.0582,0.058,0.0583,0.0593,0.06,0.0618,0.0628,0.0653,0.0687,0.0722,0.0786,0.0864,0.0985,0.114,0.131,0.15,0.167,0.185,0.205,0.221,0.239,0.261,0.278,0.297,0.315,0.331,0.348,0.367,0.39,0.413,0.438,0.465,0.501,0.541,0.582,0.616,0.645,0.668,0.689,0.707,0.725,0.741,0.755,0.769,0.783,0.792,0.804
0,5,0.0579,0.0588,0.0584,0.0583,0.0579,0.0587,0.0587,0.0586,0.0583,0.0579,0.0581,0.0587,0.0581,0.0579,0.0579,0.0579,0.0583,0.0584,0.0577,0.0571,0.0574,0.0578,0.0575,0.0578,0.0589,0.0586,0.0585,0.0583,0.059,0.0597,0.0604,0.0616,0.0628,0.0647,0.0682,0.0724,0.0784,0.0855,0.0982,0.112,0.129,0.146,0.162,0.183,0.2,0.216,0.234,0.253,0.27,0.288,0.307,0.325,0.343,0.359,0.374,0.388,0.414,0.449,0.487,0.519,0.549,0.577,0.601,0.621,0.639,0.656,0.672,0.685,0.696,0.71,0.724,0.735,0.745
0,6,0.0593,0.0603,0.0591,0.0589,0.0589,0.0587,0.0589,0.0587,0.0597,0.0591,0.0585,0.0584,0.0588,0.0589,0.0581,0.0587,0.0592,0.059,0.0582,0.0578,0.0583,0.0585,0.0585,0.0584,0.0585,0.0595,0.059,0.0591,0.0592,0.0603,0.0607,0.0623,0.064,0.0656,0.0697,0.0743,0.0805,0.0889,0.101,0.118,0.135,0.151,0.169,0.189,0.205,0.222,0.241,0.26,0.278,0.296,0.315,0.333,0.353,0.371,0.387,0.405,0.426,0.454,0.486,0.52,0.55,0.577,0.603,0.628,0.649,0.67,0.689,0.708,0.727,0.742,0.757,0.77,0.784
0.000488281,1,0.0941,0.0569,0.0572,0.0569,0.0568,0.0563,0.0567,0.0566,0.0565,0.0563,0.0559,0.0562,0.0555,0.056,0.0557,0.0561,0.0563,0.056,0.0555,0.0548,0.0558,0.0552,0.0563,0.0553,0.056,0.0568,0.056,0.0556,0.0561,0.0568,0.0577,0.0591,0.06,0.0614,0.0641,0.0671,0.0722,0.0781,0.0879,0.1,0.116,0.138,0.153,0.167,0.187,0.201,0.216,0.236,0.253,0.276,0.296,0.315,0.334,0.35,0.364,0.377,0.392,0.404,0.414,0.424,0.434,0.442,0.452,0.46,0.471,0.479,0.487,0.496,0.501,0.509,0.521,0.532,0.544
0.000488281,2,0.0575,0.0591,0.0592,0.0591,0.0584,0.0583,0.0585,0.0584,0.0596,0.0584,0.0584,0.0587,0.0585,0.0585,0.0576,0.0579,0.0582,0.0587,0.0577,0.0573,0.0579,0.0582,0.0581,0.0577,0.058,0.0585,0.0581,0.0582,0.0592,0.0592,0.0597,0.0607,0.0619,0.063,0.0657,0.0679,0.073,0.0786,0.0878,0.0989,0.114,0.135,0.149,0.166,0.186,0.201,0.218,0.238,0.257,0.279,0.298,0.316,0.332,0.346,0.36,0.373,0.386,0.399,0.41,0.421,0.432,0.442,0.45,0.458,0.469,0.476,0.484,0.496,0.509,0.526,0.547,0.569,0.588
0.000488281,3,0.0516,0.0575,0.0579,0.0578,0.0577,0.0579,0.0577,0.0573,0.0582,0.0573,0.0572,0.0574,0.0566,0.0572,0.0567,0.0563,0.0572,0.0572,0.0565,0.0563,0.0563,0.0566,0.0561,0.0567,0.0571,0.0576,0.0575,0.0567,0.0574,0.0585,0.0592,0.0601,0.0619,0.0634,0.0661,0.0702,0.0769,0.0831,0.0936,0.108,0.126,0.143,0.156,0.175,0.194,0.222,0.236,0.255,0.273,0.291,0.308,0.322,0.337,0.347,0.359,0.369,0.382,0.394,0.407,0.415,0.424,0.433,0.447,0.464,0.482,0.504,0.531,0.562,0.592,0.623,0.648,0.674,0.69
0.000488281,4,0.0486,0.0592,0.0573,0.0572,0.0571,0.0575,0.0571,0.0566,0.0577,0.0569,0.0567,0.0568,0.0564,0.0567,0.0564,0.0563,0.0571,0.0574,0.0563,0.0556,0.0569,0.0565,0.0562,0.0566,0.0566,0.0573,0.0572,0.0567,0.0576,0.058,0.0585,0.06,0.061,0.0622,0.0659,0.0692,0.0748,0.081,0.0926,0.107,0.125,0.142,0.157,0.178,0.193,0.21,0.231,0.25,0.27,0.29,0.308,0.323,0.339,0.35,0.362,0.375,0.387,0.397,0.407,0.415,0.421,0.429,0.436,0.443,0.451,0.46,0.47,0.481,0.491,0.5,0.509,0.518,0.526
0.000488281,5,0.0518,0.0569,0.0575,0.0574,0.0579,0.0583,0.0575,0.0574,0.0581,0.0567,0.0572,0.0573,0.0575,0.0575,0.057,0.0566,0.0575,0.0575,0.0569,0.0563,0.0572,0.057,0.0568,0.057,0.057,0.0575,0.0574,0.0568,0.0577,0.0587,0.0586,0.0603,0.0615,0.0629,0.0661,0.0691,0.0747,0.0812,0.092,0.106,0.125,0.141,0.157,0.179,0.196,0.212,0.232,0.25,0.275,0.294,0.316,0.334,0.348,0.363,0.375,0.388,0.397,0.406,0.415,0.426,0.436,0.447,0.457,0.468,0.482,0.499,0.512,0.529,0.547,0.565,0.578,0.59,0.597
