conc,replicate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
256,1,0.179,0.0522,0.0533,0.0526,0.0531,0.053,0.0524,0.0514,0.0525,0.0523,0.0525,0.0519,0.0517,0.0527,0.0521,0.0521,0.0518,0.0524,0.052,0.0518,0.0518,0.0522,0.0518,0.0518,0.0521,0.0516,0.0517,0.0515,0.0514,0.0512,0.0513,0.0509,0.0512,0.0509,0.0512,0.0506,0.0505,0.0509,0.0503,0.0508,0.0505,0.0513,0.0508,0.0511,0.0506,0.0509,0.0504,0.0511,0.0511,0.0504,0.0509,0.0515,0.0518,0.0519,0.0532,0.0541,0.0556,0.0566,0.0602,0.0635,0.0692,0.0769,0.0874,0.103,0.121,0.137,0.156,0.175,0.195,0.209,0.222,0.236,0.251
256,2,0.135,0.0528,0.0527,0.0525,0.052,0.0519,0.0519,0.0521,0.0517,0.0523,0.0528,0.0518,0.0516,0.0516,0.0517,0.0515,0.052,0.0517,0.0516,0.052,0.0522,0.0515,0.0514,0.0509,0.0515,0.0516,0.0514,0.0514,0.0512,0.0513,0.0512,0.0505,0.0506,0.0507,0.0507,0.0509,0.0505,0.0511,0.0506,0.0505,0.0499,0.0504,0.0507,0.0509,0.0506,0.0503,0.0502,0.051,0.0504,0.0505,0.0505,0.0502,0.0501,0.0498,0.05,0.0503,0.0502,0.0501,0.0505,0.0506,0.0508,0.0499,0.0506,0.0511,0.0507,0.0512,0.0509,0.0519,0.0527,0.0525,0.0539,0.0551,0.0569
256,3,0.117,0.0518,0.0523,0.0522,0.0512,0.0508,0.0509,0.0507,0.0517,0.0509,0.0506,0.051,0.0502,0.0513,0.0499,0.0505,0.0503,0.0511,0.05,0.0505,0.0511,0.0504,0.0504,0.0498,0.0504,0.0502,0.0495,0.0505,0.0499,0.0494,0.0497,0.0495,0.0497,0.0494,0.0494,0.0492,0.0496,0.05,0.0492,0.0498,0.0492,0.0495,0.0496,0.0502,0.0496,0.0493,0.0493,0.0498,0.0497,0.0496,0.0491,0.0491,0.0491,0.0495,0.0497,0.0494,0.0497,0.0487,0.0504,0.0499,0.0502,0.0506,0.0509,0.0521,0.0521,0.0534,0.0545,0.0578,0.0605,0.0646,0.0711,0.0781,0.0902
256,4,0.082,0.0513,0.0517,0.0514,0.0513,0.0518,0.0514,0.0503,0.052,0.0511,0.051,0.051,0.0506,0.0513,0.051,0.0507,0.0512,0.0516,0.0509,0.0507,0.0507,0.0506,0.0507,0.051,0.0507,0.0504,0.0503,0.0507,0.0506,0.0508,0.051,0.0508,0.0506,0.05,0.0505,0.05,0.0502,0.0498,0.0499,0.0505,0.0494,0.0502,0.05,0.0503,0.0503,0.0499,0.0493,0.0499,0.0499,0.0496,0.0497,0.0494,0.0495,0.0497,0.0501,0.0494,0.05,0.0491,0.0498,0.0499,0.0501,0.0499,0.05,0.0507,0.0507,0.0509,0.0515,0.0525,0.0533,0.0544,0.0558,0.0573,0.0602
256,5,0.116,0.0521,0.053,0.0527,0.0529,0.053,0.0531,0.0524,0.053,0.0526,0.0527,0.0526,0.0527,0.0529,0.053,0.0526,0.0526,0.0526,0.0522,0.0521,0.0523,0.0523,0.0521,0.0517,0.0528,0.0521,0.0518,0.0522,0.0517,0.0521,0.0521,0.0517,0.0519,0.0514,0.0517,0.0519,0.0517,0.0521,0.0517,0.0518,0.0511,0.0514,0.0514,0.0515,0.0516,0.052,0.0516,0.0516,0.0512,0.0513,0.0514,0.0511,0.0509,0.0512,0.0512,0.0508,0.0519,0.0509,0.0517,0.0514,0.0518,0.0515,0.0517,0.0524,0.0516,0.0529,0.0535,0.0552,0.0567,0.0583,0.0604,0.0635,0.068
256,6,0.137,0.0528,0.0534,0.0533,0.0531,0.0529,0.0526,0.0522,0.0532,0.0524,0.0528,0.0524,0.052,0.0527,0.0523,0.052,0.0525,0.0527,0.0524,0.0519,0.0523,0.0519,0.052,0.0514,0.052,0.0522,0.0518,0.0513,0.0515,0.0515,0.0516,0.051,0.0514,0.0511,0.0515,0.0508,0.0508,0.051,0.0508,0.0518,0.0508,0.0515,0.0512,0.0514,0.0511,0.0509,0.0507,0.051,0.0512,0.0509,0.0507,0.0506,0.0506,0.0507,0.0513,0.0505,0.0511,0.0504,0.0514,0.0505,0.0504,0.0506,0.0504,0.0507,0.0505,0.0508,0.0506,0.0511,0.0516,0.052,0.0526,0.0523,0.0526
1,1,0.165,0.0519,0.0524,0.0518,0.0515,0.0509,0.0512,0.0505,0.0509,0.0513,0.0512,0.0512,0.0507,0.0515,0.0512,0.0502,0.0509,0.0507,0.0506,0.0502,0.0504,0.0502,0.0505,0.0504,0.051,0.0502,0.0499,0.0501,0.05,0.05,0.0505,0.0501,0.0507,0.051,0.0509,0.051,0.0521,0.0527,0.0539,0.0564,0.059,0.0642,0.0697,0.0786,0.0906,0.108,0.126,0.147,0.165,0.179,0.196,0.214,0.236,0.266,0.286,0.305,0.329,0.347,0.364,0.379,0.391,0.402,0.406,0.412,0.417,0.425,0.433,0.443,0.451,0.461,0.469,0.477,0.486
1,2,0.142,0.0515,0.0522,0.0509,0.0519,0.0516,0.0511,0.051,0.0511,0.0512,0.0517,0.0509,0.0504,0.0516,0.0507,0.0506,0.0508,0.0513,0.0505,0.0506,0.0509,0.0507,0.0509,0.0504,0.0507,0.0506,0.0507,0.0499,0.0501,0.0504,0.0506,0.0504,0.0505,0.0504,0.0515,0.0517,0.0523,0.0536,0.0548,0.0574,0.0604,0.0651,0.0719,0.0821,0.0963,0.115,0.134,0.153,0.169,0.188,0.21,0.234,0.257,0.278,0.3,0.327,0.35,0.37,0.388,0.401,0.406,0.413,0.422,0.432,0.44,0.451,0.462,0.473,0.483,0.491,0.499,0.507,0.513
1,3,0.163,0.0512,0.0517,0.0508,0.0506,0.0505,0.0505,0.0502,0.0505,0.0504,0.0507,0.0502,0.0499,0.0508,0.0502,0.0494,0.0503,0.0501,0.0497,0.0494,0.0501,0.0498,0.0496,0.0495,0.0499,0.0493,0.0493,0.0491,0.0498,0.0497,0.0496,0.0495,0.0494,0.05,0.05,0.0514,0.0521,0.0534,0.055,0.0588,0.062,0.0695,0.0771,0.0905,0.109,0.127,0.148,0.164,0.181,0.203,0.228,0.253,0.278,0.301,0.326,0.352,0.379,0.396,0.419,0.43,0.438,0.442,0.448,0.457,0.467,0.485,0.486,0.496,0.507,0.516,0.527,0.537,0.548
1,4,0.134,0.0506,0.0507,0.0503,0.0507,0.0498,0.0507,0.0502,0.0506,0.0504,0.0507,0.0501,0.0501,0.0505,0.0499,0.0496,0.05,0.0504,0.0498,0.0497,0.0501,0.0498,0.0503,0.0497,0.0501,0.0498,0.0495,0.0492,0.0496,0.0497,0.0493,0.0498,0.0499,0.0495,0.0507,0.0505,0.0518,0.0533,0.0552,0.058,0.0621,0.0682,0.0767,0.0888,0.106,0.126,0.141,0.159,0.174,0.193,0.213,0.232,0.252,0.272,0.292,0.313,0.33,0.345,0.36,0.373,0.384,0.392,0.397,0.404,0.41,0.417,0.424,0.433,0.443,0.453,0.468,0.486,0.507
