antibiotic,class,select1.0,select2.0
Amoxicilin,Beta-lactam,62.5,144.553
Ampicillin,Beta-lactam,1000,91.419
Azithromycin,Macrolide,781.25,222.154
Cefotaxime,Beta-lactam,31.25,5.0675
Ceftiofur,Beta-lactam,62.5,23.5502
Ceftriaxone,Beta-lactam,31.25,0.0003
Chloramphenicol,Phenicol,1000,30.116
Ciprofloxacin,Quinolone,3.9063,0.0498
Clarithromycin,Macrolide,4000,12.744
Colistin Sulfate,Polymyxin,62.5,48.019
Doripenem,Beta-lactam,15.625,3.2937
Doxycycline,Quinolone,62.5,11.806
Enrofloxacin,Quinolone,125,0.29865
Erythromycin,Macrolide,125,46.805
Florfenicol,Phenicol,937.5,120.89
Gentamicin,Aminoglycoside,500,112.311
Imipenem,Beta-lactam,62.5,4.5051
Kanamycin,Aminoglycoside,500,102.242
Meropenem,Beta-lactam,125,1.9877
Nitrofurantoin,Nitrofuran,500,20.4324
Norfloxacin,Quinolone,31.25,7.2655
Ofloxacin,Quinolone,7.812,2.6214
Oxytetracycline,Tetracycline,31.25,12.0342
Penicillin,Beta-lactam,500,2628.27
Streptomycin,Aminoglycoside,31.25,72.252
Sulfadiazine,Sulfonamide,234.375,45.321
Sulfamethoxazole,Sulfonamide,250,23.823
Sulfapyridine,Sulfonamide,4000,260.851
Tetracycline,Tetracycline,250,16.0726
Thiamphenicol,Phenicol,1000,71.799
Trimethoprim,Dihydropyrimidine,31.25,4.2123
Vancomycin,Glycopeptide,8000,9541.4
