SampleLocationName,SampleValue,NameDeterminandName,BelowMinReading
Treatment Effluent,0.43,erythromycin,No
Treatment Effluent,0.0692,azithromycin,No
Treatment Effluent,0.352,clarithromycin,No
Treatment Effluent,0.226,ciprofloxacin,No
Treatment Effluent,0.41,erythromycin,No
Treatment Effluent,0.114,azithromycin,No
Treatment Effluent,0.444,clarithromycin,No
Treatment Effluent,0.196,ciprofloxacin,No
Treatment Effluent,0.37,erythromycin,No
Treatment Effluent,0.0677,azithromycin,No
Treatment Effluent,0.275,clarithromycin,No
Treatment Effluent,0.189,ciprofloxacin,No
Treatment Effluent,0.76,erythromycin,No
Treatment Effluent,0.142,azithromycin,No
Treatment Effluent,0.267,clarithromycin,No
Treatment Effluent,0.156,ciprofloxacin,No
Treatment Effluent,0.21,erythromycin,No
Treatment Effluent,0.0697,azithromycin,No
Treatment Effluent,0.181,clarithromycin,No
Treatment Effluent,0.087,ciprofloxacin,No
Treatment Effluent,0.19,erythromycin,No
Treatment Effluent,0.111,azithromycin,No
Treatment Effluent,0.18,clarithromycin,No
Treatment Effluent,0.115,ciprofloxacin,No
Treatment Effluent,0.2,erythromycin,No
Treatment Effluent,0.105,azithromycin,No
Treatment Effluent,0.159,clarithromycin,No
Treatment Effluent,0.5,erythromycin,No
Treatment Effluent,0.0925,azithromycin,No
Treatment Effluent,0.254,clarithromycin,No
Treatment Effluent,0.122,ciprofloxacin,No
Treatment Effluent,0.22,erythromycin,No
Treatment Effluent,0.0695,azithromycin,No
Treatment Effluent,0.136,clarithromycin,No
Treatment Effluent,0.105,ciprofloxacin,No
Treatment Effluent,0.31,erythromycin,No
Treatment Effluent,0.0782,azithromycin,No
Treatment Effluent,0.173,clarithromycin,No
Treatment Effluent,0.168,ciprofloxacin,No
Treatment Effluent,0.38,erythromycin,No
Treatment Effluent,0.101,azithromycin,No
Treatment Effluent,0.246,clarithromycin,No
Treatment Effluent,0.156,ciprofloxacin,No
Treatment Effluent,0.63,erythromycin,No
Treatment Effluent,0.13,azithromycin,No
Treatment Effluent,0.4,clarithromycin,No
Treatment Effluent,0.123,ciprofloxacin,No
Treatment Effluent,0.13,erythromycin,No
Treatment Effluent,0.0478,azithromycin,No
Treatment Effluent,0.115,clarithromycin,No
Treatment Effluent,0.017,ciprofloxacin,No
Treatment Effluent,0.48,erythromycin,No
Treatment Effluent,0.0933,azithromycin,No
Treatment Effluent,0.252,clarithromycin,No
Treatment Effluent,0.131,ciprofloxacin,No
Treatment Effluent,0.41,erythromycin,No
Treatment Effluent,0.0767,azithromycin,No
Treatment Effluent,0.274,clarithromycin,No
Treatment Effluent,0.153,ciprofloxacin,No
Treatment Effluent,0.54,erythromycin,No
Treatment Effluent,0.102,azithromycin,No
Treatment Effluent,0.181,clarithromycin,No
Treatment Effluent,0.118,ciprofloxacin,No
Treatment Effluent,0.54,erythromycin,No
Treatment Effluent,0.117,azithromycin,No
Treatment Effluent,0.367,clarithromycin,No
Treatment Effluent,0.123,ciprofloxacin,No
Treatment Effluent,0.26,erythromycin,No
Treatment Effluent,0.0689,azithromycin,No
Treatment Effluent,0.201,clarithromycin,No
Treatment Effluent,0.147,ciprofloxacin,No
Treatment Effluent,0.18,erythromycin,No
Treatment Effluent,0.0456,azithromycin,No
Treatment Effluent,0.216,clarithromycin,No
Treatment Effluent,0.18,ciprofloxacin,No
Treatment Influent,0.09,erythromycin,No
Treatment Influent,0.216,azithromycin,No
Treatment Influent,0.95,clarithromycin,No
Treatment Influent,1.29,ciprofloxacin,No
Treatment Influent,0.06,erythromycin,No
Treatment Influent,0.0898,azithromycin,No
Treatment Influent,4.31,clarithromycin,No
Treatment Influent,0.932,ciprofloxacin,No
Treatment Influent,0.68,erythromycin,No
Treatment Influent,0.0562,azithromycin,No
Treatment Influent,0.821,clarithromycin,No
Treatment Influent,0.374,ciprofloxacin,No
Treatment Influent,1.38,erythromycin,No
Treatment Influent,0.14,azithromycin,No
Treatment Influent,1.97,clarithromycin,No
Treatment Influent,0.754,ciprofloxacin,No
Treatment Influent,0.72,erythromycin,No
Treatment Influent,0.0002,azithromycin,Yes
Treatment Influent,1.75,clarithromycin,No
Treatment Influent,3.38,ciprofloxacin,No
Treatment Influent,2.2,erythromycin,No
Treatment Influent,0.0393,azithromycin,No
Treatment Influent,1.63,clarithromycin,No
Treatment Influent,1.62,ciprofloxacin,No
Treatment Influent,2.66,erythromycin,No
Treatment Influent,0.113,azithromycin,No
