Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:07	0.094	0.100	0.089	0.094	0.096	0.088	0.069	0.068	0.070	0.069	0.068	0.068	0.086	0.087	0.078	0.078	0.084	0.079	0.075	0.075	0.076	0.076	0.077	0.075	0.097	0.096	0.096	0.089	0.096	0.095	0.067	0.068	0.068	0.067	0.067	0.067	0.090	0.084	0.085	0.076	0.080	0.086	0.082	0.076	0.076	0.075	0.075	0.075	0.097	0.095	0.096	0.091	0.091	0.100	0.102	0.091	0.089	0.089	0.089	0.103	0.084	0.087	0.081	0.081	0.078	0.082	0.083	0.083	0.079	0.075	0.076	0.076	0.091	0.099	0.092	0.095	0.090	0.093	0.096	0.095	0.103	0.094	0.090	0.090	0.081	0.082	0.078	0.082	0.079	0.077	0.082	0.083	0.083	0.081	0.077	0.076
0:10:07	0.087	0.090	0.088	0.088	0.088	0.086	0.073	0.076	0.071	0.077	0.077	0.068	0.076	0.078	0.076	0.075	0.076	0.075	0.074	0.074	0.074	0.075	0.076	0.074	0.090	0.089	0.088	0.087	0.089	0.088	0.066	0.078	0.081	0.081	0.081	0.067	0.083	0.079	0.077	0.075	0.076	0.078	0.076	0.075	0.074	0.074	0.074	0.074	0.089	0.089	0.089	0.088	0.089	0.093	0.094	0.088	0.087	0.087	0.088	0.096	0.077	0.078	0.075	0.075	0.076	0.076	0.076	0.077	0.076	0.074	0.075	0.074	0.088	0.090	0.089	0.089	0.088	0.089	0.089	0.089	0.096	0.091	0.089	0.088	0.076	0.076	0.076	0.076	0.075	0.076	0.076	0.076	0.077	0.077	0.075	0.074
0:20:07	0.086	0.088	0.087	0.088	0.087	0.086	0.078	0.080	0.112	0.087	0.096	0.093	0.075	0.076	0.075	0.075	0.075	0.074	0.074	0.074	0.074	0.075	0.075	0.073	0.088	0.087	0.088	0.087	0.088	0.087	0.071	0.087	0.088	0.092	0.112	0.105	0.082	0.078	0.075	0.074	0.075	0.076	0.075	0.074	0.074	0.073	0.074	0.074	0.088	0.087	0.087	0.088	0.088	0.092	0.093	0.088	0.087	0.086	0.087	0.091	0.075	0.076	0.074	0.074	0.076	0.075	0.074	0.076	0.075	0.073	0.075	0.074	0.088	0.090	0.090	0.091	0.089	0.092	0.089	0.089	0.092	0.090	0.089	0.088	0.075	0.075	0.075	0.075	0.074	0.075	0.075	0.075	0.076	0.076	0.075	0.074
0:30:07	0.085	0.087	0.087	0.088	0.086	0.086	0.084	0.107	0.156	0.122	0.132	0.099	0.074	0.076	0.075	0.074	0.074	0.073	0.074	0.074	0.074	0.074	0.075	0.073	0.090	0.090	0.089	0.089	0.091	0.091	0.081	0.104	0.106	0.121	0.148	0.150	0.081	0.077	0.075	0.074	0.075	0.075	0.075	0.074	0.074	0.073	0.073	0.074	0.096	0.096	0.097	0.098	0.095	0.101	0.103	0.099	0.098	0.094	0.093	0.095	0.075	0.075	0.073	0.074	0.075	0.075	0.073	0.076	0.075	0.073	0.075	0.074	0.093	0.102	0.103	0.104	0.101	0.104	0.104	0.105	0.104	0.101	0.098	0.093	0.074	0.074	0.075	0.074	0.074	0.075	0.075	0.075	0.075	0.075	0.075	0.074
0:40:07	0.086	0.088	0.088	0.089	0.090	0.093	0.106	0.137	0.188	0.150	0.162	0.101	0.074	0.075	0.074	0.074	0.074	0.073	0.074	0.073	0.074	0.074	0.075	0.073	0.094	0.094	0.093	0.095	0.095	0.095	0.112	0.135	0.137	0.155	0.184	0.185	0.081	0.077	0.075	0.074	0.075	0.075	0.075	0.074	0.073	0.073	0.073	0.073	0.099	0.100	0.102	0.103	0.100	0.107	0.108	0.104	0.112	0.107	0.115	0.126	0.074	0.075	0.073	0.073	0.075	0.074	0.073	0.075	0.074	0.073	0.074	0.073	0.097	0.106	0.109	0.114	0.111	0.115	0.117	0.119	0.121	0.118	0.121	0.119	0.074	0.074	0.075	0.074	0.074	0.074	0.075	0.074	0.075	0.075	0.074	0.073
0:50:07	0.086	0.089	0.093	0.099	0.108	0.116	0.131	0.161	0.212	0.172	0.183	0.102	0.074	0.075	0.074	0.074	0.074	0.073	0.074	0.073	0.074	0.074	0.075	0.073	0.095	0.095	0.094	0.097	0.101	0.098	0.144	0.162	0.163	0.184	0.213	0.211	0.081	0.077	0.074	0.074	0.075	0.075	0.074	0.074	0.073	0.073	0.073	0.074	0.100	0.103	0.110	0.121	0.105	0.129	0.118	0.127	0.146	0.138	0.147	0.158	0.074	0.075	0.073	0.073	0.075	0.074	0.073	0.075	0.074	0.073	0.074	0.073	0.097	0.114	0.126	0.143	0.136	0.143	0.147	0.152	0.154	0.150	0.153	0.148	0.074	0.074	0.075	0.074	0.074	0.074	0.075	0.074	0.075	0.075	0.074	0.073
1:00:07	0.087	0.090	0.102	0.118	0.129	0.139	0.153	0.181	0.232	0.189	0.201	0.103	0.074	0.075	0.074	0.074	0.074	0.073	0.073	0.073	0.074	0.074	0.075	0.073	0.095	0.096	0.096	0.114	0.118	0.116	0.173	0.184	0.184	0.206	0.236	0.233	0.081	0.077	0.074	0.074	0.074	0.075	0.074	0.074	0.073	0.073	0.073	0.073	0.101	0.108	0.126	0.147	0.113	0.156	0.140	0.154	0.173	0.166	0.172	0.182	0.074	0.075	0.073	0.073	0.075	0.074	0.073	0.075	0.074	0.073	0.074	0.073	0.097	0.124	0.149	0.169	0.158	0.168	0.173	0.181	0.182	0.177	0.179	0.172	0.074	0.074	0.074	0.074	0.074	0.074	0.075	0.074	0.075	0.075	0.074	0.073
1:10:07	0.088	0.092	0.115	0.136	0.148	0.159	0.170	0.198	0.248	0.202	0.216	0.103	0.074	0.075	0.074	0.074	0.074	0.073	0.073	0.073	0.073	0.074	0.075	0.073	0.095	0.096	0.103	0.131	0.133	0.133	0.194	0.203	0.202	0.225	0.255	0.250	0.081	0.077	0.074	0.074	0.074	0.075	0.074	0.074	0.073	0.073	0.073	0.073	0.101	0.112	0.144	0.169	0.124	0.179	0.162	0.178	0.195	0.188	0.193	0.202	0.074	0.075	0.073	0.073	0.075	0.074	0.073	0.075	0.074	0.073	0.074	0.073	0.097	0.136	0.168	0.191	0.177	0.188	0.195	0.205	0.206	0.199	0.201	0.191	0.074	0.073	0.075	0.074	0.073	0.074	0.075	0.074	0.075	0.075	0.074	0.073
1:20:07	0.088	0.093	0.126	0.152	0.165	0.176	0.185	0.212	0.261	0.214	0.230	0.103	0.073	0.075	0.074	0.074	0.074	0.073	0.073	0.073	0.074	0.074	0.075	0.073	0.095	0.096	0.113	0.146	0.146	0.148	0.210	0.220	0.216	0.241	0.271	0.265	0.081	0.077	0.074	0.074	0.075	0.075	0.074	0.074	0.073	0.073	0.073	0.073	0.101	0.114	0.160	0.188	0.138	0.199	0.183	0.198	0.215	0.206	0.211	0.219	0.074	0.075	0.073	0.073	0.075	0.074	0.073	0.075	0.074	0.073	0.074	0.073	0.097	0.147	0.185	0.210	0.194	0.206	0.214	0.224	0.225	0.217	0.219	0.207	0.074	0.074	0.075	0.074	0.074	0.074	0.074	0.074	0.075	0.075	0.074	0.073
1:30:07	0.088	0.094	0.136	0.165	0.179	0.191	0.198	0.224	0.273	0.224	0.241	0.103	0.074	0.075	0.074	0.074	0.074	0.073	0.073	0.073	0.073	0.074	0.075	0.073	0.095	0.096	0.120	0.157	0.158	0.161	0.225	0.232	0.229	0.255	0.283	0.276	0.080	0.077	0.074	0.073	0.074	0.075	0.074	0.073	0.073	0.073	0.073	0.073	0.101	0.116	0.173	0.204	0.152	0.216	0.200	0.215	0.230	0.221	0.226	0.233	0.074	0.074	0.073	0.073	0.075	0.074	0.073	0.075	0.074	0.073	0.074	0.073	0.096	0.157	0.200	0.226	0.208	0.222	0.228	0.240	0.240	0.233	0.234	0.221	0.073	0.073	0.074	0.074	0.073	0.074	0.074	0.074	0.075	0.075	0.074	0.073
